dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.081483,14.673129,0.000648,0.064754,3.237705,161.885246,6.282032
0.020000,5.081188,14.673129,0.000943,0.014775,-2.498951,-286.832812,6.282290
0.020000,5.080597,14.673130,0.001534,0.029544,0.738468,161.870950,6.282806
0.020000,5.083673,14.673130,0.004610,0.153794,6.212467,273.699991,0.000395
0.020000,5.092852,14.673139,0.013789,0.458962,15.258423,452.297769,0.001426
0.020000,5.104326,14.673162,0.025264,0.573732,5.738478,-475.997236,0.002715
0.020000,5.118096,14.673210,0.039034,0.688503,5.738541,0.003135,0.004262
0.020000,5.134161,14.673293,0.055099,0.803247,5.737227,-0.065708,0.006066
0.020000,5.152523,14.673424,0.073461,0.918093,5.742306,0.253959,0.008127
0.020000,5.173179,14.673616,0.094118,1.032890,5.739812,-0.124702,0.010445
0.020000,5.196132,14.673885,0.117073,1.147723,5.741696,0.094233,0.013019
0.020000,5.221381,14.674249,0.142325,1.262585,5.743085,0.069444,0.015848
0.020000,5.248928,14.674728,0.169875,1.377525,5.747016,0.196537,0.018933
0.020000,5.278771,14.675343,0.199724,1.492459,5.746665,-0.017538,0.022272
0.020000,5.310910,14.676117,0.231873,1.607460,5.750060,0.169735,0.025864
0.020000,5.345348,14.677074,0.266324,1.722523,5.753132,0.153623,0.029709
0.020000,5.382082,14.678241,0.303076,1.837633,5.755507,0.118716,0.033804
0.020000,5.421114,14.679646,0.342134,1.952888,5.762777,0.363526,0.038149
0.020000,5.462444,14.681319,0.383498,2.068178,5.764503,0.086280,0.042743
0.020000,5.506071,14.683290,0.427170,2.183590,5.770569,0.303318,0.047582
0.020000,5.551996,14.685594,0.473152,2.299114,5.776207,0.281897,0.052666
0.020000,5.600218,14.688265,0.521448,2.414822,5.785418,0.460552,0.057991
0.020000,5.650738,14.691339,0.572061,2.530634,5.790563,0.257245,0.063555
0.020000,5.703554,14.694854,0.624994,2.646652,5.800922,0.517967,0.069354
0.020000,5.758666,14.698850,0.680251,2.762871,5.810944,0.501054,0.075386
0.020000,5.816075,14.703367,0.737837,2.879288,5.820872,0.496420,0.081647
0.020000,5.875779,14.708447,0.797757,2.995977,5.834420,0.677400,0.088131
0.020000,5.937777,14.714135,0.860015,3.112914,5.846881,0.623050,0.094835
0.020000,6.002068,14.720475,0.924618,3.230163,5.862413,0.776602,0.101753
0.020000,6.068651,14.727514,0.991573,3.347727,5.878218,0.790252,0.108880
0.020000,6.137526,14.735299,1.060886,3.465662,5.896764,0.927301,0.116209
0.020000,6.208690,14.743878,1.132565,3.583968,5.915272,0.925383,0.123733
0.020000,6.282142,14.753301,1.206620,3.702712,5.937212,1.097031,0.131446
0.020000,6.357881,14.763619,1.283058,3.821907,5.959761,1.127447,0.139338
0.020000,6.435904,14.774883,1.361889,3.941571,5.983190,1.171433,0.147403
0.020000,6.516209,14.787145,1.443125,4.061789,6.010927,1.386847,0.155630
0.020000,6.598793,14.800458,1.526776,4.182544,6.037750,1.341162,0.164009
0.020000,6.683655,14.814875,1.612854,4.303900,6.067761,1.500535,0.172531
0.020000,6.770792,14.830449,1.701372,4.425892,6.099619,1.592896,0.181185
0.020000,6.860201,14.847235,1.792343,4.548553,6.133056,1.671858,0.189958
0.020000,6.951880,14.865286,1.885781,4.671920,6.168356,1.765022,0.198838
0.020000,7.045824,14.884656,1.981702,4.796021,6.205013,1.832812,0.207813
0.020000,7.142031,14.905399,2.080120,4.920903,6.244141,1.956417,0.216868
0.020000,7.240498,14.927567,2.181052,5.046592,6.284418,2.013835,0.225990
0.020000,7.341222,14.951214,2.284514,5.173122,6.326518,2.105039,0.235164
0.020000,7.444200,14.976391,2.390524,5.300521,6.369939,2.171011,0.244375
0.020000,7.549427,15.003149,2.499101,5.428819,6.414932,2.249689,0.253607
0.020000,7.656902,15.031538,2.610262,5.558055,6.461799,2.343322,0.262844
0.020000,7.766622,15.061605,2.724027,5.688233,6.508852,2.352673,0.272069
0.020000,7.878583,15.093399,2.840414,5.819391,6.557935,2.454144,0.281266
0.020000,7.992783,15.126964,2.959445,5.951545,6.607712,2.488861,0.290416
0.020000,8.109221,15.162343,3.081139,6.084711,6.658255,2.527124,0.299502
0.020000,8.227895,15.199578,3.205518,6.218908,6.709872,2.580874,0.308506
0.020000,8.348804,15.238706,3.332601,6.354146,6.761883,2.600517,0.317410
0.020000,8.471948,15.279765,3.462409,6.490437,6.814583,2.635036,0.326196
0.020000,8.597328,15.322788,3.594965,6.627790,6.867649,2.653260,0.334845
