dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.878972,10.729612,0.000648,0.064754,3.237705,161.885246,0.000588
0.020000,4.879124,10.729613,0.000799,0.007587,-2.858343,-304.802403,0.000455
0.020000,4.879427,10.729613,0.001103,0.015170,0.379130,161.873641,0.000190
0.020000,4.883936,10.729612,0.005612,0.225464,10.514686,506.777833,6.282978
0.020000,4.894903,10.729607,0.016579,0.548335,16.143586,281.445002,6.282449
0.020000,4.908611,10.729592,0.030287,0.685393,6.852901,-464.534280,6.281788
0.020000,4.925059,10.729563,0.046735,0.822427,6.851707,-0.059678,6.280995
0.020000,4.944248,10.729512,0.065924,0.959426,6.849907,-0.090003,6.280071
0.020000,4.966176,10.729432,0.087852,1.096419,6.849691,-0.010810,6.279017
0.020000,4.990843,10.729315,0.112519,1.233361,6.847055,-0.131819,6.277833
0.020000,5.018248,10.729150,0.139924,1.370265,6.845228,-0.091334,6.276520
0.020000,5.048390,10.728927,0.170067,1.507132,6.843335,-0.094626,6.275078
0.020000,5.081267,10.728635,0.202946,1.643954,6.841101,-0.111718,6.273509
0.020000,5.116880,10.728260,0.238561,1.780719,6.838254,-0.142359,6.271812
0.020000,5.155225,10.727789,0.276909,1.917426,6.835366,-0.144393,6.269990
0.020000,5.196303,10.727207,0.317991,2.054072,6.832270,-0.154790,6.268044
0.020000,5.240110,10.726498,0.361804,2.190649,6.828878,-0.169622,6.265973
0.020000,5.286645,10.725646,0.408347,2.327161,6.825599,-0.163956,6.263781
0.020000,5.335907,10.724633,0.457619,2.463589,6.821386,-0.210631,6.261467
0.020000,5.387892,10.723441,0.509617,2.599930,6.817060,-0.216290,6.259035
0.020000,5.442598,10.722049,0.564341,2.736178,6.812414,-0.232323,6.256484
0.020000,5.500022,10.720439,0.621788,2.872350,6.808561,-0.192654,6.253817
0.020000,5.560161,10.718589,0.681956,3.008395,6.802256,-0.315230,6.251036
0.020000,5.623013,10.716476,0.744842,3.144342,6.797373,-0.244166,6.248143
0.020000,5.688572,10.714079,0.810446,3.280176,6.791703,-0.283484,6.245139
0.020000,5.756836,10.711374,0.878764,3.415882,6.785289,-0.320715,6.242026
0.020000,5.827801,10.708337,0.949793,3.551460,6.778909,-0.318969,6.238808
0.020000,5.901461,10.704944,1.023531,3.686900,6.771976,-0.346682,6.235486
0.020000,5.977811,10.701168,1.099975,3.822202,6.765112,-0.343199,6.232063
0.020000,6.056848,10.696984,1.179122,3.957352,6.757484,-0.381388,6.228541
0.020000,6.138564,10.692366,1.260969,4.092334,6.749143,-0.417071,6.224924
0.020000,6.222954,10.687286,1.345512,4.227160,6.741273,-0.393472,6.221214
0.020000,6.310013,10.681718,1.432748,4.361804,6.732199,-0.453708,6.217414
0.020000,6.399732,10.675633,1.522673,4.496268,6.723213,-0.449321,6.213528
0.020000,6.492105,10.669004,1.615284,4.630538,6.713507,-0.485292,6.209558
0.020000,6.587125,10.661801,1.710576,4.764617,6.703941,-0.478292,6.205508
0.020000,6.684783,10.653997,1.808546,4.898479,6.693115,-0.541321,6.201383
0.020000,6.785072,10.645563,1.909188,5.032131,6.682601,-0.525657,6.197185
0.020000,6.887982,10.636469,2.012500,5.165559,6.671376,-0.561290,6.192918
0.020000,6.993504,10.626687,2.118475,5.298749,6.659501,-0.593734,6.188588
0.020000,7.101630,10.616188,2.227109,5.431705,6.647784,-0.585844,6.184197
