dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.879645,9.584613,0.000648,0.064754,3.237705,161.885246,0.000588
0.020000,4.879645,9.584613,0.003238,0.194262,6.475410,161.885246,0.000455
0.020000,4.879645,9.584613,0.008418,0.323770,6.475410,-0.000000,0.000190
0.020000,4.883699,9.584612,0.016189,0.453279,6.475410,0.000000,6.282978
0.020000,4.894060,9.584607,0.026549,0.582787,6.475410,-0.000000,6.282449
0.020000,4.907010,9.584594,0.039500,0.712295,6.475410,0.000000,6.281788
0.020000,4.922551,9.584566,0.055041,0.841803,6.475410,-0.000000,6.280995
0.020000,4.940682,9.584518,0.073172,0.971311,6.475410,0.000000,6.280071
0.020000,4.961404,9.584442,0.093893,1.100820,6.475410,-0.000000,6.279017
0.020000,4.984715,9.584331,0.117205,1.230328,6.475410,0.000000,6.277833
0.020000,5.010616,9.584176,0.143107,1.359836,6.475410,-0.000000,6.276520
0.020000,5.039107,9.583965,0.171598,1.489344,6.475410,0.000000,6.275078
0.020000,5.070188,9.583689,0.202680,1.618852,6.475410,0.000000,6.273509
0.020000,5.103858,9.583334,0.236352,1.748361,6.475410,-0.000000,6.271812
0.020000,5.140118,9.582889,0.272615,1.877869,6.475410,0.000000,6.269990
0.020000,5.178966,9.582338,0.311467,2.007377,6.475410,0.000000,6.268044
0.020000,5.220403,9.581668,0.352910,2.136885,6.475410,0.000000,6.265973
0.020000,5.264429,9.580862,0.396943,2.266393,6.475410,-0.000000,6.263781
0.020000,5.311042,9.579903,0.443566,2.395902,6.475410,0.000000,6.261467
0.020000,5.360242,9.578775,0.492779,2.525410,6.475410,0.000000,6.259035
0.020000,5.412028,9.577458,0.544582,2.654918,6.475410,-0.000000,6.256484
0.020000,5.466400,9.575933,0.598975,2.784426,6.475410,0.000000,6.253817
0.020000,5.523357,9.574180,0.655959,2.913934,6.475410,0.000000,6.251036
0.020000,5.582897,9.572179,0.715533,3.043443,6.475410,-0.000000,6.248143
0.020000,5.645020,9.569908,0.777697,3.172951,6.475410,0.000000,6.245139
0.020000,5.709723,9.567344,0.842451,3.302459,6.475410,0.000000,6.242026
0.020000,5.777006,9.564465,0.909795,3.431967,6.475410,-0.000000,6.238808
0.020000,5.846866,9.561246,0.979730,3.561475,6.475410,0.000000,6.235486
0.020000,5.919302,9.557664,1.052254,3.690984,6.475410,0.000000,6.232063
0.020000,5.994312,9.553693,1.127369,3.820492,6.475410,-0.000000,6.228541
0.020000,6.071893,9.549309,1.205074,3.950000,6.475410,0.000000,6.224924
0.020000,6.152043,9.544484,1.285369,4.079508,6.475410,0.000000,6.221214
0.020000,6.234759,9.539194,1.368254,4.209016,6.475410,0.000000,6.217414
0.020000,6.320038,9.533410,1.453730,4.338525,6.475410,0.000000,6.213528
0.020000,6.407878,9.527106,1.541795,4.468033,6.475410,-0.000000,6.209558
0.020000,6.498274,9.520254,1.632451,4.597541,6.475410,0.000000,6.205508
0.020000,6.591224,9.512826,1.725697,4.727049,6.475410,0.000000,6.201383
0.020000,6.686722,9.504794,1.821533,4.856557,6.475410,0.000000,6.197185
0.020000,6.784767,9.496131,1.919959,4.986066,6.475410,0.000000,6.192918
0.020000,6.885352,9.486806,2.020975,5.115574,6.475410,0.000000,6.188588
0.020000,6.988473,9.476793,2.124582,5.245082,6.475410,-0.000000,6.184197
0.020000,7.094126,9.466063,2.230779,5.374590,6.475410,0.000000,6.179750
0.020000,7.202306,9.454586,2.339566,5.504098,6.475410,0.000000,6.175252
0.020000,7.313007,9.442336,2.450943,5.633607,6.475410,0.000000,6.170707
0.020000,7.426224,9.429284,2.564910,5.763115,6.475410,0.000000,6.166121
0.020000,7.541952,9.415403,2.681467,5.892623,6.475410,0.000000,6.161498
0.020000,7.660184,9.400664,2.800615,6.022131,6.475410,-0.000000,6.156843
0.020000,7.780915,9.385040,2.922352,6.151639,6.475410,0.000000,6.152161
0.020000,7.904139,9.368506,3.046680,6.281148,6.475410,0.000000,6.147458
0.020000,8.029848,9.351036,3.173598,6.410656,6.475410,0.000000,6.142740
0.020000,8.158038,9.332602,3.303107,6.540164,6.475410,0.000000,6.138011
0.020000,8.288701,9.313182,3.435205,6.669672,6.475410,0.000000,6.133278
0.020000,8.421831,9.292751,3.569893,6.799180,6.475410,-0.000000,6.128547
