dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.426508,1.561392,0.000648,0.064754,3.237705,161.885246,2.642077
0.020000,15.426797,1.561234,0.000977,0.016469,-2.414271,-282.598816,2.642365
0.020000,15.427376,1.560919,0.001636,0.032941,0.823638,161.895467,2.642940
0.020000,15.427981,1.560589,0.002325,0.034480,0.076904,-37.336709,2.643804
0.020000,15.420033,1.564902,0.011369,0.452165,20.884291,1040.369371,2.644955
0.020000,15.410094,1.570280,0.022669,0.565036,5.643558,-762.036661,2.646397
0.020000,15.398159,1.576712,0.036227,0.677898,5.643082,-0.023792,2.648129
0.020000,15.384224,1.584189,0.052041,0.790695,5.639856,-0.161308,2.650152
0.020000,15.368285,1.592696,0.070108,0.903361,5.633276,-0.328987,2.652469
0.020000,15.350333,1.602221,0.090430,1.016100,5.636978,0.185073,2.655081
0.020000,15.330367,1.612745,0.113000,1.128497,5.619853,-0.856225,2.657990
0.020000,15.308375,1.624250,0.137821,1.241008,5.625546,0.284649,2.661197
0.020000,15.284351,1.636716,0.164886,1.353273,5.613227,-0.615957,2.664705
0.020000,15.258287,1.650119,0.194194,1.465392,5.605963,-0.363218,2.668516
0.020000,15.230173,1.664436,0.225744,1.577517,5.606233,0.013530,2.672632
0.020000,15.200000,1.679640,0.259531,1.689337,5.591011,-0.761130,2.677056
0.020000,15.167757,1.695702,0.295553,1.801114,5.588849,-0.108064,2.681790
0.020000,15.133434,1.712591,0.333807,1.912673,5.577957,-0.544631,2.686837
0.020000,15.097018,1.730275,0.374289,2.024139,5.573316,-0.232038,2.692200
0.020000,15.058497,1.748720,0.416999,2.135455,5.565784,-0.376596,2.697880
0.020000,15.017858,1.767887,0.461930,2.246567,5.555612,-0.508587,2.703881
0.020000,14.975088,1.787738,0.509083,2.357641,5.553698,-0.095718,2.710205
0.020000,14.930174,1.808232,0.558452,2.468457,5.540791,-0.645330,2.716855
0.020000,14.883098,1.829325,0.610037,2.579245,5.539402,-0.069483,2.723831
0.020000,14.833847,1.850973,0.663835,2.689932,5.534360,-0.252110,2.731137
0.020000,14.782404,1.873126,0.719846,2.800515,5.529141,-0.260930,2.738775
0.020000,14.728755,1.895735,0.778064,2.910936,5.521057,-0.404194,2.746744
0.020000,14.672880,1.918748,0.838493,3.021407,5.523545,0.124417,2.755047
0.020000,14.614765,1.942111,0.901128,3.131776,5.518452,-0.254667,2.763683
0.020000,14.554390,1.965766,0.965972,3.242197,5.521033,0.129051,2.772653
0.020000,14.491737,1.989656,1.033025,3.352648,5.522555,0.076110,2.781956
0.020000,14.426789,2.013720,1.102287,3.463120,5.523574,0.050952,2.791590
0.020000,14.359524,2.037894,1.173765,3.573857,5.536886,0.665594,2.801554
0.020000,14.289926,2.062115,1.247457,3.684628,5.538532,0.082272,2.811844
0.020000,14.217973,2.086315,1.323371,3.795673,5.552249,0.685878,2.822457
0.020000,14.143645,2.110425,1.401511,3.906998,5.566254,0.700232,2.833388
0.020000,14.066924,2.134375,1.481883,4.018625,5.581352,0.754924,2.844630
0.020000,13.987786,2.158093,1.564499,4.130793,5.608381,1.351460,2.856176
0.020000,13.906213,2.181505,1.649365,4.243322,5.626469,0.904385,2.868018
0.020000,13.822183,2.204536,1.736494,4.356451,5.656443,1.498704,2.880146
0.020000,13.735675,2.227109,1.825899,4.470217,5.688300,1.592852,2.892549
0.020000,13.646668,2.249145,1.917593,4.584706,5.724438,1.806884,2.905214
0.020000,13.555141,2.270568,2.011593,4.700034,5.766396,2.097893,2.918128
0.020000,13.461073,2.291296,2.107918,4.816237,5.810149,2.187680,2.931273
0.020000,13.364443,2.311249,2.206587,4.933416,5.858954,2.440241,2.944634
0.020000,13.265232,2.330347,2.307620,5.051663,5.912352,2.669911,2.958191
0.020000,13.163416,2.348508,2.411042,5.171127,5.973212,3.042998,2.971924
0.020000,13.058979,2.365653,2.516878,5.291764,6.031838,2.931298,2.985812
0.020000,12.951899,2.381700,2.625153,5.413769,6.100271,3.421627,2.999831
0.020000,12.842158,2.396570,2.735897,5.537189,6.171017,3.537295,3.013956
0.020000,12.729738,2.410184,2.849138,5.662077,6.244372,3.667782,3.028162
0.020000,12.614622,2.422465,2.964908,5.788487,6.320528,3.807777,3.042422
0.020000,12.496791,2.433336,3.083239,5.916542,6.402711,4.109126,3.056707
0.020000,12.376232,2.442725,3.204163,6.046224,6.484104,4.069670,3.070989
0.020000,12.252928,2.450559,3.327716,6.177610,6.569324,4.261020,3.085239
0.020000,12.126867,2.456770,3.453930,6.310724,6.655706,4.319098,3.099425
0.020000,11.998034,2.461292,3.582842,6.445609,6.744254,4.427371,3.113517
0.020000,11.866418,2.464064,3.714487,6.582242,6.831652,4.369901,3.127485
0.020000,11.732008,2.465026,3.848900,6.720657,6.920723,4.453544,3.141298
0.020000,11.594794,2.464127,3.986117,6.860839,7.009105,4.419145,3.154924
0.020000,11.454767,2.461315,4.126172,7.002773,7.096722,4.380822,3.168333
0.020000,11.312504,2.456570,4.268514,7.117098,5.716223,-69.024950,3.181442
0.020000,11.169180,2.449939,4.411992,7.173864,2.838315,-143.895396,3.194124
0.020000,11.025395,2.441493,4.556025,7.201677,1.390657,-72.382902,3.206321
0.020000,10.881162,2.431289,4.700619,7.229683,1.400274,0.480845,3.218029
0.020000,10.736494,2.419387,4.845775,7.257819,1.406823,0.327442,3.229246
0.020000,10.591404,2.405845,4.991496,7.286018,1.409949,0.156339,3.239969
0.020000,10.445903,2.390727,5.137780,7.314224,1.410305,0.017779,3.250201
0.020000,10.300000,2.374092,5.284628,7.342400,1.408763,-0.077107,3.259940
0.020000,10.153705,2.356004,5.432038,7.370480,1.404040,-0.236158,3.269189
0.020000,10.007023,2.336526,5.580007,7.398465,1.399249,-0.239516,3.277949
0.020000,9.859961,2.315721,5.728533,7.426293,1.391385,-0.393241,3.286223
0.020000,9.712524,2.293654,5.877612,7.453966,1.383638,-0.387321,3.294013
0.020000,9.564715,2.270389,6.027241,7.481462,1.374804,-0.441723,3.301324
