dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.812960,16.326647,0.000648,0.064754,3.237705,161.885246,0.000135
0.020000,4.812859,16.326646,0.000748,0.005031,-2.986173,-311.193886,0.000047
0.020000,4.816441,16.326646,0.004330,0.179082,8.702590,584.438165,6.283058
0.020000,4.823914,16.326644,0.011802,0.373627,9.727236,51.232254,6.282798
0.020000,4.833882,16.326639,0.021770,0.498397,6.238487,-174.437411,6.282455
0.020000,4.846349,16.326627,0.034238,0.623361,6.248202,0.485709,6.282032
0.020000,4.861320,16.326606,0.049209,0.748568,6.260377,0.608766,6.281535
0.020000,4.878801,16.326572,0.066690,0.874067,6.274935,0.727905,6.280967
0.020000,4.898800,16.326521,0.086688,0.999906,6.291951,0.850826,6.280336
0.020000,4.921322,16.326449,0.109211,1.126134,6.311367,0.970781,6.279647
0.020000,4.946378,16.326351,0.134267,1.252798,6.333201,1.091707,6.278908
0.020000,4.973976,16.326223,0.161866,1.379946,6.357432,1.211560,6.278128
0.020000,5.004129,16.326058,0.192018,1.507627,6.384050,1.330891,6.277317
0.020000,5.036846,16.325852,0.224736,1.635890,6.413118,1.453392,6.276483
0.020000,5.072140,16.325600,0.260032,1.764780,6.444505,1.569332,6.275639
0.020000,5.110026,16.325298,0.297919,1.894346,6.478336,1.691590,6.274796
0.020000,5.150517,16.324942,0.338411,2.024637,6.514518,1.809085,6.273966
0.020000,5.193629,16.324526,0.381525,2.155698,6.553078,1.928013,6.273163
0.020000,5.239378,16.324050,0.427277,2.287579,6.594040,2.048097,6.272402
0.020000,5.287782,16.323511,0.475684,2.420326,6.637360,2.165974,6.271698
0.020000,5.338858,16.322907,0.526763,2.553988,6.683062,2.285106,6.271066
0.020000,5.392626,16.322241,0.580536,2.688611,6.731163,2.405055,6.270524
0.020000,5.449106,16.321512,0.637020,2.824244,6.781643,2.523971,6.270088
0.020000,5.508320,16.320727,0.696239,2.960935,6.834548,2.645297,6.269778
0.020000,5.570289,16.319890,0.758214,3.098732,6.889866,2.765891,6.269613
0.020000,5.635037,16.319010,0.822967,3.237685,6.947636,2.888469,6.269612
0.020000,5.702587,16.318099,0.890524,3.377842,7.007873,3.011848,6.269798
0.020000,5.772966,16.317169,0.960909,3.519254,7.070616,3.137158,6.270191
0.020000,5.846200,16.316239,1.034149,3.661972,7.135891,3.263777,6.270816
0.020000,5.922315,16.315329,1.110270,3.806047,7.203738,3.392359,6.271695
0.020000,6.001341,16.314465,1.189300,3.951532,7.274224,3.524253,6.272852
0.020000,6.083307,16.313676,1.271270,4.098478,7.347334,3.655525,6.274315
0.020000,6.168243,16.312997,1.356209,4.246942,7.423199,3.793263,6.276108
0.020000,6.256181,16.312467,1.444148,4.396978,7.501791,3.929602,6.278260
0.020000,6.347153,16.312132,1.535121,4.548641,7.583171,4.068978,6.280800
0.020000,6.441193,16.312044,1.629161,4.701989,7.667389,4.210883,0.000570
0.020000,6.538334,16.312262,1.726303,4.857078,7.754458,4.353490,0.003972
0.020000,6.638612,16.312852,1.826582,5.013966,7.844391,4.496634,0.007853
0.020000,6.742061,16.313888,1.930036,5.172708,7.937068,4.633850,0.012244
0.020000,6.848716,16.315454,2.036703,5.333359,8.032596,4.776412,0.017179
0.020000,6.958614,16.317641,2.146623,5.495973,8.130680,4.904202,0.022693
0.020000,7.071789,16.320552,2.259835,5.660599,8.231297,5.030827,0.028820
0.020000,7.188274,16.324301,2.376380,5.827281,8.334121,5.141196,0.035596
0.020000,7.308103,16.329011,2.496301,5.996057,8.438767,5.232325,0.043059
0.020000,7.431305,16.334819,2.619640,6.166954,8.544872,5.305234,0.051244
0.020000,7.557908,16.341874,2.746440,6.339990,8.651769,5.344836,0.060190
