dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.880322,18.549807,0.000648,0.064754,3.237705,161.885246,6.282593
0.020000,4.880170,18.549807,0.000800,0.007642,-2.855599,-304.665193,6.282727
0.020000,4.879864,18.549807,0.001106,0.015280,0.381872,161.873527,6.282994
0.020000,4.883456,18.549808,0.004698,0.179606,8.216343,391.723570,0.000209
0.020000,4.893206,18.549812,0.014448,0.487506,15.394977,358.931685,0.000742
0.020000,4.905395,18.549825,0.026637,0.609418,6.095583,-464.969685,0.001408
0.020000,4.920021,18.549852,0.041264,0.731347,6.096469,0.044288,0.002206
0.020000,4.937087,18.549897,0.058329,0.853291,6.097206,0.036887,0.003136
0.020000,4.956593,18.549969,0.077835,0.975287,6.099801,0.129743,0.004198
0.020000,4.978539,18.550074,0.099781,1.097299,6.100609,0.040377,0.005391
0.020000,5.002925,18.550222,0.124168,1.219351,6.102597,0.099400,0.006713
0.020000,5.029753,18.550421,0.150997,1.341450,6.104943,0.117296,0.008166
0.020000,5.059024,18.550683,0.180269,1.463600,6.107474,0.126582,0.009746
0.020000,5.090738,18.551020,0.211985,1.585797,6.109855,0.119021,0.011455
0.020000,5.124897,18.551442,0.246146,1.708051,6.112722,0.143349,0.013290
0.020000,5.161500,18.551965,0.282753,1.830369,6.115875,0.157658,0.015251
0.020000,5.200550,18.552601,0.321808,1.952753,6.119236,0.168026,0.017336
0.020000,5.242048,18.553366,0.363313,2.075219,6.123299,0.203194,0.019544
0.020000,5.285993,18.554277,0.407268,2.197758,6.126941,0.182098,0.021874
0.020000,5.332389,18.555349,0.453676,2.320381,6.131119,0.208902,0.024324
0.020000,5.381234,18.556600,0.502537,2.443091,6.135546,0.221347,0.026893
0.020000,5.432532,18.558049,0.553856,2.565916,6.141232,0.284304,0.029579
0.020000,5.486283,18.559714,0.607632,2.688824,6.145383,0.207547,0.032380
0.020000,5.542488,18.561617,0.663869,2.811852,6.151401,0.300863,0.035294
0.020000,5.601148,18.563777,0.722569,2.934999,6.157343,0.297131,0.038319
0.020000,5.662265,18.566216,0.783735,3.058264,6.163265,0.296100,0.041454
0.020000,5.725839,18.568956,0.847368,3.181661,6.169835,0.328508,0.044695
0.020000,5.791872,18.572021,0.913472,3.305195,6.176694,0.342939,0.048040
0.020000,5.860364,18.575432,0.982049,3.428880,6.184270,0.378806,0.051487
0.020000,5.931318,18.579215,1.053104,3.552717,6.191873,0.380149,0.055033
0.020000,6.004733,18.583393,1.126638,3.676709,6.199562,0.384457,0.058676
0.020000,6.080611,18.587993,1.202655,3.800876,6.208368,0.440264,0.062412
0.020000,6.158953,18.593040,1.281160,3.925215,6.216960,0.429618,0.066238
0.020000,6.239760,18.598559,1.362154,4.049742,6.226347,0.469348,0.070151
0.020000,6.323032,18.604578,1.445644,4.174459,6.235864,0.475850,0.074148
0.020000,6.408770,18.611123,1.531631,4.299384,6.246241,0.518831,0.078225
0.020000,6.496975,18.618221,1.620122,4.424512,6.256396,0.507756,0.082378
0.020000,6.587648,18.625901,1.711119,4.549864,6.267583,0.559361,0.086604
0.020000,6.680789,18.634189,1.804628,4.675443,6.278934,0.567555,0.090898
0.020000,6.776398,18.643115,1.900653,4.801253,6.290509,0.578757,0.095258
0.020000,6.874477,18.652705,1.999199,4.927312,6.302989,0.623970,0.099677
0.020000,6.975024,18.662988,2.100271,5.053621,6.315436,0.622355,0.104152
0.020000,7.078042,18.673993,2.203875,5.180194,6.328626,0.659500,0.108679
0.020000,7.183530,18.685748,2.310016,5.307035,6.342057,0.671548,0.113252
0.020000,7.291488,18.698280,2.418699,5.434156,6.356079,0.701099,0.117867
0.020000,7.401917,18.711617,2.529930,5.561562,6.370293,0.710712,0.122518
0.020000,7.514816,18.725788,2.643716,5.689266,6.385212,0.745949,0.127201
0.020000,7.630187,18.740820,2.760061,5.817274,6.400374,0.758119,0.131911
0.020000,7.748028,18.756740,2.878973,5.945591,6.415829,0.772735,0.136641
0.020000,7.868340,18.773575,3.000458,6.074226,6.431795,0.798300,0.141386
0.020000,7.991124,18.791350,3.124521,6.203190,6.448153,0.817900,0.146141
0.020000,8.116380,18.810092,3.251171,6.332488,6.464915,0.838108,0.150899
0.020000,8.244107,18.829826,3.380414,6.462127,6.481951,0.851782,0.155656
0.020000,8.374306,18.850575,3.512256,6.592113,6.499303,0.867614,0.160403
0.020000,8.506978,18.872364,3.646705,6.722457,6.517204,0.895037,0.165137
0.020000,8.642123,18.895215,3.783768,6.853161,6.535185,0.899052,0.169849
0.020000,8.779741,18.919151,3.923453,6.984233,6.553602,0.920880,0.174534
0.020000,8.919835,18.944191,4.065766,7.115679,6.572336,0.936688,0.179185
0.020000,9.062404,18.970355,4.210717,7.247505,6.591302,0.948290,0.183796
0.020000,9.207450,18.997662,4.358311,7.379717,6.610592,0.964513,0.188360
0.020000,9.354975,19.026130,4.508557,7.512320,6.630120,0.976414,0.192869
0.020000,9.504365,19.055651,4.660837,7.613969,5.082459,-77.383058,0.197300
0.020000,9.654394,19.085980,4.813900,7.653157,1.959424,-156.151769,0.201611
0.020000,9.804446,19.116977,4.967121,7.661040,0.394136,-78.264419,0.205785
0.020000,9.954525,19.148623,5.120499,7.668932,0.394577,0.022068,0.209821
0.020000,10.104631,19.180897,5.274036,7.676830,0.394895,0.015904,0.213719
0.020000,10.254767,19.213779,5.427730,7.684731,0.395055,0.008022,0.217479
0.020000,10.404935,19.247249,5.581583,7.692635,0.395198,0.007109,0.221101
0.020000,10.555137,19.281288,5.735594,7.700539,0.395224,0.001310,0.224585
0.020000,10.705376,19.315875,5.889763,7.708442,0.395166,-0.002910,0.227931
0.020000,10.855655,19.350990,6.044090,7.716342,0.394971,-0.009745,0.231139
0.020000,11.005976,19.386612,6.198574,7.724239,0.394840,-0.006531,0.234209
0.020000,11.156344,19.422723,6.353217,7.732131,0.394600,-0.012015,0.237141
0.020000,11.306760,19.459302,6.508017,7.740017,0.394312,-0.014371,0.239936
0.020000,11.457230,19.496327,6.662975,7.747895,0.393921,-0.019568,0.242592
0.020000,11.607756,19.533781,6.818091,7.755768,0.393629,-0.014592,0.245112
0.020000,11.758342,19.571641,6.973363,7.763633,0.393257,-0.018614,0.247494
0.020000,11.908992,19.609888,7.128793,7.771490,0.392864,-0.019660,0.249738
0.020000,12.059711,19.648502,7.284380,7.779338,0.392409,-0.022718,0.251846
0.020000,12.210503,19.687463,7.440123,7.787179,0.392043,-0.018325,0.253817
0.020000,12.361372,19.726749,7.596024,7.795012,0.391651,-0.019595,0.255650
0.020000,12.512323,19.766342,7.752080,7.802837,0.391251,-0.019998,0.257348
0.020000,12.663360,19.806220,7.908294,7.810654,0.390835,-0.020794,0.258908
0.020000,12.814488,19.846364,8.064663,7.818463,0.390468,-0.018345,0.260332
0.020000,12.965713,19.886753,8.221188,7.826266,0.390140,-0.016387,0.261620
0.020000,13.117039,19.927367,8.377869,7.834062,0.389809,-0.016590,0.262772
0.020000,13.268471,19.968186,8.534706,7.841852,0.389498,-0.015528,0.263788
0.020000,13.420015,20.009188,8.691699,7.849636,0.389201,-0.014868,0.264667
0.020000,13.571676,20.050354,8.848847,7.857416,0.388989,-0.010582,0.265411
0.020000,13.723458,20.091664,9.006151,7.865192,0.388777,-0.010595,0.266019
0.020000,13.875369,20.133097,9.163611,7.872964,0.388601,-0.008827,0.266492
0.020000,14.027412,20.174631,9.321225,7.880733,0.388454,-0.007325,0.266828
0.020000,14.179594,20.216248,9.478995,7.888500,0.388365,-0.004482,0.267029
0.020000,14.331921,20.257926,9.636921,7.896266,0.388307,-0.002876,0.267094
0.020000,14.484397,20.299645,9.795001,7.904032,0.388284,-0.001153,0.267024
0.020000,14.637029,20.341383,9.953237,7.911798,0.388302,0.000921,0.266818
0.020000,14.789823,20.383121,10.111628,7.919565,0.388371,0.003429,0.266476
0.020000,14.942783,20.424836,10.270175,7.927335,0.388462,0.004529,0.265998
0.020000,15.095916,20.466510,10.428877,7.935107,0.388595,0.006654,0.265385
0.020000,15.249227,20.508119,10.587735,7.942882,0.388765,0.008505,0.264636
0.020000,15.402723,20.549644,10.746748,7.950662,0.388995,0.011529,0.263751
0.020000,15.556408,20.591064,10.905917,7.958446,0.389228,0.011621,0.262730
0.020000,15.710289,20.632356,11.065242,7.966236,0.389489,0.013087,0.261573
0.020000,15.864371,20.673500,11.224722,7.974032,0.389789,0.014983,0.260280
0.020000,16.018660,20.714474,11.384359,7.981834,0.390131,0.017113,0.258851
0.020000,16.173160,20.755257,11.544152,7.989645,0.390505,0.018689,0.257285
0.020000,16.326993,20.795546,11.703173,7.951069,-1.928758,-115.963140,0.253305
0.020000,16.491447,20.837203,11.872821,8.482356,26.564321,1424.653910,0.243133
0.020000,16.654414,20.876869,12.040546,8.386274,-4.804071,-1568.419590,0.234638
0.020000,16.815813,20.914846,12.206352,8.290315,-4.797950,0.306083,0.227820
0.020000,16.975568,20.951429,12.370243,8.194534,-4.789075,0.443744,0.222675
0.020000,17.133614,20.986904,12.532222,8.098933,-4.780029,0.452296,0.219201
0.020000,17.289890,21.021549,12.692291,8.003477,-4.772827,0.360108,0.217393
0.020000,17.444336,21.055630,12.850453,7.908102,-4.768760,0.203313,0.217252
0.020000,17.596897,21.089405,13.006708,7.812731,-4.768515,0.012262,0.218776
0.020000,17.747515,21.123122,13.161054,7.717288,-4.772147,-0.181592,0.221967
0.020000,17.896132,21.157020,13.313488,7.621707,-4.779078,-0.346537,0.226828
0.020000,18.042689,21.191327,13.464007,7.525945,-4.788113,-0.451758,0.233362
0.020000,18.187124,21.226263,13.612607,7.429997,-4.797371,-0.462911,0.241571
0.020000,18.329374,21.262035,13.759285,7.333910,-4.804364,-0.349650,0.251458
0.020000,18.469372,21.298841,13.904041,7.237792,-4.805911,-0.077368,0.263025
0.020000,18.607053,21.336870,14.046877,7.141828,-4.798166,0.387292,0.276267
0.020000,18.742351,21.376299,14.187803,7.046294,-4.776697,1.073438,0.291178
0.020000,18.875201,21.417293,14.326834,6.951565,-4.736481,2.010792,0.307743
0.020000,19.005543,21.460008,14.463997,6.858122,-4.672117,3.218215,0.325940
0.020000,19.133320,21.504588,14.599328,6.766562,-4.578018,4.704923,0.345736
0.020000,19.258486,21.551167,14.732880,6.677594,-4.448419,6.479954,0.367086
0.020000,19.381002,21.599869,14.864720,6.592024,-4.278485,8.496694,0.389930
0.020000,19.500840,21.650808,14.994936,6.510757,-4.063361,10.756213,0.414194
0.020000,19.661398,21.720250,15.169867,8.746581,111.791193,5792.727684,0.396492
0.020000,19.830240,21.788762,15.352080,9.110622,18.202093,-4679.455006,0.375343
0.020000,19.993886,21.851731,15.527422,8.767143,-17.173975,-1768.803366,0.360195
0.020000,20.152014,21.910367,15.696072,8.432490,-16.732663,22.065565,0.350894
0.020000,20.304338,21.965737,15.858148,8.103781,-16.435443,14.861008,0.347334
0.020000,20.450389,22.018705,16.013508,7.767982,-16.789953,-17.725462,0.349469
0.020000,20.589140,22.069803,16.161368,7.393035,-18.747315,-97.868120,0.357244
0.020000,20.719461,22.119357,16.300792,6.971180,-21.092753,-117.271910,0.370519
0.020000,20.840893,22.167757,16.431514,6.536118,-21.753135,-33.019075,0.389131
0.020000,20.953393,22.215385,16.553681,6.108340,-21.388879,18.212782,0.412952
0.020000,21.056951,22.262479,16.667444,5.688173,-21.008359,19.026014,0.441849
0.020000,21.151621,22.309164,16.772999,5.277741,-20.521620,24.336950,0.475653
0.020000,21.237559,22.355473,16.870621,4.881076,-19.833215,34.420213,0.514121
0.020000,21.315059,22.401391,16.960702,4.504064,-18.850620,49.129755,0.556912
0.020000,21.384570,22.446895,17.043783,4.154047,-17.500821,67.489981,0.603555
0.020000,21.446705,22.492003,17.120565,3.839083,-15.748230,87.629559,0.653436
