dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.349313,23.365863,0.000648,0.064754,3.237705,161.885246,3.667581
0.020000,16.348977,23.365668,0.001036,0.019427,-2.266350,-275.202763,3.667241
0.020000,16.348304,23.365278,0.001813,0.038863,0.971805,161.907769,3.666562
0.020000,16.345785,23.363821,0.004724,0.145518,5.332728,218.046138,3.665544
0.020000,16.335462,23.357866,0.016642,0.595890,22.518618,859.294524,3.664184
0.020000,16.322544,23.350439,0.031542,0.745035,7.457222,-753.069795,3.662481
0.020000,16.307022,23.341555,0.049427,0.894220,7.459293,0.103518,3.660434
0.020000,16.288885,23.331227,0.070298,1.043566,7.467274,0.399050,3.658041
0.020000,16.268117,23.319472,0.094162,1.193206,7.481987,0.735640,3.655297
0.020000,16.244708,23.306311,0.121017,1.342733,7.476358,-0.281405,3.652202
0.020000,16.218639,23.291767,0.150869,1.492619,7.494317,0.897935,3.648751
0.020000,16.189889,23.275865,0.183724,1.642725,7.505317,0.549990,3.644940
0.020000,16.158440,23.258632,0.219584,1.793041,7.515781,0.523228,3.640767
0.020000,16.124269,23.240102,0.258456,1.943592,7.527563,0.589089,3.636227
0.020000,16.087357,23.220309,0.300340,2.094210,7.530862,0.164926,3.631315
0.020000,16.047672,23.199291,0.345248,2.245372,7.558100,1.361898,3.626028
0.020000,16.005191,23.177088,0.393181,2.396646,7.563745,0.282257,3.620360
0.020000,15.959887,23.153747,0.444144,2.548174,7.576373,0.631401,3.614306
0.020000,15.911728,23.129314,0.498147,2.700122,7.597381,1.050416,3.607861
0.020000,15.860685,23.103844,0.555192,2.852239,7.605888,0.425340,3.601021
0.020000,15.806726,23.077391,0.615286,3.004713,7.623705,0.890833,3.593781
0.020000,15.749820,23.050016,0.678434,3.157408,7.634750,0.552255,3.586134
0.020000,15.689932,23.021785,0.744642,3.310411,7.650125,0.768746,3.578078
0.020000,15.627031,22.992765,0.813914,3.463605,7.659708,0.479172,3.569606
0.020000,15.561080,22.963030,0.886259,3.617252,7.682365,1.132854,3.560715
