dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.078842,14.673129,0.000648,0.064754,3.237705,161.885246,0.001154
0.020000,5.079137,14.673129,0.000943,0.014775,-2.498951,-286.832812,0.000895
0.020000,5.079728,14.673130,0.001534,0.029544,0.738468,161.870950,0.000379
0.020000,5.084576,14.673129,0.006382,0.242408,10.643176,495.235403,6.282791
0.020000,5.096118,14.673118,0.017924,0.577083,16.733752,304.528808,6.281759
0.020000,5.110545,14.673088,0.032351,0.721359,7.213795,-475.997860,6.280470
0.020000,5.127857,14.673028,0.049663,0.865613,7.212731,-0.053182,6.278923
0.020000,5.148053,14.672924,0.069859,1.009806,7.209610,-0.156069,6.277119
0.020000,5.171134,14.672760,0.092941,1.154089,7.214145,0.226754,6.275058
0.020000,5.197098,14.672519,0.118906,1.298263,7.208716,-0.271458,6.272740
0.020000,5.225945,14.672180,0.147755,1.442428,7.208275,-0.022009,6.270166
0.020000,5.257673,14.671722,0.179486,1.586561,7.206615,-0.083003,6.267337
0.020000,5.292282,14.671120,0.214100,1.730710,7.207462,0.042342,6.264252
0.020000,5.329769,14.670348,0.251595,1.874753,7.202144,-0.265917,6.260913
0.020000,5.370132,14.669376,0.291971,2.018766,7.200638,-0.075280,6.257321
0.020000,5.413370,14.668174,0.335225,2.162720,7.197718,-0.146024,6.253477
0.020000,5.459478,14.666710,0.381357,2.306576,7.192787,-0.246544,6.249381
0.020000,5.508455,14.664947,0.430365,2.450430,7.192734,-0.002662,6.245036
0.020000,5.560295,14.662849,0.482248,2.594117,7.184314,-0.421007,6.240443
0.020000,5.614994,14.660377,0.537002,2.737712,7.179786,-0.226398,6.235603
0.020000,5.672545,14.657490,0.594625,2.881173,7.173011,-0.338748,6.230520
0.020000,5.732943,14.654145,0.655116,3.024549,7.168843,-0.208402,6.225194
0.020000,5.796180,14.650297,0.718470,3.167700,7.157546,-0.564808,6.219630
0.020000,5.862248,14.645900,0.784684,3.310712,7.150578,-0.348426,6.213831
0.020000,5.931138,14.640905,0.853755,3.453528,7.140809,-0.488453,6.207799
0.020000,6.002838,14.635264,0.925677,3.596096,7.128378,-0.621519,6.201539
0.020000,6.077338,14.628924,1.000446,3.738451,7.117751,-0.531396,6.195054
0.020000,6.154624,14.621834,1.078056,3.880508,7.102875,-0.743780,6.188350
0.020000,6.234681,14.613939,1.158502,4.022284,7.088773,-0.705072,6.181432
0.020000,6.317494,14.605185,1.241776,4.163719,7.071794,-0.848990,6.174305
0.020000,6.403046,14.595515,1.327873,4.304817,7.054853,-0.847051,6.166977
0.020000,6.491317,14.584874,1.416783,4.445504,7.034349,-1.025165,6.159452
0.020000,6.582287,14.573203,1.508498,4.585793,7.014460,-0.994443,6.151740
0.020000,6.675934,14.560446,1.603011,4.725624,6.991559,-1.145070,6.143847
0.020000,6.772235,14.546543,1.700310,4.864942,6.965887,-1.283591,6.135783
0.020000,6.871164,14.531437,1.800385,5.003773,6.941590,-1.214850,6.127556
0.020000,6.972693,14.515071,1.903226,5.142017,6.912159,-1.471544,6.119176
0.020000,7.076795,14.497386,2.008819,5.279669,6.882613,-1.477315,6.110654
0.020000,7.183439,14.478325,2.117153,5.416694,6.851277,-1.566787,6.102001
0.020000,7.292593,14.457832,2.228214,5.553051,6.817833,-1.672229,6.093228
0.020000,7.404224,14.435853,2.341988,5.688704,6.782663,-1.758492,6.084347
0.020000,7.518297,14.412333,2.458460,5.823609,6.745213,-1.872472,6.075373
0.020000,7.634775,14.387220,2.577615,5.957747,6.706931,-1.914127,6.066317
0.020000,7.753622,14.360463,2.699437,6.091074,6.666323,-2.030379,6.057195
0.020000,7.874799,14.332015,2.823908,6.223561,6.624355,-2.098395,6.048021
0.020000,7.998266,14.301829,2.951011,6.355173,6.580587,-2.188403,6.038810
0.020000,8.123982,14.269862,3.080729,6.485883,6.535518,-2.253454,6.029578
0.020000,8.251909,14.236071,3.213042,6.615677,6.489713,-2.290251,6.020341
0.020000,8.382002,14.200421,3.347933,6.744505,6.441396,-2.415882,6.011116
0.020000,8.514222,14.162874,3.485380,6.872365,6.393006,-2.419476,6.001920
0.020000,8.648526,14.123401,3.625364,6.999230,6.343212,-2.489713,5.992770
0.020000,8.784873,14.081973,3.767866,7.125077,6.292365,-2.542325,5.983683
0.020000,8.923221,14.038566,3.912864,7.249899,6.241094,-2.563550,5.974679
0.020000,9.063530,13.993160,4.060337,7.373676,6.188863,-2.611578,5.965775
0.020000,9.205761,13.945738,4.210265,7.496401,6.136275,-2.629385,5.956989
0.020000,9.349874,13.896288,4.362627,7.618065,6.083196,-2.653939,5.948340
0.020000,9.495833,13.844802,4.517400,7.738662,6.029823,-2.668665,5.939847
0.020000,9.643601,13.791277,4.674564,7.858186,5.976228,-2.679735,5.931529
0.020000,9.793145,13.735713,4.834096,7.976636,5.922470,-2.687903,5.923403
0.020000,9.944432,13.678117,4.995977,8.094009,5.868656,-2.690713,5.915490
0.020000,10.097433,13.618497,5.160183,8.210308,5.814944,-2.685578,5.907807
0.020000,10.251487,13.557125,5.326012,8.291452,4.057193,-87.887581,5.900404
0.020000,10.405323,13.494548,5.492088,8.303823,0.618554,-171.931946,5.893350
0.020000,10.558323,13.431083,5.657729,8.282041,-1.089083,-85.381846,5.886676
0.020000,10.710508,13.366796,5.822935,8.260289,-1.087606,0.073871,5.880383
0.020000,10.861899,13.301753,5.987707,8.238583,-1.085307,0.114952,5.874468
0.020000,11.012518,13.236018,6.152045,8.216926,-1.082844,0.123132,5.868932
0.020000,11.162388,13.169653,6.315952,8.195329,-1.079847,0.149854,5.863774
0.020000,11.311534,13.102721,6.479428,8.173800,-1.076436,0.170520,5.858991
0.020000,11.459979,13.035281,6.642474,8.152335,-1.073252,0.159207,5.854583
0.020000,11.607750,12.967394,6.805093,8.130943,-1.069629,0.181168,5.850549
0.020000,11.754872,12.899119,6.967286,8.109621,-1.066085,0.177216,5.846888
0.020000,11.901371,12.830512,7.129053,8.088361,-1.062979,0.155307,5.843597
0.020000,12.047272,12.761632,7.290396,8.067172,-1.059474,0.175239,5.840677
0.020000,12.192603,12.692535,7.451317,8.046040,-1.056584,0.144474,5.838126
0.020000,12.337390,12.623276,7.611816,8.024963,-1.053869,0.135773,5.835944
0.020000,12.481659,12.553910,7.771895,8.003936,-1.051331,0.126865,5.834128
0.020000,12.625436,12.484491,7.931554,7.982948,-1.049403,0.096427,5.832679
0.020000,12.768748,12.415072,8.090794,7.961996,-1.047589,0.090701,5.831596
0.020000,12.911622,12.345708,8.249615,7.941069,-1.046346,0.062133,5.830879
0.020000,13.054082,12.276450,8.408019,7.920160,-1.045490,0.042814,5.830527
0.020000,13.196154,12.207350,8.566004,7.899259,-1.045055,0.021731,5.830540
0.020000,13.337864,12.138461,8.723571,7.878357,-1.045069,-0.000700,5.830918
0.020000,13.479237,12.069834,8.880720,7.857446,-1.045553,-0.024158,5.831661
0.020000,13.620296,12.001521,9.037450,7.836517,-1.046447,-0.044732,5.832770
0.020000,13.761066,11.933572,9.193761,7.815562,-1.047743,-0.064795,5.834245
0.020000,13.901569,11.866038,9.349653,7.794571,-1.049568,-0.091238,5.836086
0.020000,14.041830,11.798971,9.505124,7.773541,-1.051522,-0.097698,5.838295
0.020000,14.181871,11.732420,9.660173,7.752458,-1.054131,-0.130459,5.840872
0.020000,14.321712,11.666437,9.814799,7.731321,-1.056865,-0.136704,5.843819
0.020000,14.461375,11.601071,9.969002,7.710125,-1.059806,-0.147058,5.847135
0.020000,14.600880,11.536374,10.122779,7.688860,-1.063234,-0.171400,5.850823
0.020000,14.740247,11.472396,10.276129,7.667531,-1.066442,-0.160369,5.854884
0.020000,14.879495,11.409187,10.429052,7.646130,-1.070026,-0.179212,5.859318
0.020000,15.018642,11.346798,10.581545,7.624658,-1.073613,-0.179370,5.864127
0.020000,15.157705,11.285280,10.733608,7.603123,-1.076741,-0.156381,5.869313
0.020000,15.296700,11.224683,10.885238,7.581518,-1.080251,-0.175518,5.874876
0.020000,15.435643,11.165056,11.036435,7.559854,-1.083216,-0.148233,5.880817
0.020000,15.574550,11.106452,11.187198,7.538143,-1.085574,-0.117925,5.887137
0.020000,15.713432,11.048919,11.337526,7.516384,-1.087930,-0.117772,5.893838
0.020000,15.852305,10.992509,11.487418,7.494597,-1.089371,-0.072048,5.900919
0.020000,15.991178,10.937272,11.636874,7.472798,-1.089904,-0.026651,5.908380
0.020000,16.130064,10.883256,11.785894,7.451000,-1.089923,-0.000944,5.916223
0.020000,16.268972,10.830513,11.934478,7.429227,-1.088659,0.063182,5.924446
0.020000,16.403786,10.780597,12.078236,7.187912,-12.065718,-548.852963,5.932709
0.020000,16.543905,10.730011,12.227207,7.448514,13.030055,1254.788659,5.940595
0.020000,16.685346,10.680136,12.377183,7.498834,2.516010,-525.702224,5.947602
0.020000,16.828062,10.630862,12.528166,7.549151,2.515841,-0.008468,5.953730
0.020000,16.972009,10.582079,12.680155,7.599432,2.514071,-0.088479,5.958980
0.020000,17.117142,10.533670,12.833148,7.649659,2.511354,-0.135896,5.963353
0.020000,17.263417,10.485519,12.987145,7.699824,2.508243,-0.155510,5.966849
0.020000,17.410791,10.437505,13.142143,7.749928,2.505202,-0.152075,5.969470
0.020000,17.559223,10.389505,13.298143,7.799980,2.502596,-0.130305,5.971217
0.020000,17.708669,10.341393,13.455143,7.849994,2.500699,-0.094856,5.972091
0.020000,17.859088,10.293040,13.613142,7.899988,2.499692,-0.050329,5.972091
0.020000,18.010438,10.244315,13.772142,7.949981,2.499667,-0.001276,5.971218
0.020000,18.162675,10.195084,13.932142,7.999994,2.500622,0.047776,5.969471
0.020000,18.315757,10.145210,14.093143,8.050043,2.502468,0.092301,5.966851
0.020000,18.469637,10.094555,14.255146,8.100143,2.505023,0.127746,5.963355
0.020000,18.624268,10.042978,14.418152,8.150304,2.508013,0.149515,5.958982
0.020000,18.779600,9.990335,14.582162,8.200525,2.511072,0.152953,5.953733
0.020000,18.935581,9.936481,14.747178,8.250800,2.513739,0.133351,5.947605
0.020000,19.092154,9.881269,14.913200,8.301109,2.515459,0.085961,5.940598
0.020000,19.249257,9.824551,15.080229,8.351421,2.515579,0.006038,5.932713
0.020000,19.406826,9.766178,15.248263,8.401688,2.513358,-0.111088,5.923949
0.020000,19.564788,9.706000,15.417300,8.451847,2.507959,-0.269915,5.914310
0.020000,19.723067,9.643869,15.587336,8.501816,2.498467,-0.474632,5.903797
0.020000,19.881576,9.579635,15.758366,8.551494,2.483888,-0.728943,5.892416
0.020000,20.040225,9.513153,15.930381,8.600757,2.463171,-1.035851,5.880175
0.020000,20.198912,9.444278,16.103370,8.649462,2.435223,-1.397410,5.867083
0.020000,20.357529,9.372872,16.277319,8.697441,2.398934,-1.814431,5.853153
0.020000,20.515958,9.298799,16.452209,8.744505,2.353210,-2.286177,5.838400
0.020000,20.674072,9.221932,16.628018,8.790445,2.297010,-2.810045,5.822845
0.020000,20.831737,9.142151,16.804719,8.835033,2.229384,-3.381256,5.806511
0.020000,20.988807,9.059345,16.982279,8.878023,2.149533,-3.992593,5.789425
0.020000,21.097922,9.002398,17.105361,6.154086,-136.196879,-6917.320594,5.816829
0.020000,21.214203,8.945758,17.234703,6.467131,15.652289,7592.458398,5.841855
0.020000,21.337515,8.889045,17.370432,6.786425,15.964658,15.618457,5.861304
0.020000,21.467459,8.831889,17.512390,7.097927,15.575130,-19.476372,5.875313
0.020000,21.603650,8.773817,17.660445,7.402745,15.240911,-16.710974,5.883998
0.020000,21.745726,8.714246,17.814505,7.702981,15.011760,-11.457553,5.887440
0.020000,21.893356,8.652490,17.974531,8.001301,14.915993,-4.788358,5.885670
0.020000,22.046224,8.587750,18.140543,8.300584,14.964167,2.408729,5.878673
0.020000,22.204018,8.519121,18.312615,8.603600,15.150832,9.333215,5.866382
0.020000,22.366396,8.445584,18.490868,8.912677,15.453829,15.149881,5.848691
0.020000,22.532948,8.366010,18.675454,9.229283,15.830309,18.824008,5.825469
0.020000,22.703148,8.279176,18.866525,9.553549,16.213289,19.148975,5.796580
0.020000,22.876285,8.183792,19.064197,9.883633,16.504218,14.546483,5.761923
0.020000,23.051399,8.078557,19.268499,10.215071,16.571890,3.383579,5.721472
0.020000,23.227214,7.962252,19.479302,10.540166,16.254716,-15.858724,5.675340
0.020000,23.402099,7.833858,19.696257,10.847760,15.379733,-43.749125,5.623829
0.020000,23.574068,7.692716,19.918731,11.123686,13.796266,-79.173331,5.567495
0.020000,23.740793,7.538748,20.145675,11.347177,11.174584,-131.084136,5.507191
0.020000,23.899214,7.373228,20.374791,11.455802,5.431218,-287.168271,5.444301
0.020000,24.046124,7.198855,20.602800,11.400476,-2.766285,-409.875146,5.380619
0.020000,24.179637,7.018312,20.827348,11.227395,-8.654028,-294.387192,5.317700
0.020000,24.299105,6.833852,21.047116,10.988401,-11.949738,-164.785502,5.256696
0.020000,24.404505,6.647653,21.261077,10.698035,-14.518273,-128.426715,5.198505
0.020000,24.483168,6.493293,21.434325,8.662399,-101.781787,-4363.175716,5.169203
0.020000,24.559334,6.332007,21.612691,8.918305,12.795278,5728.853276,5.137595
0.020000,24.630191,6.168289,21.791085,8.919685,0.069004,-636.313699,5.103699
0.020000,24.695333,6.001990,21.969687,8.930123,0.521913,22.645422,5.067358
0.020000,24.754295,5.833006,22.148663,8.948775,0.932578,20.533272,5.028427
0.020000,24.806555,5.661293,22.328151,8.974435,1.283031,17.522634,4.986785
