dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.081483,12.383130,0.000648,0.064754,3.237705,161.885246,0.001154
0.020000,5.081188,12.383130,0.000943,0.014775,-2.498951,-286.832812,0.000895
0.020000,5.080597,12.383130,0.001534,0.029544,0.738468,161.870950,0.000379
0.020000,5.083673,12.383129,0.004610,0.153794,6.212467,273.699991,6.282791
0.020000,5.092852,12.383121,0.013789,0.458962,15.258423,452.297769,6.281759
0.020000,5.104326,12.383097,0.025264,0.573732,5.738478,-475.997236,6.280470
0.020000,5.118096,12.383049,0.039034,0.688503,5.738541,0.003135,6.278923
0.020000,5.134161,12.382966,0.055099,0.803247,5.737227,-0.065708,6.277119
0.020000,5.152523,12.382835,0.073461,0.918093,5.742306,0.253959,6.275058
0.020000,5.173179,12.382644,0.094118,1.032890,5.739812,-0.124702,6.272740
0.020000,5.196132,12.382374,0.117073,1.147723,5.741696,0.094233,6.270166
0.020000,5.221381,12.382010,0.142325,1.262585,5.743085,0.069444,6.267337
0.020000,5.248928,12.381531,0.169875,1.377525,5.747016,0.196537,6.264252
0.020000,5.278771,12.380916,0.199724,1.492459,5.746665,-0.017538,6.260913
0.020000,5.310910,12.380142,0.231873,1.607460,5.750060,0.169735,6.257321
0.020000,5.345348,12.379185,0.266324,1.722523,5.753132,0.153623,6.253477
0.020000,5.382082,12.378018,0.303076,1.837633,5.755507,0.118716,6.249381
0.020000,5.421114,12.376613,0.342134,1.952888,5.762777,0.363526,6.245036
0.020000,5.462444,12.374941,0.383498,2.068178,5.764503,0.086280,6.240443
0.020000,5.506071,12.372969,0.427170,2.183590,5.770569,0.303318,6.235603
0.020000,5.551996,12.370665,0.473152,2.299114,5.776207,0.281897,6.230520
0.020000,5.600218,12.367994,0.521448,2.414822,5.785418,0.460552,6.225194
0.020000,5.650738,12.364920,0.572061,2.530634,5.790563,0.257245,6.219630
0.020000,5.703554,12.361405,0.624994,2.646652,5.800922,0.517967,6.213831
0.020000,5.758666,12.357409,0.680251,2.762871,5.810944,0.501054,6.207799
0.020000,5.816075,12.352892,0.737837,2.879288,5.820872,0.496420,6.201539
0.020000,5.875779,12.347812,0.797757,2.995977,5.834420,0.677400,6.195054
0.020000,5.937777,12.342124,0.860015,3.112914,5.846881,0.623050,6.188350
0.020000,6.002068,12.335784,0.924618,3.230163,5.862413,0.776602,6.181432
0.020000,6.068651,12.328745,0.991573,3.347727,5.878218,0.790252,6.174305
0.020000,6.137526,12.320961,1.060886,3.465662,5.896764,0.927301,6.166977
0.020000,6.208690,12.312381,1.132565,3.583968,5.915272,0.925383,6.159452
0.020000,6.282142,12.302958,1.206620,3.702712,5.937212,1.097031,6.151740
0.020000,6.357881,12.292640,1.283058,3.821907,5.959761,1.127447,6.143847
0.020000,6.435904,12.281376,1.361889,3.941571,5.983190,1.171433,6.135783
0.020000,6.516209,12.269114,1.443125,4.061789,6.010927,1.386847,6.127556
0.020000,6.598793,12.255801,1.526776,4.182544,6.037750,1.341162,6.119176
0.020000,6.683655,12.241384,1.612854,4.303900,6.067761,1.500535,6.110654
0.020000,6.770792,12.225810,1.701372,4.425892,6.099619,1.592896,6.102001
0.020000,6.860201,12.209024,1.792343,4.548553,6.133056,1.671858,6.093228
0.020000,6.951880,12.190973,1.885781,4.671920,6.168356,1.765022,6.084347
0.020000,7.045824,12.171603,1.981702,4.796021,6.205013,1.832812,6.075373
0.020000,7.142031,12.150860,2.080120,4.920903,6.244141,1.956417,6.066317
0.020000,7.240498,12.128692,2.181052,5.046592,6.284418,2.013835,6.057195
0.020000,7.341222,12.105045,2.284514,5.173122,6.326518,2.105039,6.048021
0.020000,7.444200,12.079868,2.390524,5.300521,6.369939,2.171011,6.038810
0.020000,7.549427,12.053110,2.499101,5.428819,6.414932,2.249689,6.029578
0.020000,7.656902,12.024722,2.610262,5.558055,6.461799,2.343322,6.020341
0.020000,7.766622,11.994654,2.724027,5.688233,6.508852,2.352673,6.011116
0.020000,7.878583,11.962860,2.840414,5.819391,6.557935,2.454144,6.001920
0.020000,7.992783,11.929295,2.959445,5.951545,6.607712,2.488861,5.992770
0.020000,8.109221,11.893916,3.081139,6.084711,6.658255,2.527124,5.983683
0.020000,8.227895,11.856681,3.205518,6.218908,6.709872,2.580874,5.974679
0.020000,8.348804,11.817553,3.332601,6.354146,6.761883,2.600517,5.965775
0.020000,8.471948,11.776494,3.462409,6.490437,6.814583,2.635036,5.956989
0.020000,8.597328,11.733472,3.594965,6.627790,6.867649,2.653260,5.948340
0.020000,8.724945,11.688455,3.730289,6.766211,6.921050,2.670082,5.939847
0.020000,8.854803,11.641417,3.868403,6.905705,6.974671,2.681050,5.931529
0.020000,8.986904,11.592334,4.009329,7.046273,7.028402,2.686515,5.923403
0.020000,9.121255,11.541184,4.153087,7.187917,7.082198,2.689841,5.915490
0.020000,9.257863,11.487952,4.299700,7.330639,7.136094,2.694760,5.907807
0.020000,9.396167,11.432854,4.448575,7.443756,5.655853,-74.012010,5.900404
0.020000,9.535040,11.376363,4.598498,7.496145,2.619490,-151.818162,5.893350
0.020000,9.673924,11.318753,4.748857,7.517930,1.089209,-76.514045,5.886676
0.020000,9.812832,11.260074,4.899650,7.539683,1.087648,-0.078076,5.880383
0.020000,9.951779,11.200377,5.050878,7.561396,1.085662,-0.099265,5.874468
0.020000,10.090778,11.139713,5.202539,7.583054,1.082892,-0.138525,5.868932
0.020000,10.229847,11.078131,5.354632,7.604652,1.079900,-0.149611,5.863774
0.020000,10.369000,11.015682,5.507156,7.626187,1.076787,-0.155625,5.858991
0.020000,10.508256,10.952417,5.660109,7.647650,1.073151,-0.181802,5.854583
0.020000,10.647632,10.888386,5.813490,7.669046,1.069790,-0.168076,5.850549
0.020000,10.787148,10.823640,5.967297,7.690374,1.066382,-0.170384,5.846888
0.020000,10.926823,10.758229,6.121530,7.711628,1.062730,-0.182580,5.843597
0.020000,11.066677,10.692204,6.276186,7.732824,1.059762,-0.148406,5.840677
0.020000,11.206732,10.625615,6.431266,7.753956,1.056629,-0.156640,5.838126
0.020000,11.347010,10.558513,6.586766,7.775033,1.053853,-0.138804,5.835944
0.020000,11.487532,10.490948,6.742688,7.796064,1.051521,-0.116594,5.834128
0.020000,11.628321,10.422971,6.899029,7.817050,1.049290,-0.111570,5.832679
0.020000,11.769402,10.354634,7.055789,7.838004,1.047703,-0.079369,5.831596
0.020000,11.910797,10.285987,7.212967,7.858931,1.046362,-0.067011,5.830879
0.020000,12.052532,10.217081,7.370564,7.879841,1.045486,-0.043800,5.830527
0.020000,12.194631,10.147969,7.528579,7.900742,1.045065,-0.021089,5.830540
0.020000,12.337120,10.078701,7.687012,7.921644,1.045082,0.000883,5.830918
0.020000,12.480024,10.009331,7.845863,7.942554,1.045518,0.021785,5.831661
0.020000,12.623368,9.939911,8.005133,7.963482,1.046417,0.044947,5.832770
0.020000,12.767180,9.870494,8.164821,7.984438,1.047765,0.067393,5.834245
0.020000,12.911485,9.801133,8.324930,8.005425,1.049393,0.081383,5.836086
0.020000,13.056309,9.731884,8.485459,8.026459,1.051659,0.113318,5.838295
0.020000,13.201680,9.662800,8.646410,8.047538,1.053958,0.114973,5.840872
0.020000,13.347623,9.593938,8.807783,8.068673,1.056758,0.139999,5.843819
0.020000,13.494165,9.525353,8.969581,8.089871,1.059884,0.156284,5.847135
0.020000,13.641332,9.457103,9.131803,8.111129,1.062933,0.152426,5.850823
0.020000,13.789150,9.389246,9.294452,8.132460,1.066524,0.179581,5.854884
0.020000,13.937644,9.321840,9.457530,8.153858,1.069890,0.168302,5.859318
0.020000,14.086840,9.254946,9.621036,8.175323,1.073267,0.168818,5.864127
0.020000,14.236763,9.188624,9.784973,8.196863,1.076979,0.185623,5.869313
0.020000,14.387436,9.122936,9.949342,8.218461,1.079930,0.147567,5.874876
0.020000,14.538882,9.057945,10.114145,8.240119,1.082908,0.148877,5.880817
0.020000,14.691124,8.993714,10.279382,8.261834,1.085757,0.142436,5.887137
0.020000,14.844183,8.930310,10.445053,8.283586,1.087569,0.090598,5.893838
0.020000,14.998079,8.867798,10.611161,8.305367,1.089075,0.075301,5.900919
0.020000,15.152830,8.806246,10.777704,8.327167,1.089991,0.045827,5.908380
0.020000,15.308454,8.745721,10.944683,8.348959,1.089578,-0.020661,5.916223
0.020000,15.464966,8.686294,11.112098,8.370726,1.088372,-0.060275,5.924446
0.020000,15.617526,8.629808,11.274779,8.134055,-11.833537,-646.095474,5.932709
0.020000,15.774630,8.573089,11.441808,8.351445,10.869504,1135.152050,5.940595
0.020000,15.931203,8.517876,11.607830,8.301134,-2.515581,-669.254269,5.947602
0.020000,16.087184,8.464022,11.772847,8.250825,-2.515460,0.006072,5.953730
0.020000,16.242517,8.411378,11.936858,8.200550,-2.513741,0.085954,5.958980
0.020000,16.397148,8.359800,12.099864,8.150328,-2.511074,0.133352,5.963353
0.020000,16.551028,8.309145,12.261868,8.100168,-2.508015,0.152960,5.966849
0.020000,16.704110,8.259271,12.422869,8.050068,-2.505024,0.149527,5.969470
0.020000,16.856348,8.210040,12.582869,8.000018,-2.502469,0.127762,5.971217
0.020000,17.007698,8.161315,12.741870,7.950006,-2.500622,0.092321,5.972091
0.020000,17.158118,8.112962,12.899870,7.900012,-2.499666,0.047800,5.972091
0.020000,17.307565,8.064849,13.056870,7.850019,-2.499692,-0.001252,5.971218
0.020000,17.455996,8.016849,13.212870,7.800005,-2.500698,-0.050306,5.969471
0.020000,17.603371,7.968836,13.367869,7.749953,-2.502594,-0.094837,5.966851
0.020000,17.749647,7.920684,13.521866,7.699849,-2.505200,-0.130293,5.963355
0.020000,17.894780,7.872276,13.674860,7.649684,-2.508242,-0.152074,5.958982
0.020000,18.038728,7.823492,13.826849,7.599457,-2.511352,-0.155523,5.953733
0.020000,18.181445,7.774219,13.977833,7.549175,-2.514071,-0.135927,5.947605
0.020000,18.322886,7.724344,14.127810,7.498859,-2.515841,-0.088531,5.940598
0.020000,18.463005,7.673759,14.276781,7.448538,-2.516013,-0.008587,5.932713
0.020000,18.601756,7.622359,14.424746,7.398261,-2.513841,0.108579,5.923949
0.020000,18.739090,7.570041,14.571708,7.348092,-2.508492,0.267466,5.914310
0.020000,18.874960,7.516708,14.717670,7.298111,-2.499047,0.472257,5.903797
0.020000,19.009316,7.462264,14.862638,7.248420,-2.484514,0.726647,5.892416
0.020000,19.142111,7.406617,15.006621,7.199144,-2.463841,1.033630,5.880175
0.020000,19.273297,7.349681,15.149630,7.150425,-2.435936,1.395257,5.867083
0.020000,19.402826,7.291372,15.291678,7.102431,-2.399689,1.812362,5.853153
0.020000,19.530653,7.231609,15.432785,7.055351,-2.354003,2.284287,5.838400
0.020000,19.656732,7.170318,15.572973,7.009394,-2.297831,2.808611,5.822845
0.020000,19.781023,7.107428,15.712269,6.964790,-2.230213,3.380905,5.806511
0.020000,19.903484,7.042870,15.850705,6.921784,-2.150322,3.994561,5.789425
0.020000,20.068259,6.956941,16.036540,9.291755,118.498579,6032.445053,5.816829
0.020000,20.236046,6.875176,16.223189,9.332457,2.035104,-5823.173740,5.841855
0.020000,20.399812,6.799831,16.403455,9.013326,-15.956547,-899.582558,5.861304
0.020000,20.559115,6.729745,16.577494,8.701943,-15.569149,19.369888,5.875313
0.020000,20.713597,6.663863,16.745438,8.397206,-15.236872,16.613845,5.883998
0.020000,20.862940,6.601242,16.907379,8.097013,-15.009656,11.360798,5.887440
0.020000,21.006832,6.541050,17.063353,7.798699,-14.915713,4.697163,5.885670
0.020000,21.144947,6.482566,17.213340,7.499385,-14.965703,-2.499516,5.878673
0.020000,21.276935,6.425174,17.357266,7.196299,-15.154255,-9.427607,5.866382
0.020000,21.402416,6.368364,17.495009,6.887119,-15.458998,-15.237143,5.848691
0.020000,21.520995,6.311734,17.626416,6.570361,-15.837906,-18.945372,5.825469
0.020000,21.632280,6.254987,17.751334,6.245901,-16.222996,-19.254505,5.796580
0.020000,21.735921,6.197924,17.869645,5.915573,-16.516430,-14.671740,5.761923
0.020000,21.831661,6.140430,17.981322,5.583850,-16.586121,-3.484526,5.721472
0.020000,21.919394,6.082436,18.086491,5.258430,-16.271012,15.755469,5.675340
0.020000,21.999226,6.023872,18.185501,4.950487,-15.397141,43.693542,5.623829
0.020000,22.071510,5.964590,18.278985,4.674223,-13.813243,79.194900,5.567495
0.020000,22.136818,5.904317,18.367855,4.443485,-11.536862,113.819052,5.507191
0.020000,22.195688,5.842836,18.452976,4.256055,-9.371496,108.268282,5.444301
0.020000,22.248658,5.779976,18.535179,4.110155,-7.295010,103.824323,5.380619
0.020000,22.296512,5.715261,18.615665,4.024304,-4.292551,150.122909,5.317700
0.020000,22.340041,5.648033,18.695755,4.004485,-0.990971,165.079011,5.256696
0.020000,22.379791,5.577776,18.776477,4.036108,1.581158,128.606466,5.198505
0.020000,22.427980,5.483194,18.882628,5.307535,63.571361,3099.510142,5.169203
0.020000,22.473250,5.387362,18.988614,5.299308,-0.411372,-3199.136663,5.137595
0.020000,22.513291,5.294883,19.089389,5.038768,-13.026983,-630.780523,5.103699
0.020000,22.548097,5.206075,19.184775,4.769279,-13.474439,-22.372817,5.067358
0.020000,22.577709,5.121266,19.274604,4.491469,-13.890526,-20.804320,5.028427
0.020000,22.602226,5.040782,19.358739,4.206759,-14.235499,-17.248659,4.986785
0.020000,22.621813,4.964926,19.437084,3.917239,-14.475983,-12.024209,4.942349
0.020000,22.636709,4.893949,19.509607,3.626145,-14.554717,-3.936706,4.895090
0.020000,22.647230,4.828029,19.576362,3.337722,-14.421147,6.678484,4.845056
0.020000,22.653757,4.767231,19.637508,3.057340,-14.019069,20.103918,4.792386
0.020000,22.656719,4.711484,19.693334,2.791308,-13.301643,35.871295,4.737332
0.020000,22.656565,4.660555,19.744263,2.546448,-12.242985,52.932888,4.680263
0.020000,22.653730,4.614053,19.790852,2.329450,-10.849884,69.655046,4.621666
0.020000,22.648589,4.571440,19.833773,2.146052,-9.169916,83.998433,4.562127
0.020000,22.641432,4.532081,19.873778,2.000225,-7.291358,93.927908,4.502302
0.020000,22.632444,4.495293,19.911648,1.893500,-5.336237,97.756019,4.442875
0.020000,22.621705,4.460414,19.948143,1.824736,-3.438194,94.902187,4.384509
0.020000,22.609215,4.426858,19.983948,1.790281,-1.722744,85.772453,4.327803
0.020000,22.594920,4.394155,20.019640,1.784562,-0.285945,71.839973,4.273258
0.020000,22.578755,4.361968,20.055658,1.800901,0.816914,55.142958,4.221261
0.020000,22.560672,4.330093,20.092305,1.832365,1.573233,37.815924,4.172076
0.020000,22.540660,4.298439,20.129753,1.872429,2.003175,21.497123,4.125852
0.020000,22.518762,4.267005,20.168063,1.915500,2.153565,7.519496,4.082642
0.020000,22.495069,4.235850,20.207205,1.957054,2.077700,-3.793263,4.042420
0.020000,22.469720,4.205069,20.247079,1.993747,1.834661,-12.151955,4.005100
0.020000,22.442892,4.174776,20.287545,2.023255,1.475408,-17.962640,3.970558
0.020000,22.414786,4.145087,20.328427,2.044119,1.043202,-21.610307,3.938643
0.020000,22.385620,4.116112,20.369539,2.055608,0.574409,-23.439634,3.909189
0.020000,22.355619,4.087948,20.410688,2.057443,0.091763,-24.132282,3.882030
0.020000,22.325010,4.060678,20.451683,2.049760,-0.384145,-23.795421,3.856999
0.020000,22.294011,4.034369,20.492342,2.032923,-0.841861,-22.885780,3.833936
0.020000,22.262833,4.009074,20.532490,2.007426,-1.274815,-21.647713,3.812689
0.020000,22.231675,3.984832,20.571968,1.973873,-1.677691,-20.143802,3.793118
0.020000,22.200724,3.961671,20.610625,1.932888,-2.049248,-18.577869,3.775093
0.020000,22.170152,3.939608,20.648327,1.885088,-2.389982,-17.036667,3.758496
0.020000,22.140118,3.918652,20.684949,1.831103,-2.699266,-15.464225,3.743218
0.020000,22.110767,3.898807,20.720379,1.771511,-2.979606,-14.016989,3.729160
0.020000,22.082233,3.880069,20.754516,1.706844,-3.233310,-12.685201,3.716236
0.020000,22.054635,3.862431,20.787269,1.637629,-3.460774,-11.373201,3.704364
0.020000,22.028082,3.845884,20.818555,1.564329,-3.664990,-10.210816,3.693474
0.020000,22.002674,3.830416,20.848302,1.487304,-3.851278,-9.314393,3.683502
0.020000,21.978499,3.816012,20.876442,1.407040,-4.013158,-8.093986,3.674389
0.020000,21.955637,3.802659,20.902919,1.323830,-4.160542,-7.369232,3.666084
0.020000,21.934158,3.790341,20.927679,1.237992,-4.291881,-6.566905,3.658543
0.020000,21.914128,3.779044,20.950675,1.149800,-4.409599,-5.885920,3.651723
0.020000,21.895602,3.768753,20.971867,1.059610,-4.509477,-4.993883,3.645590
0.020000,21.878632,3.759455,20.991218,0.967534,-4.603798,-4.716044,3.640111
0.020000,21.863261,3.751135,21.008696,0.873907,-4.681371,-3.878660,3.635259
0.020000,21.849528,3.743783,21.024273,0.778885,-4.751104,-3.486638,3.631008
0.020000,21.837466,3.737387,21.037926,0.682637,-4.812420,-3.065834,3.627340
0.020000,21.827104,3.731937,21.049634,0.585402,-4.861716,-2.464810,3.624234
0.020000,21.818465,3.727424,21.059381,0.487323,-4.903963,-2.112340,3.621677
0.020000,21.811569,3.723843,21.067151,0.388500,-4.941139,-1.858808,3.619657
0.020000,21.806433,3.721186,21.072933,0.289134,-4.968294,-1.357708,3.618164
0.020000,21.803066,3.719450,21.076722,0.189412,-4.986115,-0.891065,3.617190
0.020000,21.801428,3.718607,21.078564,0.092101,-4.865551,6.028207,3.616718
0.020000,21.801030,3.718402,21.079011,0.022368,-3.486667,68.944159,3.616603
0.020000,21.801030,3.718402,21.079011,0.000000,-1.118383,118.414200,3.616603
