dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.882146,14.806805,0.000648,0.064754,3.237705,161.885246,6.281001
0.020000,4.881834,14.806806,0.000959,0.015594,-2.457994,-284.784970,6.281273
0.020000,4.881210,14.806807,0.001584,0.031204,0.780486,161.924042,6.281818
0.020000,4.880273,14.806808,0.002520,0.046845,0.782038,0.077566,6.282637
0.020000,4.884180,14.806809,0.006427,0.195353,7.425433,332.169744,0.000544
0.020000,4.895562,14.806823,0.017810,0.569110,18.687837,563.120218,0.001913
0.020000,4.909218,14.806861,0.031466,0.682807,5.684841,-650.149804,0.003561
0.020000,4.925139,14.806933,0.047387,0.796043,5.661795,-1.152291,0.005492
0.020000,4.943322,14.807053,0.065571,0.909193,5.657497,-0.214917,0.007708
0.020000,4.963764,14.807236,0.086013,1.022133,5.646994,-0.525143,0.010214
0.020000,4.986457,14.807499,0.108708,1.134738,5.630265,-0.836418,0.013013
0.020000,5.011395,14.807863,0.133649,1.247034,5.614816,-0.772484,0.016112
0.020000,5.038579,14.808347,0.160837,1.359396,5.618081,0.163240,0.019516
0.020000,5.067988,14.808975,0.190253,1.470805,5.570470,-2.380542,0.023231
0.020000,5.099622,14.809774,0.221896,1.582191,5.569301,-0.058426,0.027264
0.020000,5.133472,14.810771,0.255761,1.693206,5.550761,-0.927002,0.031622
0.020000,5.169522,14.811996,0.291832,1.803557,5.517544,-1.660843,0.036313
0.020000,5.207761,14.813481,0.330100,1.913419,5.493100,-1.222233,0.041346
0.020000,5.248182,14.815262,0.370560,2.022969,5.477478,-0.781070,0.046730
0.020000,5.290767,14.817376,0.413197,2.131880,5.445542,-1.596834,0.052474
0.020000,5.335496,14.819862,0.457995,2.239918,5.401906,-2.181766,0.058590
0.020000,5.382361,14.822763,0.504950,2.347704,5.389326,-0.629038,0.065087
0.020000,5.431339,14.826125,0.554043,2.454687,5.349110,-2.010773,0.071979
0.020000,5.482410,14.829994,0.605261,2.560864,5.308861,-2.012462,0.079278
0.020000,5.535552,14.834422,0.658587,2.666311,5.272344,-1.825867,0.086995
0.020000,5.590741,14.839461,0.714006,2.770954,5.232184,-2.007988,0.095145
0.020000,5.647960,14.845170,0.771509,2.875141,5.209310,-1.143684,0.103744
0.020000,5.707169,14.851605,0.831066,2.977871,5.136527,-3.639176,0.112803
0.020000,5.768349,14.858830,0.892671,3.080245,5.118681,-0.892279,0.122341
0.020000,5.831463,14.866911,0.956301,3.181491,5.062299,-2.819080,0.132372
0.020000,5.896478,14.875916,1.021936,3.281754,5.013158,-2.457058,0.142912
0.020000,5.963357,14.885916,1.089559,3.381140,4.969289,-2.193462,0.153978
0.020000,6.032066,14.896987,1.159154,3.479749,4.930469,-1.940987,0.165588
0.020000,6.102554,14.909207,1.230694,3.577003,4.862678,-3.389555,0.177756
0.020000,6.174786,14.922658,1.304167,3.673642,4.831973,-1.535241,0.190500
0.020000,6.248711,14.937424,1.379552,3.769274,4.781590,-2.519140,0.203836
0.020000,6.324279,14.953592,1.456830,3.863905,4.731555,-2.501786,0.217779
0.020000,6.401442,14.971256,1.535990,3.957984,4.703944,-1.380519,0.232346
0.020000,6.480139,14.990508,1.617007,4.050877,4.644661,-2.964154,0.247548
0.020000,6.560319,15.011448,1.699876,4.143454,4.628866,-0.789751,0.263398
0.020000,6.641918,15.034174,1.784581,4.235240,4.589255,-1.980547,0.279905
0.020000,6.724876,15.058791,1.871114,4.326650,4.570548,-0.935353,0.297077
0.020000,6.809127,15.085405,1.959469,4.417760,4.555468,-0.754026,0.314918
0.020000,6.894613,15.114128,2.049651,4.509079,4.565960,0.524595,0.333430
0.020000,6.981259,15.145071,2.141657,4.600281,4.560074,-0.294282,0.352609
0.020000,7.069001,15.178348,2.235498,4.692046,4.588254,1.408996,0.372447
0.020000,7.157771,15.214079,2.331189,4.784570,4.626217,1.898139,0.392931
0.020000,7.247499,15.252383,2.428751,4.878084,4.675688,2.473540,0.414043
0.020000,7.338120,15.293384,2.528216,4.973246,4.758136,4.122412,0.435756
0.020000,7.429563,15.337206,2.629616,5.070040,4.839689,4.077661,0.458040
0.020000,7.521762,15.383975,2.732999,5.169130,4.954511,5.741088,0.480855
0.020000,7.614650,15.433820,2.838416,5.270838,5.085368,6.542870,0.504155
0.020000,7.708163,15.486869,2.945929,5.375643,5.240287,7.745921,0.527887
0.020000,7.802237,15.543253,3.055605,5.483833,5.409478,8.459565,0.551990
0.020000,7.896810,15.603102,3.167524,5.595955,5.606090,9.830608,0.576398
0.020000,7.991819,15.666544,3.281768,5.712190,5.811767,10.283838,0.601038
0.020000,8.087206,15.733705,3.398427,5.832930,6.036973,11.260335,0.625831
0.020000,8.182909,15.804708,3.517593,5.958319,6.269446,11.623613,0.650694
0.020000,8.278872,15.879675,3.639367,6.088687,6.518400,12.447691,0.675544
0.020000,8.375037,15.958716,3.763847,6.223989,6.765103,12.335171,0.700292
0.020000,8.471347,16.041940,3.891133,6.364321,7.016638,12.576751,0.724851
0.020000,8.567355,16.129080,4.020790,6.482867,5.927262,-54.468792,0.749036
0.020000,8.662255,16.219438,4.151827,6.551834,3.448369,-123.944646,0.772582
0.020000,8.755671,16.312601,4.283758,6.596573,2.236929,-60.572028,0.795347
0.020000,8.847627,16.408504,4.416623,6.643235,2.333124,4.809776,0.817297
0.020000,8.938147,16.507072,4.550450,6.691363,2.406387,3.663139,0.838406
0.020000,9.027261,16.608230,4.685262,6.740586,2.461166,2.738952,0.858656
0.020000,9.114998,16.711897,4.821073,6.790525,2.496922,1.787774,0.878033
0.020000,9.201392,16.817986,4.957889,6.840828,2.515152,0.911502,0.896532
0.020000,9.286478,16.926411,5.095714,6.891222,2.519706,0.227744,0.914151
0.020000,9.370295,17.037082,5.234543,6.941478,2.512807,-0.344959,0.930892
0.020000,9.452887,17.149911,5.374371,6.991371,2.494645,-0.908097,0.946762
0.020000,9.534298,17.264807,5.515185,7.040729,2.467929,-1.335799,0.961771
0.020000,9.614576,17.381680,5.656974,7.089418,2.434434,-1.674764,0.975928
0.020000,9.693773,17.500442,5.799720,7.137315,2.394872,-1.978079,0.989249
0.020000,9.771942,17.621006,5.943408,7.184389,2.353662,-2.060519,1.001748
