dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.879645,13.661808,0.000648,0.064754,3.237705,161.885246,6.281001
0.020000,4.879645,13.661808,0.003238,0.194262,6.475410,161.885246,6.281273
0.020000,4.879645,13.661808,0.008418,0.323770,6.475410,-0.000000,6.281818
0.020000,4.879645,13.661808,0.016189,0.453279,6.475410,0.000000,6.282637
0.020000,4.884803,13.661810,0.026549,0.582787,6.475410,-0.000000,0.000544
0.020000,4.897752,13.661825,0.039500,0.712295,6.475410,0.000000,0.001913
0.020000,4.913296,13.661868,0.055041,0.841803,6.475410,-0.000000,0.003561
0.020000,4.931427,13.661950,0.073172,0.971311,6.475410,0.000000,0.005492
0.020000,4.952148,13.662087,0.093893,1.100820,6.475410,-0.000000,0.007708
0.020000,4.975458,13.662296,0.117205,1.230328,6.475410,0.000000,0.010214
0.020000,5.001357,13.662596,0.143107,1.359836,6.475410,-0.000000,0.013013
0.020000,5.029843,13.663011,0.171598,1.489344,6.475410,0.000000,0.016112
0.020000,5.060924,13.663565,0.202680,1.618852,6.475410,0.000000,0.019516
0.020000,5.094586,13.664284,0.236352,1.748361,6.475410,-0.000000,0.023231
0.020000,5.130835,13.665200,0.272615,1.877869,6.475410,0.000000,0.027264
0.020000,5.169673,13.666343,0.311467,2.007377,6.475410,0.000000,0.031622
0.020000,5.211092,13.667751,0.352910,2.136885,6.475410,0.000000,0.036313
0.020000,5.255089,13.669460,0.396943,2.266393,6.475410,-0.000000,0.041346
0.020000,5.301668,13.671512,0.443566,2.395902,6.475410,0.000000,0.046730
0.020000,5.350822,13.673952,0.492779,2.525410,6.475410,0.000000,0.052474
0.020000,5.402543,13.676827,0.544582,2.654918,6.475410,-0.000000,0.058590
0.020000,5.456833,13.680188,0.598975,2.784426,6.475410,0.000000,0.065087
0.020000,5.513684,13.684090,0.655959,2.913934,6.475410,0.000000,0.071979
0.020000,5.573088,13.688591,0.715533,3.043443,6.475410,-0.000000,0.079278
0.020000,5.635036,13.693752,0.777697,3.172951,6.475410,0.000000,0.086995
0.020000,5.699518,13.699640,0.842451,3.302459,6.475410,0.000000,0.095145
0.020000,5.766534,13.706326,0.909795,3.431967,6.475410,-0.000000,0.103744
0.020000,5.836055,13.713882,0.979730,3.561475,6.475410,0.000000,0.112803
0.020000,5.908080,13.722388,1.052254,3.690984,6.475410,0.000000,0.122341
0.020000,5.982587,13.731928,1.127369,3.820492,6.475410,-0.000000,0.132372
0.020000,6.059556,13.742588,1.205074,3.950000,6.475410,0.000000,0.142912
0.020000,6.138966,13.754463,1.285369,4.079508,6.475410,0.000000,0.153978
0.020000,6.220798,13.767649,1.368254,4.209016,6.475410,0.000000,0.165588
0.020000,6.305014,13.782249,1.453730,4.338525,6.475410,0.000000,0.177756
0.020000,6.391591,13.798371,1.541795,4.468033,6.475410,-0.000000,0.190500
0.020000,6.480490,13.816128,1.632451,4.597541,6.475410,0.000000,0.203836
0.020000,6.571670,13.835638,1.725697,4.727049,6.475410,0.000000,0.217779
0.020000,6.665091,13.857024,1.821533,4.856557,6.475410,0.000000,0.232346
0.020000,6.760695,13.880412,1.919959,4.986066,6.475410,0.000000,0.247548
0.020000,6.858434,13.905938,2.020975,5.115574,6.475410,0.000000,0.263398
0.020000,6.958241,13.933735,2.124582,5.245082,6.475410,-0.000000,0.279905
0.020000,7.060048,13.963946,2.230779,5.374590,6.475410,0.000000,0.297077
0.020000,7.163778,13.996714,2.339566,5.504098,6.475410,0.000000,0.314918
0.020000,7.269355,14.032189,2.450943,5.633607,6.475410,0.000000,0.333430
0.020000,7.376682,14.070517,2.564910,5.763115,6.475410,0.000000,0.352609
0.020000,7.485662,14.111850,2.681467,5.892623,6.475410,0.000000,0.372447
0.020000,7.596190,14.156339,2.800615,6.022131,6.475410,-0.000000,0.392931
0.020000,7.708148,14.204133,2.922352,6.151639,6.475410,0.000000,0.414043
0.020000,7.821421,14.255383,3.046680,6.281148,6.475410,0.000000,0.435756
0.020000,7.935872,14.310231,3.173598,6.410656,6.475410,0.000000,0.458040
0.020000,8.051367,14.368818,3.303107,6.540164,6.475410,0.000000,0.480855
0.020000,8.167763,14.431277,3.435205,6.669672,6.475410,0.000000,0.504155
0.020000,8.284910,14.497734,3.569893,6.799180,6.475410,-0.000000,0.527887
0.020000,8.402655,14.568306,3.707172,6.928689,6.475410,0.000000,0.551990
0.020000,8.520843,14.643099,3.847041,7.058197,6.475410,0.000000,0.576398
0.020000,8.639315,14.722206,3.989500,7.187705,6.475410,0.000000,0.601038
0.020000,8.757913,14.805709,4.134549,7.317213,6.475410,0.000000,0.625831
0.020000,8.876480,14.893674,4.282189,7.446721,6.475410,0.000000,0.650694
0.020000,8.994866,14.986155,4.432418,7.576230,6.475410,-0.000000,0.675544
0.020000,9.112922,15.083187,4.585238,7.705738,6.475410,0.000000,0.700292
0.020000,9.230510,15.184795,4.740648,7.835246,6.475410,0.000000,0.724851
0.020000,9.347024,15.290544,4.898000,7.900000,3.237705,-161.885246,0.749036
0.020000,9.461450,15.399491,5.056000,7.900000,0.000000,-161.885246,0.772582
0.020000,9.573323,15.511059,5.214000,7.900000,0.000000,0.000000,0.795347
0.020000,9.682674,15.625100,5.372000,7.900000,0.000000,0.000000,0.817297
0.020000,9.789544,15.741469,5.530000,7.900000,0.000000,0.000000,0.838406
0.020000,9.893985,15.860023,5.688000,7.900000,0.000000,0.000000,0.858656
0.020000,9.996058,15.980624,5.846000,7.900000,0.000000,0.000000,0.878033
0.020000,10.095827,16.103136,6.004000,7.900000,0.000000,0.000000,0.896532
0.020000,10.193369,16.227430,6.162000,7.900000,0.000000,0.000000,0.914151
0.020000,10.288761,16.353382,6.320000,7.900000,0.000000,0.000000,0.930892
0.020000,10.382087,16.480872,6.478000,7.900000,0.000000,0.000000,0.946762
0.020000,10.473433,16.609788,6.636000,7.900000,0.000000,0.000000,0.961771
0.020000,10.562891,16.740023,6.794000,7.900000,0.000000,0.000000,0.975928
0.020000,10.650551,16.871473,6.952000,7.900000,0.000000,0.000000,0.989249
0.020000,10.736506,17.004045,7.110000,7.900000,0.000000,0.000000,1.001748
0.020000,10.820853,17.137647,7.268000,7.900000,0.000000,0.000000,1.013440
0.020000,10.903684,17.272193,7.426000,7.900000,0.000000,0.000000,1.024343
0.020000,10.985097,17.407603,7.584000,7.900000,0.000000,0.000000,1.034471
0.020000,11.065186,17.543799,7.742000,7.900000,0.000000,0.000000,1.043841
0.020000,11.144047,17.680711,7.900000,7.900000,0.000000,0.000000,1.052468
0.020000,11.221773,17.818270,8.058000,7.900000,0.000000,0.000000,1.060369
0.020000,11.298460,17.956412,8.216000,7.900000,0.000000,0.000000,1.067558
0.020000,11.374200,18.095074,8.374000,7.900000,0.000000,0.000000,1.074047
0.020000,11.449087,18.234200,8.532000,7.900000,0.000000,0.000000,1.079849
0.020000,11.523212,18.373732,8.690000,7.900000,0.000000,0.000000,1.084977
0.020000,11.596668,18.513619,8.848000,7.900000,0.000000,0.000000,1.089440
0.020000,11.669545,18.653808,9.006000,7.900000,0.000000,0.000000,1.093248
0.020000,11.741933,18.794250,9.164000,7.900000,0.000000,0.000000,1.096409
0.020000,11.813921,18.934897,9.322000,7.900000,0.000000,0.000000,1.098928
0.020000,11.885601,19.075703,9.480000,7.900000,0.000000,0.000000,1.100812
0.020000,11.957059,19.216620,9.638000,7.900000,0.000000,0.000000,1.102064
0.020000,12.028385,19.357605,9.796000,7.900000,0.000000,0.000000,1.102687
0.020000,12.099667,19.498611,9.954000,7.900000,0.000000,0.000000,1.102683
0.020000,12.170995,19.639595,10.112000,7.900000,0.000000,0.000000,1.102052
0.020000,12.242455,19.780511,10.270000,7.900000,0.000000,0.000000,1.100791
0.020000,12.314138,19.921315,10.428000,7.900000,0.000000,0.000000,1.098899
0.020000,12.386131,20.061959,10.586000,7.900000,0.000000,0.000000,1.096371
0.020000,12.458525,20.202398,10.744000,7.900000,0.000000,0.000000,1.093202
0.020000,12.531409,20.342584,10.902000,7.900000,0.000000,0.000000,1.089386
0.020000,12.604873,20.482466,11.060000,7.900000,0.000000,0.000000,1.084914
0.020000,12.679008,20.621994,11.218000,7.900000,0.000000,0.000000,1.079778
0.020000,12.753716,20.760764,11.375602,7.860231,-1.988453,-99.422666,1.073981
0.020000,12.828578,20.897809,11.531762,7.755708,-5.226158,-161.885246,1.067565
0.020000,12.903221,21.032303,11.685581,7.626200,-6.475410,-62.462580,1.060576
0.020000,12.977566,21.163996,11.836810,7.496691,-6.475410,0.000000,1.053048
0.020000,13.051642,21.292859,11.985448,7.367183,-6.475410,0.000000,1.045000
0.020000,13.125477,21.418870,12.131497,7.237675,-6.475410,-0.000000,1.036455
0.020000,13.199086,21.542003,12.274955,7.108167,-6.475410,0.000000,1.027433
0.020000,13.272481,21.662240,12.415824,6.978659,-6.475410,0.000000,1.017958
0.020000,13.345668,21.779562,12.554102,6.849150,-6.475410,0.000000,1.008051
0.020000,13.418644,21.893954,12.689790,6.719642,-6.475410,0.000000,0.997735
0.020000,13.491401,22.005404,12.822887,6.590134,-6.475410,0.000000,0.987035
0.020000,13.563929,22.113903,12.953395,6.460626,-6.475410,-0.000000,0.975974
0.020000,13.636206,22.219443,13.081312,6.331118,-6.475410,0.000000,0.964579
0.020000,13.708209,22.322021,13.206640,6.201609,-6.475410,0.000000,0.952876
0.020000,13.779909,22.421637,13.329377,6.072101,-6.475410,0.000000,0.940892
0.020000,13.851272,22.518293,13.449524,5.942593,-6.475410,0.000000,0.928655
0.020000,13.922259,22.611996,13.567081,5.813085,-6.475410,0.000000,0.916194
