dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.877143,12.516811,0.000648,0.064754,3.237705,161.885246,6.281001
0.020000,4.877455,12.516810,0.000959,0.015594,-2.457994,-284.784970,6.281273
0.020000,4.878079,12.516809,0.001584,0.031204,0.780486,161.924042,6.281818
0.020000,4.879016,12.516808,0.002520,0.046845,0.782038,0.077566,6.282637
0.020000,4.885426,12.516810,0.008930,0.320486,13.682050,645.000609,0.000544
0.020000,4.899943,12.516828,0.023447,0.725845,20.267957,329.295338,0.001913
0.020000,4.917374,12.516875,0.040878,0.871558,7.285641,-649.115780,0.003561
0.020000,4.937715,12.516967,0.061220,1.017069,7.275567,-0.503702,0.005492
0.020000,4.960973,12.517121,0.084478,1.162924,7.292756,0.859459,0.007708
0.020000,4.987153,12.517355,0.110659,1.309033,7.305430,0.633685,0.010214
0.020000,5.016257,12.517693,0.139765,1.455304,7.313588,0.407891,0.013013
0.020000,5.048290,12.518160,0.171802,1.601842,7.326895,0.665374,0.016112
0.020000,5.083269,12.518783,0.206786,1.749200,7.367905,2.050475,0.019516
0.020000,5.121183,12.519593,0.244708,1.896143,7.347145,-1.037999,0.023231
0.020000,5.162049,12.520625,0.285587,2.043942,7.389909,2.138229,0.027264
0.020000,5.205874,12.521916,0.329432,2.192226,7.414215,1.215269,0.031622
0.020000,5.252661,12.523506,0.376246,2.340694,7.423431,0.460821,0.036313
0.020000,5.302417,12.525438,0.426039,2.489654,7.447970,1.226951,0.041346
0.020000,5.355154,12.527762,0.478827,2.639417,7.488141,2.008530,0.046730
0.020000,5.410878,12.530528,0.534620,2.789642,7.511272,1.156558,0.052474
0.020000,5.469590,12.533791,0.593422,2.940106,7.523209,0.596839,0.058590
0.020000,5.531306,12.537612,0.655256,3.091709,7.580156,2.847354,0.065087
0.020000,5.596030,12.542055,0.720133,3.243813,7.605170,1.250717,0.071979
0.020000,5.663765,12.547187,0.788063,3.396499,7.634323,1.457663,0.079278
0.020000,5.734519,12.553082,0.859062,3.549952,7.672618,1.914741,0.086995
0.020000,5.808295,12.559819,0.933145,3.704156,7.710220,1.880097,0.095145
0.020000,5.885107,12.567482,1.010338,3.859658,7.775081,3.243033,0.103744
0.020000,5.964941,12.576159,1.090642,4.015193,7.776745,0.083227,0.112803
0.020000,6.047811,12.585946,1.174088,4.172308,7.855784,3.951963,0.122341
0.020000,6.133711,12.596945,1.260688,4.330029,7.886050,1.513293,0.132372
0.020000,6.222634,12.609261,1.350460,4.488601,7.928586,2.126760,0.142912
0.020000,6.314576,12.623009,1.443425,4.648207,7.980291,2.585276,0.153978
0.020000,6.409531,12.638311,1.539605,4.809012,8.040264,2.998667,0.165588
0.020000,6.507474,12.655291,1.639009,4.970219,8.060328,1.003167,0.177756
0.020000,6.608396,12.674084,1.741666,5.132833,8.130721,3.519648,0.190500
0.020000,6.712269,12.694833,1.847591,5.296262,8.171445,2.036200,0.203836
0.020000,6.819061,12.717683,1.956800,5.460429,8.208366,1.846067,0.217779
0.020000,6.928740,12.742791,2.069317,5.625847,8.270909,3.127170,0.232346
0.020000,7.041251,12.770316,2.185146,5.791448,8.280039,0.456486,0.247548
0.020000,7.156549,12.800428,2.304311,5.958250,8.340075,3.001799,0.263398
0.020000,7.274563,12.833296,2.426816,6.125291,8.352072,0.599818,0.279905
0.020000,7.395219,12.869101,2.552673,6.292827,8.376769,1.234896,0.297077
0.020000,7.518429,12.908023,2.681884,6.460543,8.385830,0.453037,0.314918
0.020000,7.644098,12.950249,2.814458,6.628695,8.407579,1.087456,0.333430
0.020000,7.772105,12.995963,2.950382,6.796223,8.376429,-1.557504,0.352609
0.020000,7.902323,13.045352,3.089652,6.963469,8.362297,-0.706623,0.372447
0.020000,8.034608,13.098599,3.232251,7.129979,8.325509,-1.839395,0.392931
0.020000,8.168797,13.155884,3.378157,7.295270,8.264547,-3.048091,0.414043
0.020000,8.304721,13.217382,3.527345,7.459430,8.207972,-2.828732,0.435756
0.020000,8.442181,13.283257,3.679775,7.621471,8.102066,-5.295344,0.458040
0.020000,8.580973,13.353661,3.835402,7.781386,7.995768,-5.314879,0.480855
0.020000,8.720875,13.428735,3.994175,7.938627,7.862027,-6.687041,0.504155
0.020000,8.861657,13.508599,4.156033,8.092885,7.712875,-7.457594,0.527887
0.020000,9.003074,13.593358,4.320904,8.243583,7.534922,-8.897674,0.551990
0.020000,9.144877,13.683095,4.488716,8.390598,7.350765,-9.207820,0.576398
0.020000,9.286811,13.777868,4.659383,8.533342,7.137162,-10.680166,0.601038
0.020000,9.428621,13.877713,4.832816,8.671655,6.915651,-11.075532,0.625831
0.020000,9.570052,13.982639,5.008919,8.805156,6.675077,-12.028706,0.650694
0.020000,9.710860,14.092635,5.187597,8.933902,6.437287,-11.889526,0.675544
0.020000,9.850807,14.207659,5.368749,9.057573,6.183557,-12.686480,0.700292
0.020000,9.989672,14.327650,5.552274,9.176247,5.933714,-12.492162,0.724851
0.020000,10.126692,14.452009,5.737313,9.251977,3.786490,-107.361215,0.749036
0.020000,10.260645,14.579545,5.922269,9.247791,-0.209285,-199.788755,0.772582
0.020000,10.390975,14.709516,6.106330,9.203072,-2.235953,-101.333400,0.795347
0.020000,10.517721,14.841697,6.289459,9.156448,-2.331190,-4.761835,0.817297
0.020000,10.640941,14.975866,6.471626,9.108318,-2.406516,-3.766316,0.838406
0.020000,10.760710,15.111817,6.652808,9.059131,-2.459342,-2.641283,0.858656
0.020000,10.877117,15.249352,6.832993,9.009239,-2.494630,-1.764375,0.878033
0.020000,10.990263,15.388287,7.012172,8.958941,-2.514868,-1.011925,0.896532
0.020000,11.100260,15.528450,7.190343,8.908548,-2.519677,-0.240426,0.914151
0.020000,11.207226,15.669681,7.367510,8.858329,-2.510937,0.436963,0.930892
0.020000,11.311286,15.811833,7.543679,8.808470,-2.492959,0.898902,0.946762
0.020000,11.412569,15.954769,7.718862,8.759139,-2.466533,1.321317,0.961771
0.020000,11.511206,16.098365,7.893071,8.710472,-2.433368,1.658248,0.975928
