dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.986461,14.806493,0.000648,0.064754,3.237705,161.885246,0.023462
0.020000,4.986764,14.806500,0.000951,0.015165,-2.479449,-285.857676,0.023197
0.020000,4.987371,14.806514,0.001558,0.030347,0.759112,161.928031,0.022667
0.020000,4.988282,14.806534,0.002469,0.045564,0.760824,0.085577,0.021871
0.020000,4.994030,14.806656,0.008219,0.287472,12.095412,566.729446,0.020808
0.020000,5.008504,14.806947,0.022695,0.723801,21.816423,486.050539,0.019476
0.020000,5.025881,14.807272,0.040075,0.869023,7.261143,-727.764033,0.017872
0.020000,5.046161,14.807615,0.060358,1.014128,7.255233,-0.295494,0.015992
0.020000,5.069351,14.807961,0.083550,1.159634,7.275300,1.003349,0.013833
0.020000,5.095458,14.808290,0.109659,1.305445,7.290558,0.762925,0.011390
0.020000,5.124485,14.808581,0.138688,1.451465,7.300994,0.521812,0.008659
0.020000,5.156437,14.808810,0.170640,1.597597,7.306610,0.280772,0.005635
0.020000,5.191328,14.808948,0.205532,1.744580,7.349148,2.126911,0.002309
0.020000,5.229157,14.808967,0.243361,1.891443,7.343126,-0.301084,6.281862
0.020000,5.269941,14.808833,0.284146,2.039240,7.389867,2.337035,6.277915
0.020000,5.313680,14.808509,0.327886,2.187018,7.388874,-0.049676,6.273646
0.020000,5.360387,14.807956,0.374596,2.335506,7.424441,1.778356,6.269045
0.020000,5.410073,14.807131,0.424288,2.484602,7.454802,1.518064,6.264103
0.020000,5.462744,14.805987,0.476972,2.634201,7.479940,1.256900,6.258809
0.020000,5.518407,14.804472,0.532656,2.784198,7.499861,0.996066,6.253153
0.020000,5.577089,14.802532,0.591370,2.935684,7.574272,3.720511,6.247122
0.020000,5.638778,14.800109,0.653107,3.086836,7.557628,-0.832196,6.240705
0.020000,5.703504,14.797137,0.717900,3.239676,7.641974,4.217299,6.233885
0.020000,5.771267,14.793548,0.785758,3.392918,7.662097,1.006196,6.226651
0.020000,5.842077,14.789269,0.856698,3.546983,7.703236,2.056927,6.218985
0.020000,5.915944,14.784220,0.930737,3.701951,7.748412,2.258794,6.210873
0.020000,5.992888,14.778315,1.007907,3.858517,7.828326,3.995688,6.202295
0.020000,6.072899,14.771465,1.088211,4.015176,7.832938,0.230596,6.193236
0.020000,6.156001,14.763570,1.171687,4.173782,7.930271,4.866661,6.183675
0.020000,6.242186,14.754528,1.258346,4.332949,7.958368,1.404846,6.173592
0.020000,6.331464,14.744225,1.348216,4.493495,8.027309,3.447087,6.162967
0.020000,6.423833,14.732544,1.441321,4.655256,8.088026,3.035838,6.151778
0.020000,6.519288,14.719357,1.537682,4.818064,8.140436,2.620482,6.140005
0.020000,6.617837,14.704528,1.637340,4.982922,8.242867,5.121580,6.127621
0.020000,6.719453,14.687915,1.740305,5.148239,8.265887,1.150961,6.114606
0.020000,6.824127,14.669365,1.846610,5.315250,8.350536,4.232456,6.100937
0.020000,6.931839,14.648717,1.956284,5.483704,8.422697,3.608074,6.086589
