dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.013323,13.661808,0.000648,0.064754,3.237705,161.885246,0.023462
0.020000,5.013323,13.661808,0.003238,0.194262,6.475410,161.885246,0.023197
0.020000,5.013323,13.661808,0.008418,0.323770,6.475410,-0.000000,0.022667
0.020000,5.013323,13.661808,0.016189,0.453279,6.475410,0.000000,0.021871
0.020000,5.017854,13.661903,0.026549,0.582787,6.475410,-0.000000,0.020808
0.020000,5.030802,13.662164,0.039500,0.712295,6.475410,0.000000,0.019476
0.020000,5.046343,13.662455,0.055041,0.841803,6.475410,-0.000000,0.017872
0.020000,5.064471,13.662762,0.073172,0.971311,6.475410,0.000000,0.015992
0.020000,5.085189,13.663071,0.093893,1.100820,6.475410,-0.000000,0.013833
0.020000,5.108499,13.663365,0.117205,1.230328,6.475410,0.000000,0.011390
0.020000,5.134400,13.663624,0.143107,1.359836,6.475410,-0.000000,0.008659
0.020000,5.162888,13.663828,0.171598,1.489344,6.475410,0.000000,0.005635
0.020000,5.193972,13.663951,0.202680,1.618852,6.475410,0.000000,0.002309
0.020000,5.227642,13.663968,0.236352,1.748361,6.475410,-0.000000,6.281862
0.020000,5.263907,13.663849,0.272615,1.877869,6.475410,0.000000,6.277915
0.020000,5.302758,13.663561,0.311467,2.007377,6.475410,0.000000,6.273646
0.020000,5.344197,13.663071,0.352910,2.136885,6.475410,0.000000,6.269045
0.020000,5.388224,13.662339,0.396943,2.266393,6.475410,-0.000000,6.264103
0.020000,5.434836,13.661327,0.443566,2.395902,6.475410,0.000000,6.258809
0.020000,5.484026,13.659988,0.492779,2.525410,6.475410,0.000000,6.253153
0.020000,5.535806,13.658277,0.544582,2.654918,6.475410,-0.000000,6.247122
0.020000,5.590152,13.656142,0.598975,2.784426,6.475410,0.000000,6.240705
0.020000,5.647078,13.653528,0.655959,2.913934,6.475410,0.000000,6.233885
0.020000,5.706569,13.650378,0.715533,3.043443,6.475410,-0.000000,6.226651
0.020000,5.768619,13.646628,0.777697,3.172951,6.475410,0.000000,6.218985
0.020000,5.833219,13.642213,0.842451,3.302459,6.475410,0.000000,6.210873
0.020000,5.900370,13.637059,0.909795,3.431967,6.475410,-0.000000,6.202295
0.020000,5.970046,13.631094,0.979730,3.561475,6.475410,0.000000,6.193236
0.020000,6.042249,13.624235,1.052254,3.690984,6.475410,0.000000,6.183675
0.020000,6.116953,13.616397,1.127369,3.820492,6.475410,-0.000000,6.173592
0.020000,6.194145,13.607489,1.205074,3.950000,6.475410,0.000000,6.162967
0.020000,6.273805,13.597415,1.285369,4.079508,6.475410,0.000000,6.151778
0.020000,6.355906,13.586074,1.368254,4.209016,6.475410,0.000000,6.140005
0.020000,6.440433,13.573354,1.453730,4.338525,6.475410,0.000000,6.127621
0.020000,6.527343,13.559146,1.541795,4.468033,6.475410,-0.000000,6.114606
0.020000,6.616606,13.543328,1.632451,4.597541,6.475410,0.000000,6.100937
0.020000,6.708184,13.525773,1.725697,4.727049,6.475410,0.000000,6.086589
0.020000,6.802031,13.506348,1.821533,4.856557,6.475410,0.000000,6.071541
0.020000,6.898091,13.484918,1.919959,4.986066,6.475410,0.000000,6.055770
0.020000,6.996317,13.461333,2.020975,5.115574,6.475410,0.000000,6.039253
0.020000,7.096637,13.435445,2.124582,5.245082,6.475410,-0.000000,6.021974
0.020000,7.198978,13.407098,2.230779,5.374590,6.475410,0.000000,6.003915
0.020000,7.303259,13.376130,2.339566,5.504098,6.475410,0.000000,5.985061
0.020000,7.409399,13.342374,2.450943,5.633607,6.475410,0.000000,5.965402
0.020000,7.517288,13.305661,2.564910,5.763115,6.475410,0.000000,5.944933
0.020000,7.626822,13.265819,2.681467,5.892623,6.475410,0.000000,5.923653
0.020000,7.737880,13.222674,2.800615,6.022131,6.475410,-0.000000,5.901567
