dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.040185,12.517123,0.000648,0.064754,3.237705,161.885246,0.023462
0.020000,5.039882,12.517116,0.000951,0.015165,-2.479449,-285.857676,0.023197
0.020000,5.039275,12.517102,0.001558,0.030347,0.759112,161.928031,0.022667
0.020000,5.038364,12.517082,0.002469,0.045564,0.760824,0.085577,0.021871
0.020000,5.041678,12.517151,0.005784,0.165744,6.009013,262.409472,0.020808
0.020000,5.053101,12.517381,0.017210,0.571279,20.276753,713.387016,0.019476
0.020000,5.066805,12.517637,0.030916,0.685303,5.701209,-728.777204,0.017872
0.020000,5.082781,12.517908,0.046894,0.798906,5.680114,-1.054750,0.015992
0.020000,5.101027,12.518180,0.065142,0.912438,5.676626,-0.174420,0.013833
0.020000,5.121541,12.518439,0.085658,1.025766,5.666388,-0.511870,0.011390
0.020000,5.144315,12.518667,0.108433,1.138753,5.649347,-0.852073,0.008659
0.020000,5.169340,12.518846,0.133458,1.251262,5.625463,-1.194212,0.005635
0.020000,5.196616,12.518955,0.160734,1.363808,5.627301,0.091931,0.002309
0.020000,5.226127,12.518969,0.190246,1.475565,5.587868,-1.971680,6.281862
0.020000,5.257873,12.518865,0.221991,1.587291,5.586255,-0.080648,6.277915
0.020000,5.291835,12.518613,0.255955,1.698170,5.543951,-2.115181,6.273646
0.020000,5.328006,12.518185,0.292129,1.808700,5.526518,-0.871635,6.269045
0.020000,5.366376,12.517548,0.330503,1.918725,5.501271,-1.262349,6.264103
0.020000,5.406928,12.516667,0.371065,2.028088,5.468143,-1.656427,6.258809
0.020000,5.449645,12.515505,0.413798,2.136630,5.427100,-2.052136,6.253153
0.020000,5.494522,12.514021,0.458700,2.245104,5.423704,-0.169815,6.247122
0.020000,5.541527,12.512175,0.505740,2.352033,5.346410,-3.864717,6.240705
0.020000,5.590652,12.509919,0.554918,2.458871,5.341927,-0.224108,6.233885
0.020000,5.641872,12.507207,0.606209,2.564552,5.284047,-2.894029,6.226651
0.020000,5.695161,12.503987,0.659595,2.669307,5.237737,-2.315506,6.218985
0.020000,5.750494,12.500205,0.715057,2.773106,5.189957,-2.388993,6.210873
0.020000,5.807852,12.495803,0.772585,2.876376,5.163486,-1.323534,6.202295
0.020000,5.867193,12.490723,0.832143,2.977902,5.076319,-4.358352,6.193236
0.020000,5.928497,12.484899,0.893722,3.078975,5.053660,-1.132969,6.183675
0.020000,5.991720,12.478266,0.957292,3.178482,4.975358,-3.915100,6.173592
