dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.745459,11.063809,0.000648,0.064754,3.237705,161.885246,0.000442
0.020000,4.745658,11.063809,0.000846,0.009940,-2.740686,-298.919559,0.000269
0.020000,4.747226,11.063809,0.002414,0.078382,3.422059,308.137280,6.283107
0.020000,4.755592,11.063806,0.010780,0.418320,16.996930,678.743523,6.282586
0.020000,4.766747,11.063796,0.021935,0.557731,6.970565,-501.318229,6.281893
0.020000,4.780689,11.063772,0.035877,0.697118,6.969318,-0.062362,6.281027
0.020000,4.797419,11.063727,0.052607,0.836473,6.967764,-0.077720,6.279989
0.020000,4.816934,11.063653,0.072123,0.975789,6.965801,-0.098139,6.278780
0.020000,4.839235,11.063539,0.094424,1.115065,6.963807,-0.099705,6.277400
0.020000,4.864321,11.063374,0.119510,1.254292,6.961317,-0.124503,6.275850
0.020000,4.892189,11.063146,0.147379,1.393456,6.958236,-0.154046,6.274132
0.020000,4.922838,11.062840,0.178030,1.532557,6.955048,-0.159398,6.272246
0.020000,4.956268,11.062440,0.211462,1.671582,6.951256,-0.189611,6.270194
0.020000,4.992475,11.061929,0.247672,1.810538,6.947772,-0.174161,6.267977
0.020000,5.031457,11.061290,0.286660,1.949395,6.942869,-0.245157,6.265596
0.020000,5.073213,11.060502,0.328423,2.088157,6.938116,-0.237668,6.263054
0.020000,5.117739,11.059545,0.372960,2.226822,6.933232,-0.244184,6.260352
0.020000,5.165033,11.058398,0.420267,2.365366,6.927204,-0.301424,6.257492
0.020000,5.215090,11.057036,0.470343,2.503793,6.921349,-0.292709,6.254477
0.020000,5.267908,11.055435,0.523185,2.642083,6.914473,-0.343834,6.251308
0.020000,5.323481,11.053570,0.578789,2.780236,6.907645,-0.341406,6.247988
0.020000,5.381806,11.051415,0.637154,2.918231,6.899789,-0.392781,6.244519
0.020000,5.442877,11.048942,0.698276,3.056071,6.891959,-0.391485,6.240905
0.020000,5.506690,11.046122,0.762150,3.193733,6.883103,-0.442816,6.237149
0.020000,5.573237,11.042927,0.828774,3.331214,6.874067,-0.451821,6.233254
0.020000,5.642513,11.039324,0.898144,3.468497,6.864140,-0.496347,6.229222
0.020000,5.714512,11.035285,0.970256,3.605573,6.853804,-0.516780,6.225059
0.020000,5.789224,11.030776,1.045104,3.742432,6.842953,-0.542579,6.220767
0.020000,5.866644,11.025766,1.122686,3.879058,6.831283,-0.583462,6.216350
0.020000,5.946761,11.020220,1.202994,4.015443,6.819281,-0.600103,6.211814
0.020000,6.029567,11.014106,1.286026,4.151567,6.806217,-0.653222,6.207162
0.020000,6.115052,11.007390,1.371774,4.287426,6.792923,-0.664703,6.202399
0.020000,6.203206,11.000036,1.460234,4.422999,6.778664,-0.712942,6.197530
0.020000,6.294017,10.992011,1.551400,4.558281,6.764100,-0.728200,6.192561
0.020000,6.387475,10.983279,1.645265,4.693254,6.748639,-0.773052,6.187495
0.020000,6.483568,10.973805,1.741823,4.827902,6.732412,-0.811352,6.182341
0.020000,6.582281,10.963555,1.841067,4.962218,6.715801,-0.830531,6.177102
0.020000,6.683603,10.952493,1.942991,5.096187,6.698428,-0.868638,6.171785
0.020000,6.787518,10.940584,2.047587,5.229791,6.680227,-0.910051,6.166396
0.020000,6.894014,10.927795,2.154847,5.363024,6.661650,-0.928890,6.160943
0.020000,7.003073,10.914090,2.264765,5.495869,6.642237,-0.970647,6.155431
0.020000,7.114682,10.899437,2.377331,5.628315,6.622306,-0.996535,6.149868
0.020000,7.228823,10.883803,2.492538,5.760349,6.601669,-1.031824,6.144261
0.020000,7.345480,10.867154,2.610377,5.891960,6.580548,-1.056057,6.138617
0.020000,7.464637,10.849461,2.730840,6.023134,6.558709,-1.091957,6.132944
0.020000,7.586274,10.830692,2.853917,6.153861,6.536382,-1.116356,6.127250
0.020000,7.710375,10.810817,2.979600,6.284132,6.513516,-1.143286,6.121542
0.020000,7.836922,10.789809,3.107879,6.413933,6.490081,-1.171763,6.115829
0.020000,7.965896,10.767641,3.238744,6.543257,6.466171,-1.195497,6.110120
0.020000,8.097278,10.744286,3.372186,6.672093,6.441791,-1.218994,6.104422
0.020000,8.231050,10.719720,3.508194,6.800431,6.416938,-1.242674,6.098744
0.020000,8.367192,10.693922,3.646759,6.928264,6.391658,-1.263972,6.093096
0.020000,8.505687,10.666869,3.787871,7.055584,6.365993,-1.283246,6.087486
0.020000,8.646514,10.638543,3.931519,7.182383,6.339934,-1.302959,6.081924
0.020000,8.789655,10.608926,4.077692,7.308654,6.313531,-1.320188,6.076418
0.020000,8.935092,10.578003,4.226380,7.434389,6.286785,-1.337275,6.070978
0.020000,9.082805,10.545761,4.377571,7.559584,6.259729,-1.352813,6.065613
0.020000,9.232778,10.512188,4.531256,7.684232,6.232421,-1.365407,6.060333
0.020000,9.384993,10.477276,4.687423,7.808328,6.204787,-1.381664,6.055147
0.020000,9.539431,10.441019,4.846060,7.931867,6.176937,-1.392511,6.050066
0.020000,9.696077,10.403412,5.007157,8.054844,6.148848,-1.404452,6.045099
0.020000,9.854264,10.364614,5.170032,8.143765,4.446072,-85.138783,6.040276
0.020000,10.012685,10.324964,5.333340,8.165384,1.080935,-168.256857,6.035640
0.020000,10.170694,10.284656,5.496409,8.153484,-0.595001,-83.796797,6.031212
0.020000,10.328298,10.243724,5.659242,8.141606,-0.593904,0.054822,6.026992
0.020000,10.485502,10.202204,5.821837,8.129752,-0.592689,0.060745,6.022979
0.020000,10.642315,10.160131,5.984195,8.117924,-0.591381,0.065420,6.019172
0.020000,10.798743,10.117540,6.146318,8.106124,-0.590003,0.068918,6.015572
0.020000,10.954794,10.074465,6.308205,8.094353,-0.588577,0.071292,6.012177
0.020000,11.110476,10.030939,6.469857,8.082610,-0.587137,0.072010,6.008987
0.020000,11.265798,9.986997,6.631275,8.070897,-0.585659,0.073852,6.006002
0.020000,11.420767,9.942671,6.792459,8.059213,-0.584209,0.072537,6.003221
0.020000,11.575394,9.897995,6.953410,8.047557,-0.582785,0.071187,6.000643
0.020000,11.729686,9.853001,7.114129,8.035929,-0.581404,0.069069,5.998269
0.020000,11.883652,9.807722,7.274615,8.024327,-0.580079,0.066247,5.996097
0.020000,12.037303,9.762190,7.434870,8.012751,-0.578823,0.062783,5.994128
0.020000,12.188740,9.716662,7.593003,7.906644,-5.305373,-236.327486,5.985865
0.020000,12.353348,9.665078,7.765505,8.625088,35.922213,2061.379291,5.973198
0.020000,12.516943,9.611557,7.937632,8.606368,-0.935974,-1842.909358,5.960859
0.020000,12.679508,9.556173,8.109372,8.586979,-0.969470,-1.674806,5.948859
0.020000,12.841029,9.499005,8.280711,8.566981,-0.999912,-1.522093,5.937207
0.020000,13.001497,9.440129,8.451640,8.546430,-1.027520,-1.380385,5.925915
0.020000,13.160909,9.379623,8.622148,8.525386,-1.052190,-1.233538,5.914991
0.020000,13.319261,9.317566,8.792226,8.503905,-1.074085,-1.094722,5.904442
