dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.401399,10.996970,0.000652,0.065217,3.260870,163.043478,0.000013
0.020000,0.401401,10.996970,0.000654,0.000103,-3.255736,-325.830270,0.000011
0.020000,0.401405,10.996970,0.000658,0.000208,0.005270,163.050276,0.000007
0.020000,0.401412,10.996970,0.000665,0.000319,0.005542,0.013596,0.000002
0.020000,0.409756,10.996970,0.009009,0.417191,20.843614,1041.903627,6.283179
0.020000,0.422810,10.996970,0.022063,0.652742,11.777520,-453.304705,6.283169
0.020000,0.438477,10.996969,0.037730,0.783320,6.528911,-262.430432,6.283157
0.020000,0.456755,10.996969,0.056008,0.913914,6.529734,0.041116,6.283142
0.020000,0.477646,10.996967,0.076899,1.044528,6.530687,0.047656,6.283123
0.020000,0.501149,10.996966,0.100402,1.175164,6.531769,0.054120,6.283101
0.020000,0.527265,10.996963,0.126518,1.305823,6.532979,0.060499,6.283076
0.020000,0.555996,10.996960,0.155249,1.436510,6.534365,0.069268,6.283045
0.020000,0.587340,10.996955,0.186593,1.567227,6.535832,0.073352,6.283010
0.020000,0.621300,10.996948,0.220553,1.697977,6.537489,0.082863,6.282970
0.020000,0.657875,10.996939,0.257128,1.828762,6.539252,0.088145,6.282923
0.020000,0.697067,10.996928,0.296320,1.959585,6.541150,0.094931,6.282870
0.020000,0.738876,10.996914,0.338129,2.090449,6.543213,0.103125,6.282809
0.020000,0.783303,10.996895,0.382556,2.221356,6.545357,0.107184,6.282739
0.020000,0.830349,10.996873,0.429602,2.352310,6.547688,0.116584,6.282661
0.020000,0.880015,10.996844,0.479268,2.483312,6.550119,0.121532,6.282573
0.020000,0.932302,10.996810,0.531556,2.614368,6.552757,0.131903,6.282474
0.020000,0.987212,10.996768,0.586465,2.745476,6.555437,0.134010,6.282363
0.020000,1.044745,10.996717,0.643998,2.876642,6.558299,0.143076,6.282239
0.020000,1.104902,10.996656,0.704155,3.007869,6.561326,0.151356,6.282102
0.020000,1.167685,10.996583,0.766938,3.139158,6.564457,0.156542,6.281949
0.020000,1.233095,10.996497,0.832349,3.270512,6.567681,0.161210,6.281781
0.020000,1.301134,10.996395,0.900387,3.401935,6.571166,0.174252,6.281595
0.020000,1.371803,10.996275,0.971056,3.533429,6.574684,0.175925,6.281391
0.020000,1.445102,10.996136,1.044356,3.664996,6.578361,0.183838,6.281167
0.020000,1.521035,10.995973,1.120289,3.796640,6.582192,0.191565,6.280922
0.020000,1.599602,10.995785,1.198856,3.928362,6.586139,0.197348,6.280654
0.020000,1.680805,10.995568,1.280059,4.060169,6.590348,0.210446,6.280363
0.020000,1.764646,10.995318,1.363900,4.192059,6.594455,0.205346,6.280046
0.020000,1.851126,10.995032,1.450381,4.324038,6.598976,0.226023,6.279702
0.020000,1.940248,10.994705,1.539503,4.456106,6.603408,0.221601,6.279330
0.020000,2.032012,10.994333,1.631269,4.588268,6.608115,0.235356,6.278927
0.020000,2.126422,10.993910,1.725679,4.720527,6.612939,0.241197,6.278492
0.020000,2.223478,10.993432,1.822737,4.852885,6.617873,0.246718,6.278024
0.020000,2.323184,10.992893,1.922444,4.985344,6.622971,0.254888,6.277521
0.020000,2.425540,10.992286,2.024802,5.117911,6.628320,0.267457,6.276980
0.020000,2.530550,10.991604,2.129814,5.250582,6.633589,0.263427,6.276400
0.020000,2.638214,10.990840,2.237481,5.383365,6.639150,0.278083,6.275780
0.020000,2.748536,10.989987,2.347806,5.516263,6.644891,0.287053,6.275116
0.020000,2.861518,10.989035,2.460792,5.649278,6.650745,0.292704,6.274407
0.020000,2.977161,10.987977,2.576440,5.782412,6.656706,0.298011,6.273651
0.020000,3.095469,10.986801,2.694753,5.915667,6.662765,0.302987,6.272846
0.020000,3.215785,10.985506,2.815077,6.016171,5.025165,-81.880019,6.271994
0.020000,3.336797,10.984098,2.936097,6.050986,1.740761,-164.220203,6.271103
0.020000,3.457846,10.982580,3.057155,6.052936,0.097504,-82.162848,6.270178
0.020000,3.578933,10.980947,3.178253,6.054885,0.097428,-0.003783,6.269220
0.020000,3.700057,10.979196,3.299390,6.056840,0.097782,0.017696,6.268227
0.020000,3.821218,10.977322,3.420566,6.058792,0.097587,-0.009737,6.267200
0.020000,3.942417,10.975320,3.541781,6.060754,0.098079,0.024579,6.266139
0.020000,4.063652,10.973187,3.663035,6.062709,0.097789,-0.014525,6.265043
0.020000,4.184924,10.970919,3.784328,6.064676,0.098311,0.026132,6.263914
0.020000,4.306233,10.968510,3.905661,6.066637,0.098065,-0.012314,6.262750
0.020000,4.427578,10.965958,4.027033,6.068607,0.098490,0.021259,6.261551
0.020000,4.548960,10.963257,4.148445,6.070574,0.098383,-0.005333,6.260319
0.020000,4.670377,10.960403,4.269896,6.072548,0.098665,0.014088,6.259051
0.020000,4.791830,10.957393,4.391386,6.074522,0.098717,0.002598,6.257750
0.020000,4.913319,10.954221,4.512916,6.076499,0.098835,0.005902,6.256413
0.020000,5.034843,10.950884,4.634486,6.078480,0.099064,0.011450,6.255043
0.020000,5.156401,10.947377,4.756095,6.080460,0.098999,-0.003267,6.253637
0.020000,5.277995,10.943696,4.877744,6.082448,0.099422,0.021182,6.252197
0.020000,5.399622,10.939836,4.999433,6.084432,0.099155,-0.013374,6.250722
0.020000,5.521284,10.935794,5.121161,6.086427,0.099790,0.031732,6.249213
0.020000,5.642978,10.931564,5.242929,6.088415,0.099407,-0.019126,6.247668
0.020000,5.764706,10.927143,5.364738,6.090415,0.099954,0.027337,6.246089
0.020000,5.886467,10.922526,5.486586,6.092410,0.099768,-0.009291,6.244475
0.020000,6.008260,10.917709,5.608474,6.094412,0.100094,0.016278,6.242826
0.020000,6.130085,10.912687,5.730402,6.096415,0.100139,0.002265,6.241142
0.020000,6.251941,10.907456,5.852371,6.098419,0.100220,0.004054,6.239422
0.020000,6.373828,10.902011,5.974379,6.100429,0.100510,0.014515,6.237668
0.020000,6.495745,10.896349,6.096428,6.102436,0.100332,-0.008906,6.235879
0.020000,6.617693,10.890465,6.218517,6.104453,0.100879,0.027317,6.234054
0.020000,6.739669,10.884354,6.340646,6.106464,0.100516,-0.018119,6.232195
0.020000,6.861674,10.878012,6.462816,6.108485,0.101066,0.027493,6.230300
0.020000,6.983707,10.871434,6.585026,6.110501,0.100825,-0.012070,6.228370
0.020000,7.105767,10.864617,6.707277,6.112524,0.101135,0.015529,6.226404
0.020000,7.227854,10.857555,6.829568,6.114548,0.101172,0.001821,6.224403
0.020000,7.349967,10.850244,6.951899,6.116571,0.101185,0.000689,6.222367
0.020000,7.472105,10.842680,7.074271,6.118601,0.101502,0.015849,6.220295
0.020000,7.594267,10.834859,7.196684,6.120626,0.101227,-0.013750,6.218188
0.020000,7.716453,10.826774,7.319137,6.122662,0.101789,0.028098,6.216046
0.020000,7.838662,10.818424,7.441631,6.124690,0.101397,-0.019590,6.213868
0.020000,7.960893,10.809802,7.564165,6.126725,0.101776,0.018922,6.211654
0.020000,8.083145,10.800904,7.686740,6.128759,0.101679,-0.004830,6.209405
0.020000,8.205416,10.791726,7.809356,6.130794,0.101740,0.003034,6.207120
0.020000,8.327708,10.782264,7.932013,6.132832,0.101928,0.009388,6.204800
0.020000,8.450017,10.772513,8.054710,6.134866,0.101682,-0.012304,6.202444
0.020000,8.572343,10.762467,8.177448,6.136908,0.102136,0.022728,6.200053
0.020000,8.694686,10.752124,8.300227,6.138943,0.101739,-0.019880,6.197626
0.020000,8.817043,10.741478,8.423047,6.140984,0.102023,0.014226,6.195163
0.020000,8.939414,10.730525,8.545907,6.143022,0.101899,-0.006205,6.192665
0.020000,9.061798,10.719261,8.668808,6.145059,0.101881,-0.000929,6.190131
0.020000,9.184194,10.707680,8.791750,6.147099,0.102007,0.006344,6.187562
0.020000,9.306599,10.695779,8.914733,6.149134,0.101737,-0.013512,6.184957
0.020000,9.429013,10.683553,9.037757,6.151174,0.102007,0.013473,6.182316
0.020000,9.551435,10.670997,9.160821,6.153208,0.101679,-0.016384,6.179640
0.020000,9.673864,10.658107,9.283926,6.155243,0.101766,0.004330,6.176928
0.020000,9.796297,10.644879,9.407071,6.157276,0.101657,-0.005432,6.174181
0.020000,9.918733,10.631308,9.530257,6.159306,0.101499,-0.007903,6.171399
0.020000,10.041171,10.617389,9.653484,6.161337,0.101556,0.002845,6.168580
0.020000,10.163609,10.603119,9.776751,6.163363,0.101252,-0.015178,6.165727
0.020000,10.286047,10.588492,9.900059,6.165388,0.101278,0.001272,6.162838
0.020000,10.408481,10.573504,10.023407,6.167409,0.101030,-0.012402,6.159914
0.020000,10.530911,10.558152,10.146796,6.169427,0.100897,-0.006613,6.156954
0.020000,10.653334,10.542429,10.270225,6.171442,0.100748,-0.007474,6.153960
0.020000,10.775749,10.526333,10.393694,6.173451,0.100494,-0.012703,6.150930
0.020000,10.898155,10.509859,10.517203,6.175459,0.100355,-0.006927,6.147865
0.020000,11.020549,10.493002,10.640752,6.177460,0.100069,-0.014319,6.144765
0.020000,11.142929,10.475758,10.764341,6.179457,0.099847,-0.011102,6.141631
0.020000,11.265293,10.458122,10.887970,6.181448,0.099573,-0.013676,6.138461
0.020000,11.387641,10.440091,11.011639,6.183435,0.099311,-0.013131,6.135257
0.020000,11.509968,10.421660,11.135347,6.185414,0.098955,-0.017784,6.132018
0.020000,11.632274,10.402825,11.259095,6.187388,0.098711,-0.012199,6.128745
0.020000,11.754556,10.383581,11.382882,6.189353,0.098279,-0.021613,6.125438
0.020000,11.876812,10.363925,11.506708,6.191313,0.097983,-0.014797,6.122096
0.020000,11.999040,10.343851,11.630573,6.193265,0.097595,-0.019406,6.118720
0.020000,12.121238,10.323357,11.754478,6.195207,0.097105,-0.024485,6.115310
0.020000,12.243403,10.302438,11.878420,6.197144,0.096864,-0.012050,6.111866
0.020000,12.365532,10.281089,12.002402,6.199067,0.096114,-0.037497,6.108389
0.020000,12.487624,10.259307,12.126421,6.200985,0.095943,-0.008578,6.104879
0.020000,12.609676,10.237088,12.250479,6.202891,0.095259,-0.034170,6.101335
0.020000,12.731685,10.214427,12.374575,6.204786,0.094785,-0.023698,6.097757
0.020000,12.853649,10.191321,12.498708,6.206674,0.094368,-0.020882,6.094147
0.020000,12.975565,10.167766,12.622879,6.208543,0.093472,-0.044754,6.090505
0.020000,13.097431,10.143758,12.747088,6.210410,0.093337,-0.006755,6.086829
