dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.401428,8.706970,0.000652,0.065217,3.260870,163.043478,0.000013
0.020000,0.401426,8.706970,0.000654,0.000103,-3.255736,-325.830270,0.000011
0.020000,0.401422,8.706970,0.000658,0.000208,0.005270,163.050276,0.000007
0.020000,0.401415,8.706970,0.000665,0.000319,0.005542,0.013596,0.000002
0.020000,0.409742,8.706970,0.008991,0.416315,20.799825,1039.714170,6.283179
0.020000,0.422774,8.706970,0.022023,0.651606,11.764533,-451.764589,6.283169
0.020000,0.438412,8.706969,0.037661,0.781897,6.514565,-262.498421,6.283157
0.020000,0.456655,8.706969,0.055905,0.912172,6.513755,-0.040471,6.283142
0.020000,0.477504,8.706967,0.076753,1.042429,6.512805,-0.047532,6.283123
0.020000,0.500957,8.706966,0.100206,1.172663,6.511711,-0.054670,6.283101
0.020000,0.527014,8.706963,0.126264,1.302872,6.510473,-0.061896,6.283076
0.020000,0.555675,8.706960,0.154925,1.433055,6.509139,-0.066738,6.283045
0.020000,0.586940,8.706955,0.186189,1.563207,6.507614,-0.076260,6.283010
0.020000,0.620806,8.706948,0.220056,1.693327,6.506006,-0.080371,6.282970
0.020000,0.657274,8.706939,0.256524,1.823412,6.504232,-0.088706,6.282923
0.020000,0.696344,8.706928,0.295593,1.953458,6.502321,-0.095547,6.282870
0.020000,0.738013,8.706914,0.337262,2.083465,6.500301,-0.100992,6.282809
0.020000,0.782281,8.706896,0.381531,2.213426,6.498090,-0.110566,6.282739
0.020000,0.829148,8.706873,0.428398,2.343342,6.495793,-0.114827,6.282661
0.020000,0.878612,8.706845,0.477862,2.473209,6.493323,-0.123536,6.282573
0.020000,0.930673,8.706810,0.529922,2.603024,6.490785,-0.126857,6.282474
0.020000,0.985328,8.706768,0.584578,2.732785,6.488017,-0.138422,6.282363
0.020000,1.042578,8.706718,0.641828,2.862488,6.485156,-0.143075,6.282239
0.020000,1.102421,8.706657,0.701670,2.992131,6.482185,-0.148532,6.282102
0.020000,1.164855,8.706585,0.764105,3.121712,6.479043,-0.157090,6.281949
0.020000,1.229879,8.706499,0.829129,3.251227,6.475719,-0.166184,6.281781
0.020000,1.297493,8.706398,0.896743,3.380674,6.472380,-0.166982,6.281595
0.020000,1.367694,8.706279,0.966944,3.510050,6.468797,-0.179114,6.281391
