dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.136723,8.706970,0.000648,0.064754,3.237705,161.885246,0.000068
0.020000,1.136703,8.706970,0.000667,0.000990,-3.188224,-321.296443,0.000050
0.020000,1.136663,8.706970,0.000707,0.001984,0.049707,161.896564,0.000016
0.020000,1.142029,8.706970,0.006072,0.268258,13.313690,663.199151,6.283149
0.020000,1.152309,8.706969,0.016353,0.514029,12.288572,-51.255943,6.283079
0.020000,1.165159,8.706967,0.029203,0.642502,6.423659,-293.245604,6.282991
0.020000,1.180578,8.706963,0.044622,0.770953,6.422518,-0.057054,6.282884
0.020000,1.198566,8.706957,0.062609,0.899376,6.421188,-0.066514,6.282759
0.020000,1.219121,8.706946,0.083165,1.027768,6.419578,-0.080505,6.282614
0.020000,1.242244,8.706931,0.106287,1.156123,6.417749,-0.091445,6.282449
0.020000,1.267932,8.706910,0.131976,1.284438,6.415747,-0.100102,6.282263
0.020000,1.296186,8.706881,0.160230,1.412706,6.413421,-0.116282,6.282055
0.020000,1.327005,8.706843,0.191049,1.540926,6.410983,-0.121935,6.281825
0.020000,1.360387,8.706793,0.224430,1.669090,6.408205,-0.138872,6.281572
0.020000,1.396331,8.706730,0.260374,1.797196,6.405308,-0.144871,6.281294
0.020000,1.434835,8.706651,0.298879,1.925237,6.402046,-0.163079,6.280990
0.020000,1.475899,8.706554,0.339943,2.053211,6.398711,-0.166784,6.280660
0.020000,1.519521,8.706437,0.383565,2.181112,6.395012,-0.184936,6.280301
0.020000,1.565700,8.706294,0.429744,2.308935,6.391178,-0.191709,6.279913
0.020000,1.614433,8.706125,0.478478,2.436676,6.387048,-0.206481,6.279494
0.020000,1.665719,8.705924,0.529764,2.564331,6.382733,-0.215728,6.279043
0.020000,1.719557,8.705688,0.583602,2.691894,6.378144,-0.229454,6.278558
0.020000,1.775943,8.705412,0.639989,2.819360,6.373333,-0.240553,6.278037
0.020000,1.834877,8.705093,0.698924,2.946728,6.368382,-0.247561,6.277479
0.020000,1.896356,8.704723,0.760404,3.073988,6.363022,-0.267988,6.276881
0.020000,1.960377,8.704299,0.824427,3.201140,6.357568,-0.272712,6.276242
0.020000,2.026939,8.703815,0.890990,3.328176,6.351828,-0.286997,6.275561
0.020000,2.096038,8.703263,0.960092,3.455093,6.345816,-0.300629,6.274833
0.020000,2.167673,8.702637,1.031730,3.581886,6.339687,-0.306426,6.274059
0.020000,2.241841,8.701930,1.105901,3.708550,6.333179,-0.325383,6.273235
0.020000,2.318538,8.701133,1.182602,3.835080,6.326481,-0.334942,6.272358
0.020000,2.397763,8.700238,1.261832,3.961472,6.319643,-0.341903,6.271428
0.020000,2.479511,8.699237,1.343586,4.087719,6.312355,-0.364357,6.270440
0.020000,2.563780,8.698119,1.427862,4.213820,6.305008,-0.367362,6.269393
0.020000,2.650567,8.696874,1.514658,4.339767,6.297366,-0.382132,6.268283
