dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.602260,11.130648,0.000648,0.064754,3.237705,161.885246,6.282898
0.020000,0.602126,11.130648,0.000781,0.006679,-2.903762,-307.073342,6.283015
0.020000,0.603250,11.130648,0.001904,0.056156,2.473846,268.880401,0.000062
0.020000,0.610622,11.130650,0.009276,0.368598,15.622134,657.414372,0.000410
0.020000,0.620453,11.130656,0.019108,0.491594,6.149777,-473.617815,0.000872
0.020000,0.632747,11.130671,0.031402,0.614700,6.155293,0.275796,0.001446
0.020000,0.647506,11.130697,0.046161,0.737945,6.162238,0.347242,0.002129
0.020000,0.664733,11.130741,0.063388,0.861355,6.170502,0.413204,0.002919
0.020000,0.684432,11.130807,0.083087,0.984959,6.180216,0.485705,0.003811
0.020000,0.706608,11.130902,0.105263,1.108784,6.191266,0.552512,0.004803
0.020000,0.731265,11.131034,0.129920,1.232858,6.203705,0.621932,0.005890
0.020000,0.758408,11.131210,0.157064,1.357209,6.217525,0.690985,0.007067
0.020000,0.788045,11.131438,0.186702,1.481864,6.232730,0.760247,0.008329
0.020000,0.820180,11.131728,0.218839,1.606849,6.249259,0.826468,0.009669
0.020000,0.854822,11.132087,0.253482,1.732193,6.267231,0.898607,0.011083
0.020000,0.891978,11.132527,0.290641,1.857923,6.286500,0.963426,0.012562
0.020000,0.931656,11.133056,0.330322,1.984067,6.307180,1.034026,0.014101
0.020000,0.973864,11.133685,0.372535,2.110650,6.329168,1.099411,0.015690
0.020000,1.018612,11.134424,0.417289,2.237702,6.352580,1.170599,0.017322
0.020000,1.065909,11.135283,0.464594,2.365247,6.377245,1.233209,0.018989
0.020000,1.115766,11.136272,0.514460,2.493313,6.403297,1.302612,0.020680
0.020000,1.168192,11.137401,0.566899,2.621927,6.430735,1.371906,0.022388
0.020000,1.223200,11.138681,0.621921,2.751115,6.459404,1.433451,0.024101
0.020000,1.280800,11.140119,0.679539,2.880905,6.489469,1.503229,0.025809
0.020000,1.341005,11.141724,0.739766,3.011321,6.520814,1.567284,0.027501
