dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.601931,9.985648,0.000648,0.064754,3.237705,161.885246,6.282898
0.020000,0.601931,9.985648,0.003238,0.194262,6.475410,161.885246,6.283015
0.020000,0.603321,9.985648,0.008418,0.323770,6.475410,-0.000000,0.000062
0.020000,0.611091,9.985650,0.016189,0.453279,6.475410,0.000000,0.000410
0.020000,0.621452,9.985657,0.026549,0.582787,6.475410,-0.000000,0.000872
0.020000,0.634403,9.985672,0.039500,0.712295,6.475410,0.000000,0.001446
0.020000,0.649944,9.985700,0.055041,0.841803,6.475410,-0.000000,0.002129
0.020000,0.668075,9.985745,0.073172,0.971311,6.475410,0.000000,0.002919
0.020000,0.688796,9.985815,0.093893,1.100820,6.475410,-0.000000,0.003811
0.020000,0.712107,9.985916,0.117205,1.230328,6.475410,0.000000,0.004803
0.020000,0.738009,9.986054,0.143107,1.359836,6.475410,-0.000000,0.005890
0.020000,0.766500,9.986239,0.171598,1.489344,6.475410,0.000000,0.007067
0.020000,0.797581,9.986478,0.202680,1.618852,6.475410,0.000000,0.008329
0.020000,0.831252,9.986781,0.236352,1.748361,6.475410,-0.000000,0.009669
0.020000,0.867512,9.987158,0.272615,1.877869,6.475410,0.000000,0.011083
0.020000,0.906362,9.987617,0.311467,2.007377,6.475410,0.000000,0.012562
0.020000,0.947801,9.988170,0.352910,2.136885,6.475410,0.000000,0.014101
0.020000,0.991829,9.988826,0.396943,2.266393,6.475410,-0.000000,0.015690
0.020000,1.038445,9.989595,0.443566,2.395902,6.475410,0.000000,0.017322
0.020000,1.087650,9.990489,0.492779,2.525410,6.475410,0.000000,0.018989
0.020000,1.139443,9.991517,0.544582,2.654918,6.475410,-0.000000,0.020680
0.020000,1.193824,9.992688,0.598975,2.784426,6.475410,0.000000,0.022388
0.020000,1.250792,9.994013,0.655959,2.913934,6.475410,0.000000,0.024101
0.020000,1.310348,9.995500,0.715533,3.043443,6.475410,-0.000000,0.025809
0.020000,1.372489,9.997157,0.777697,3.172951,6.475410,0.000000,0.027501
0.020000,1.437217,9.998992,0.842451,3.302459,6.475410,0.000000,0.029166
0.020000,1.504531,10.001011,0.909795,3.431967,6.475410,-0.000000,0.030791
0.020000,1.574431,10.003220,0.979730,3.561475,6.475410,0.000000,0.032366
0.020000,1.646916,10.005623,1.052254,3.690984,6.475410,0.000000,0.033876
0.020000,1.721986,10.008221,1.127369,3.820492,6.475410,-0.000000,0.035308
0.020000,1.799640,10.011017,1.205074,3.950000,6.475410,0.000000,0.036649
0.020000,1.879879,10.014010,1.285369,4.079508,6.475410,0.000000,0.037885
0.020000,1.962703,10.017197,1.368254,4.209016,6.475410,0.000000,0.039001
0.020000,2.048112,10.020573,1.453730,4.338525,6.475410,0.000000,0.039982
0.020000,2.136106,10.024131,1.541795,4.468033,6.475410,-0.000000,0.040812
0.020000,2.226685,10.027861,1.632451,4.597541,6.475410,0.000000,0.041476
0.020000,2.319849,10.031751,1.725697,4.727049,6.475410,0.000000,0.041957
0.020000,2.415601,10.035786,1.821533,4.856557,6.475410,0.000000,0.042237
0.020000,2.513939,10.039947,1.919959,4.986066,6.475410,0.000000,0.042300
0.020000,2.614865,10.044212,2.020975,5.115574,6.475410,0.000000,0.042127
0.020000,2.718381,10.048555,2.124582,5.245082,6.475410,-0.000000,0.041700
0.020000,2.824486,10.052948,2.230779,5.374590,6.475410,0.000000,0.040999
0.020000,2.933184,10.057355,2.339566,5.504098,6.475410,0.000000,0.040006
0.020000,3.044475,10.061740,2.450943,5.633607,6.475410,0.000000,0.038700
