dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.601603,8.840648,0.000648,0.064754,3.237705,161.885246,6.282898
0.020000,0.601736,8.840648,0.000781,0.006679,-2.903762,-307.073342,6.283015
0.020000,0.603392,8.840648,0.002437,0.082816,3.806857,335.530924,0.000062
0.020000,0.611561,8.840650,0.010606,0.408450,16.281725,623.743424,0.000410
0.020000,0.622451,8.840657,0.021496,0.544472,6.801061,-474.033181,0.000872
0.020000,0.636059,8.840673,0.035104,0.680382,6.795504,-0.277856,0.001446
0.020000,0.652382,8.840702,0.051427,0.816154,6.788615,-0.344462,0.002129
0.020000,0.671417,8.840750,0.070462,0.951760,6.780274,-0.417062,0.002919
0.020000,0.693160,8.840823,0.092205,1.087172,6.770627,-0.482334,0.003811
0.020000,0.717607,8.840929,0.116652,1.222363,6.759552,-0.553777,0.004803
0.020000,0.744753,8.841074,0.143799,1.357305,6.747108,-0.622170,0.005890
0.020000,0.774592,8.841267,0.173638,1.491971,6.733293,-0.690774,0.007067
0.020000,0.807117,8.841518,0.206165,1.626333,6.718114,-0.758913,0.008329
0.020000,0.842323,8.841835,0.241372,1.760364,6.701512,-0.830102,0.009669
0.020000,0.880202,8.842228,0.279253,1.894036,6.683623,-0.894471,0.011083
0.020000,0.920745,8.842707,0.319799,2.027322,6.664293,-0.966480,0.012562
0.020000,0.963945,8.843283,0.363003,2.160195,6.643659,-1.031732,0.014101
0.020000,1.009793,8.843967,0.408856,2.292628,6.621615,-1.102200,0.015690
0.020000,1.058278,8.844767,0.457347,2.424593,6.598298,-1.165839,0.017322
0.020000,1.109391,8.845695,0.508469,2.556064,6.573533,-1.238234,0.018989
0.020000,1.163121,8.846762,0.562209,2.687014,6.547480,-1.302672,0.020680
0.020000,1.219456,8.847975,0.618557,2.817417,6.520146,-1.366669,0.022388
0.020000,1.278385,8.849346,0.677502,2.947244,6.491378,-1.438406,0.024101
0.020000,1.339895,8.850881,0.739032,3.076472,6.461364,-1.500709,0.025809
0.020000,1.403974,8.852590,0.803133,3.205071,6.429992,-1.568620,0.027501
0.020000,1.470607,8.854479,0.869793,3.333018,6.397340,-1.632589,0.029166
0.020000,1.539782,8.856554,0.938999,3.460285,6.363332,-1.700405,0.030791
0.020000,1.611483,8.858820,1.010736,3.586846,6.328063,-1.763430,0.032366
0.020000,1.685696,8.861279,1.084990,3.712675,6.291454,-1.830481,0.033876
0.020000,1.762405,8.863935,1.161745,3.837747,6.253569,-1.894237,0.035308
0.020000,1.841594,8.866786,1.240985,3.962033,6.214342,-1.961329,0.036649
0.020000,1.923248,8.869832,1.322695,4.085510,6.173826,-2.025815,0.037885
0.020000,2.007348,8.873067,1.406858,4.208150,6.131983,-2.092176,0.039001
0.020000,2.093879,8.876488,1.493457,4.329926,6.088811,-2.158597,0.039982
0.020000,2.182823,8.880084,1.582473,4.450812,6.044298,-2.225611,0.040812
0.020000,2.274161,8.883846,1.673889,4.570780,5.998406,-2.294630,0.041476
0.020000,2.367876,8.887759,1.767685,4.689803,5.951156,-2.362513,0.041957
0.020000,2.463947,8.891807,1.863842,4.807853,5.902503,-2.432645,0.042237
0.020000,2.562357,8.895971,1.962340,4.924901,5.852414,-2.504409,0.042300
0.020000,2.663086,8.900228,2.063158,5.040919,5.800869,-2.577264,0.042127
0.020000,2.766113,8.904551,2.166276,5.155875,5.747841,-2.651408,0.041700
0.020000,2.871417,8.908910,2.271671,5.269741,5.693281,-2.727987,0.040999
0.020000,2.978979,8.913271,2.379320,5.382485,5.637179,-2.805102,0.040006
