dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.998254,4.327489,0.000648,0.064754,3.237705,161.885246,0.480797
0.020000,22.997387,4.327036,0.001625,0.048884,-0.793496,-201.560024,0.481651
0.020000,22.997927,4.327320,0.002235,0.030496,-0.919386,-6.294509,0.483362
0.020000,23.002191,4.329566,0.007055,0.240968,10.523586,572.148593,0.485939
0.020000,23.007846,4.332565,0.013456,0.320059,3.954540,-328.452331,0.489398
0.020000,23.014864,4.336322,0.021416,0.398011,3.897614,-2.846284,0.493756
0.020000,23.023211,4.340843,0.030909,0.474636,3.831238,-3.318779,0.499039
0.020000,23.032845,4.346133,0.041900,0.549547,3.745540,-4.284891,0.505274
0.020000,23.043718,4.352199,0.054349,0.622492,3.647253,-4.914377,0.512498
0.020000,23.055772,4.359046,0.068213,0.693160,3.533389,-5.693187,0.520750
0.020000,23.068942,4.366681,0.083436,0.761160,3.399997,-6.669603,0.530075
0.020000,23.083156,4.375111,0.099962,0.826288,3.256409,-7.179384,0.540526
0.020000,23.098333,4.384339,0.117723,0.888093,3.090236,-8.308668,0.552160
0.020000,23.114381,4.394368,0.136648,0.946234,2.907083,-9.157633,0.565039
0.020000,23.131205,4.405201,0.156658,1.000477,2.712153,-9.746525,0.579234
0.020000,23.148696,4.416836,0.177665,1.050390,2.495652,-10.825031,0.594818
0.020000,23.166744,4.429270,0.199582,1.095815,2.271221,-11.221580,0.611872
0.020000,23.185228,4.442496,0.222310,1.136435,2.031035,-12.009290,0.630477
0.020000,23.204025,4.456506,0.245754,1.172191,1.787755,-12.164009,0.650721
0.020000,23.223009,4.471288,0.269815,1.203013,1.541140,-12.330719,0.672688
0.020000,23.242055,4.486831,0.294397,1.229142,1.306425,-11.735764,0.696461
0.020000,23.261041,4.503122,0.319415,1.250875,1.086678,-10.987336,0.722116
0.020000,23.279854,4.520156,0.344794,1.268946,0.903546,-9.156604,0.749717
0.020000,23.298396,4.537934,0.370482,1.284407,0.773035,-6.525577,0.779311
0.020000,23.316586,4.556476,0.396456,1.298687,0.714010,-2.951245,0.810917
0.020000,23.334365,4.575822,0.422731,1.313789,0.755086,2.053825,0.844521
0.020000,23.351704,4.596052,0.449375,1.332161,0.918613,8.176338,0.880067
0.020000,23.368600,4.617285,0.476510,1.356768,1.230359,15.587304,0.917445
0.020000,23.385077,4.639701,0.504331,1.391027,1.712921,24.128114,0.956486
0.020000,23.401181,4.663544,0.533103,1.438604,2.378877,33.297781,0.996958
0.020000,23.416971,4.689129,0.563167,1.503219,3.230737,42.593008,1.038564
0.020000,23.432503,4.716839,0.594933,1.588321,4.255077,51.217006,1.080945
0.020000,23.447819,4.747122,0.628869,1.696788,5.423379,58.415068,1.123693
0.020000,23.462930,4.780471,0.665482,1.830639,6.692563,63.459235,1.166365
0.020000,23.477809,4.817402,0.705298,1.990781,8.007064,65.725017,1.208502
0.020000,23.492383,4.858430,0.748837,2.176963,9.309107,65.102184,1.249649
0.020000,23.506534,4.904041,0.796593,2.387827,10.543209,61.705092,1.289375
0.020000,23.520112,4.954675,0.849016,2.621119,11.664608,56.069930,1.327288
0.020000,23.532946,5.010703,0.906495,2.873979,12.643012,48.920202,1.363047
0.020000,23.544857,5.072430,0.969361,3.143291,13.465575,41.128166,1.396364
0.020000,23.555684,5.140089,1.037881,3.425978,14.134364,33.439443,1.427005
0.020000,23.565288,5.213853,1.112267,3.719299,14.666028,26.583183,1.454785
0.020000,23.573573,5.293844,1.192687,4.020990,15.084540,20.925618,1.479558
0.020000,23.580495,5.380156,1.279275,4.329432,15.422121,16.879028,1.501206
0.020000,23.586064,5.472862,1.372148,4.643644,15.710580,14.422957,1.519628
0.020000,23.590356,5.572036,1.471415,4.963345,15.985091,13.725540,1.534728
0.020000,23.593516,5.677767,1.577193,5.288920,16.278721,14.681500,1.546403
0.020000,23.595763,5.790172,1.689621,5.621380,16.622995,17.213700,1.554534
0.020000,23.597398,5.909408,1.808868,5.962376,17.049799,21.340219,1.558971
0.020000,23.598814,6.035684,1.935152,6.314174,17.589928,27.006442,1.559525
0.020000,23.600513,6.169266,2.068745,6.679653,18.273926,34.199927,1.555958
0.020000,23.603124,6.310488,2.209991,7.062290,19.131878,42.897604,1.547968
0.020000,23.607433,6.459748,2.359314,7.466139,20.192425,53.027330,1.535187
0.020000,23.614418,6.617508,2.517227,7.895684,21.477267,64.242115,1.517163
0.020000,23.625296,6.784266,2.684340,8.355636,22.997608,76.017024,1.493366
0.020000,23.641576,6.960522,2.861347,8.850334,24.734864,86.862800,1.463187
0.020000,23.665119,7.146696,3.049003,9.382806,26.623606,94.437135,1.425966
0.020000,23.698178,7.342993,3.248065,9.953091,28.514270,94.533172,1.381041
0.020000,23.743405,7.549208,3.459181,10.555805,30.135714,81.072212,1.327843
0.020000,23.773057,7.663282,3.577046,5.893256,-233.127491,-13163.160247,1.313361
0.020000,23.811893,7.811390,3.730161,7.655743,88.124346,16062.591859,1.315367
0.020000,23.850890,7.961366,3.885124,7.748171,4.621406,-4175.147022,1.317457
0.020000,23.889709,8.111971,4.040652,7.776372,1.410058,-160.567397,1.319618
0.020000,23.928178,8.262583,4.196098,7.772327,-0.202237,-80.614737,1.321844
0.020000,23.966285,8.413195,4.351456,7.767909,-0.220914,-0.933874,1.324139
0.020000,24.004026,8.563841,4.506758,7.765081,-0.141377,3.976841,1.326506
0.020000,24.041383,8.714486,4.661966,7.760417,-0.233230,-4.592626,1.328949
0.020000,24.078339,8.865116,4.817063,7.754856,-0.278016,-2.239289,1.331472
0.020000,24.114892,9.015770,4.972089,7.751262,-0.179722,4.914705,1.334079
0.020000,24.151019,9.166410,5.126999,7.745539,-0.286166,-5.322225,1.336775
0.020000,24.186708,9.317044,5.281804,7.740216,-0.266112,1.002708,1.339565
0.020000,24.221943,9.467669,5.436495,7.734570,-0.282311,-0.809948,1.342455
0.020000,24.256709,9.618284,5.591070,7.728759,-0.290534,-0.411154,1.345449
0.020000,24.290982,9.768859,5.745497,7.721313,-0.372333,-4.089952,1.348555
0.020000,24.324757,9.919442,5.899821,7.716244,-0.253452,5.944065,1.351779
0.020000,24.358002,10.069981,6.053987,7.708285,-0.397926,-7.223693,1.355129
0.020000,24.390699,10.220474,6.207992,7.700223,-0.403123,-0.259858,1.358613
0.020000,24.422826,10.370921,6.361831,7.691947,-0.413793,-0.533523,1.362239
0.020000,24.454361,10.521323,6.515503,7.683603,-0.417183,-0.169480,1.366017
0.020000,24.485279,10.671665,6.668991,7.674434,-0.458457,-2.063706,1.369959
0.020000,24.515551,10.821931,6.822275,7.664212,-0.511106,-2.632436,1.374074
0.020000,24.545151,10.972120,6.975354,7.653927,-0.514276,-0.158500,1.378377
0.020000,24.574046,11.122215,7.128205,7.642561,-0.568273,-2.699857,1.382882
0.020000,24.602202,11.272193,7.280803,7.629886,-0.633752,-3.273969,1.387603
0.020000,24.629581,11.422028,7.433119,7.615785,-0.705066,-3.565680,1.392557
0.020000,24.656151,11.571731,7.585162,7.602162,-0.681149,1.195841,1.397766
0.020000,24.681866,11.721254,7.736880,7.585899,-0.813143,-6.599679,1.403249
0.020000,24.706684,11.870591,7.888265,7.569249,-0.832499,-0.967837,1.409031
0.020000,24.730553,12.019688,8.039260,7.549744,-0.975235,-7.136790,1.415138
0.020000,24.753424,12.168541,8.189860,7.530002,-0.987118,-0.594132,1.421602
0.020000,24.775240,12.317103,8.340016,7.507789,-1.110631,-6.175642,1.428457
0.020000,24.795937,12.465324,8.489674,7.482920,-1.243463,-6.641605,1.435741
0.020000,24.815447,12.613151,8.638783,7.455446,-1.373719,-6.512816,1.443499
0.020000,24.833699,12.760546,8.787304,7.426035,-1.470546,-4.841353,1.451784
0.020000,24.850610,12.907424,8.935153,7.392456,-1.678949,-10.420138,1.460654
0.020000,24.866091,13.053696,9.082241,7.354426,-1.901460,-11.125542,1.470176
0.020000,24.880046,13.199284,9.228497,7.312791,-2.081756,-9.014827,1.480432
0.020000,24.892369,13.344075,9.373811,7.265685,-2.355322,-13.678305,1.491515
0.020000,24.902941,13.487920,9.518044,7.211677,-2.700411,-17.254435,1.503535
0.020000,24.911633,13.630659,9.661047,7.150131,-3.077287,-18.843785,1.516624
0.020000,24.918306,13.772120,9.802665,7.080918,-3.460635,-19.167437,1.530942
0.020000,24.922803,13.912024,9.942642,6.998848,-4.103535,-32.144997,1.546676
0.020000,24.924956,14.050099,10.080733,6.904563,-4.714212,-30.533829,1.564060
0.020000,24.924587,14.185981,10.216616,6.794113,-5.522514,-40.415097,1.583380
0.020000,24.921503,14.319190,10.349861,6.662272,-6.592071,-53.477878,1.604989
0.020000,24.915512,14.449176,10.479985,6.506195,-7.803831,-60.587989,1.629336
0.020000,24.906425,14.575183,10.606319,6.316687,-9.475405,-83.578693,1.656983
0.020000,24.894085,14.696286,10.728049,6.086517,-11.508486,-101.654055,1.688661
0.020000,24.878405,14.811251,10.844078,5.801463,-14.252730,-137.212168,1.725305
0.020000,24.859427,14.918524,10.953018,5.446968,-17.724731,-173.600088,1.768152
0.020000,24.837460,15.016058,11.052994,4.998818,-22.407484,-234.137613,1.818809
0.020000,24.813258,15.101297,11.141603,4.430442,-28.418799,-300.565797,1.879403
0.020000,24.788351,15.171107,11.215723,3.706014,-36.221389,-390.129484,1.952642
0.020000,24.765460,15.222057,11.271579,2.792813,-45.660096,-471.935329,2.041838
0.020000,24.748868,15.251232,11.305142,1.678149,-55.733164,-503.653415,2.150504
0.020000,24.744069,15.258102,11.313522,0.418969,-62.959020,-361.292792,2.281174
0.020000,24.755444,15.247100,11.329346,0.791219,18.612527,4078.577345,2.432993
0.020000,24.781489,15.228424,11.361396,1.602495,40.563802,1097.563728,2.599004
0.020000,24.811572,15.213473,11.394989,1.679633,3.856867,-1835.346722,2.766365
0.020000,24.830309,15.207483,11.414660,0.983559,-34.803668,-1933.026740,2.921550
0.020000,24.826522,15.207767,11.418458,0.189878,-39.684049,-244.019061,3.056230
0.020000,24.797107,15.208339,11.447877,1.470991,64.055647,5186.984779,3.168515
0.020000,24.744618,15.204259,11.500525,2.632398,58.070311,-299.266772,3.260507
0.020000,24.673628,15.192857,11.572425,3.595006,48.130440,-496.993541,3.335689
0.020000,24.588623,15.173242,11.659664,4.361933,38.346326,-489.205740,3.397476
0.020000,24.493261,15.145537,11.758968,4.965210,30.163860,-409.123284,3.448731
0.020000,24.390318,15.110333,11.867765,5.439840,23.731511,-321.617459,3.491696
0.020000,24.281820,15.068380,11.984092,5.816324,18.824198,-245.365646,3.528088
0.020000,24.169243,15.020443,12.106450,6.117900,15.078803,-187.269737,3.559213
0.020000,24.053659,14.967231,12.233694,6.362228,12.216391,-143.120595,3.586069
0.020000,23.935844,14.909376,12.364948,6.562708,10.024006,-109.619246,3.609424
0.020000,23.816365,14.847429,12.499532,6.729161,8.322656,-85.067504,3.629873
0.020000,23.695643,14.781870,12.636906,6.868740,6.978926,-67.186504,3.647885
0.020000,23.573988,14.713110,12.776649,6.987107,5.918330,-53.029805,3.663831
0.020000,23.451635,14.641507,12.918413,7.088240,5.056652,-43.083889,3.678009
0.020000,23.328751,14.567366,13.061931,7.175859,4.380985,-33.783361,3.690659
