dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.527801,3.312301,0.000648,0.064754,3.237705,161.885246,0.480797
0.020000,23.527801,3.312301,0.003238,0.194262,6.475410,161.885246,0.481651
0.020000,23.530076,3.313495,0.008418,0.323770,6.475410,-0.000000,0.483362
0.020000,23.536951,3.317115,0.016189,0.453279,6.475410,0.000000,0.485939
0.020000,23.546105,3.321969,0.026549,0.582787,6.475410,-0.000000,0.489398
0.020000,23.557521,3.328082,0.039500,0.712295,6.475410,0.000000,0.493756
0.020000,23.571187,3.335484,0.055041,0.841803,6.475410,-0.000000,0.499039
0.020000,23.587080,3.344211,0.073172,0.971311,6.475410,0.000000,0.505274
0.020000,23.605175,3.354306,0.093893,1.100820,6.475410,-0.000000,0.512498
0.020000,23.625445,3.365820,0.117205,1.230328,6.475410,0.000000,0.520750
0.020000,23.647852,3.378811,0.143107,1.359836,6.475410,-0.000000,0.530075
0.020000,23.672358,3.393344,0.171598,1.489344,6.475410,0.000000,0.540526
0.020000,23.698916,3.409493,0.202680,1.618852,6.475410,0.000000,0.552160
0.020000,23.727470,3.427338,0.236352,1.748361,6.475410,-0.000000,0.565039
0.020000,23.757958,3.446971,0.272615,1.877869,6.475410,0.000000,0.579234
0.020000,23.790306,3.468489,0.311467,2.007377,6.475410,0.000000,0.594818
0.020000,23.824433,3.492002,0.352910,2.136885,6.475410,0.000000,0.611872
0.020000,23.860240,3.517627,0.396943,2.266393,6.475410,-0.000000,0.630477
0.020000,23.897620,3.545490,0.443566,2.395902,6.475410,0.000000,0.650721
0.020000,23.936447,3.575727,0.492779,2.525410,6.475410,0.000000,0.672688
0.020000,23.976580,3.608482,0.544582,2.654918,6.475410,-0.000000,0.696461
0.020000,24.017856,3.643904,0.598975,2.784426,6.475410,0.000000,0.722116
0.020000,24.060094,3.682152,0.655959,2.913934,6.475410,0.000000,0.749717
0.020000,24.103090,3.723384,0.715533,3.043443,6.475410,-0.000000,0.779311
0.020000,24.146618,3.767761,0.777697,3.172951,6.475410,0.000000,0.810917
0.020000,24.190428,3.815440,0.842451,3.302459,6.475410,0.000000,0.844521
0.020000,24.234249,3.866573,0.909795,3.431967,6.475410,-0.000000,0.880067
0.020000,24.277788,3.921296,0.979730,3.561475,6.475410,0.000000,0.917445
0.020000,24.320738,3.979729,1.052254,3.690984,6.475410,0.000000,0.956486
0.020000,24.362779,4.041970,1.127369,3.820492,6.475410,-0.000000,0.996958
0.020000,24.403590,4.108088,1.205074,3.950000,6.475410,0.000000,1.038564
0.020000,24.442854,4.178122,1.285369,4.079508,6.475410,0.000000,1.080945
0.020000,24.480269,4.252075,1.368254,4.209016,6.475410,0.000000,1.123693
0.020000,24.515559,4.329918,1.453730,4.338525,6.475410,0.000000,1.166365
0.020000,24.548483,4.411590,1.541795,4.468033,6.475410,-0.000000,1.208502
0.020000,24.578843,4.497004,1.632451,4.597541,6.475410,0.000000,1.249649
0.020000,24.606492,4.586050,1.725697,4.727049,6.475410,0.000000,1.289375
0.020000,24.631333,4.678605,1.821533,4.856557,6.475410,0.000000,1.327288
0.020000,24.653325,4.774537,1.919959,4.986066,6.475410,0.000000,1.363047
0.020000,24.672482,4.873716,2.020975,5.115574,6.475410,0.000000,1.396364
0.020000,24.688867,4.976015,2.124582,5.245082,6.475410,-0.000000,1.427005
0.020000,24.702591,5.081317,2.230779,5.374590,6.475410,0.000000,1.454785
0.020000,24.713811,5.189521,2.339566,5.504098,6.475410,0.000000,1.479558
0.020000,24.722723,5.300539,2.450943,5.633607,6.475410,0.000000,1.501206
0.020000,24.729565,5.414299,2.564910,5.763115,6.475410,0.000000,1.519628
0.020000,24.734612,5.530746,2.681467,5.892623,6.475410,0.000000,1.534728
0.020000,24.738176,5.649840,2.800615,6.022131,6.475410,-0.000000,1.546403
0.020000,24.740612,5.771553,2.922352,6.151639,6.475410,0.000000,1.554534
0.020000,24.742318,5.895869,3.046680,6.281148,6.475410,0.000000,1.558971
0.020000,24.743741,6.022779,3.173598,6.410656,6.475410,0.000000,1.559525
0.020000,24.745387,6.152277,3.303107,6.540164,6.475410,0.000000,1.555958
0.020000,24.747825,6.284352,3.435205,6.669672,6.475410,0.000000,1.547968
0.020000,24.751707,6.418984,3.569893,6.799180,6.475410,-0.000000,1.535187
0.020000,24.757771,6.556127,3.707172,6.928689,6.475410,0.000000,1.517163
0.020000,24.766865,6.695696,3.847041,7.058197,6.475410,0.000000,1.493366
0.020000,24.779953,6.837547,3.989500,7.187705,6.475410,0.000000,1.463187
0.020000,24.798131,6.981445,4.134549,7.317213,6.475410,0.000000,1.425966
0.020000,24.822625,7.127025,4.282189,7.446721,6.475410,0.000000,1.381041
0.020000,24.854779,7.273755,4.432418,7.576230,6.475410,-0.000000,1.327843
0.020000,24.880325,7.371764,4.585238,7.705738,6.475410,0.000000,1.313361
0.020000,24.919743,7.522094,4.740648,7.835246,6.475410,0.000000,1.315367
0.020000,24.959343,7.674386,4.898000,7.900000,3.237705,-161.885246,1.317457
0.020000,24.998779,7.827387,5.056000,7.900000,0.000000,-161.885246,1.319618
0.020000,25.037879,7.980468,5.214000,7.900000,0.000000,0.000000,1.321844
0.020000,25.076630,8.133627,5.372000,7.900000,0.000000,0.000000,1.324139
0.020000,25.115030,8.286902,5.530000,7.900000,0.000000,0.000000,1.326506
0.020000,25.153061,8.440263,5.688000,7.900000,0.000000,0.000000,1.328949
0.020000,25.190705,8.593698,5.846000,7.900000,0.000000,0.000000,1.331472
0.020000,25.227962,8.747254,6.004000,7.900000,0.000000,0.000000,1.334079
0.020000,25.264808,8.900895,6.162000,7.900000,0.000000,0.000000,1.336775
0.020000,25.301234,9.054638,6.320000,7.900000,0.000000,0.000000,1.339565
0.020000,25.337223,9.208484,6.478000,7.900000,0.000000,0.000000,1.342455
0.020000,25.372760,9.362440,6.636000,7.900000,0.000000,0.000000,1.345449
0.020000,25.407822,9.516482,6.794000,7.900000,0.000000,0.000000,1.348555
0.020000,25.442405,9.670668,6.952000,7.900000,0.000000,0.000000,1.351779
0.020000,25.476477,9.824952,7.110000,7.900000,0.000000,0.000000,1.355129
0.020000,25.510020,9.979343,7.268000,7.900000,0.000000,0.000000,1.358613
0.020000,25.543014,10.133850,7.426000,7.900000,0.000000,0.000000,1.362239
0.020000,25.575437,10.288486,7.584000,7.900000,0.000000,0.000000,1.366017
0.020000,25.607264,10.443249,7.742000,7.900000,0.000000,0.000000,1.369959
0.020000,25.638467,10.598134,7.900000,7.900000,0.000000,0.000000,1.374074
0.020000,25.669019,10.753157,8.058000,7.900000,0.000000,0.000000,1.378377
0.020000,25.698889,10.908317,8.216000,7.900000,0.000000,0.000000,1.382882
0.020000,25.728042,11.063608,8.374000,7.900000,0.000000,0.000000,1.387603
0.020000,25.756441,11.219023,8.532000,7.900000,0.000000,0.000000,1.392557
0.020000,25.784054,11.374599,8.690000,7.900000,0.000000,0.000000,1.397766
0.020000,25.810833,11.530309,8.848000,7.900000,0.000000,0.000000,1.403249
0.020000,25.836736,11.686177,9.006000,7.900000,0.000000,0.000000,1.409031
0.020000,25.861710,11.842178,9.164000,7.900000,0.000000,0.000000,1.415138
0.020000,25.885705,11.998346,9.322000,7.900000,0.000000,0.000000,1.421602
0.020000,25.908660,12.154674,9.480000,7.900000,0.000000,0.000000,1.428457
0.020000,25.930510,12.311155,9.638000,7.900000,0.000000,0.000000,1.435741
0.020000,25.951182,12.467789,9.796000,7.900000,0.000000,0.000000,1.443499
0.020000,25.970599,12.624598,9.954000,7.900000,0.000000,0.000000,1.451784
0.020000,25.988672,12.781566,10.112000,7.900000,0.000000,0.000000,1.460654
0.020000,26.005299,12.938680,10.270000,7.900000,0.000000,0.000000,1.470176
0.020000,26.020374,13.095958,10.428000,7.900000,0.000000,0.000000,1.480432
0.020000,26.033772,13.253392,10.586000,7.900000,0.000000,0.000000,1.491515
0.020000,26.045352,13.410964,10.744000,7.900000,0.000000,0.000000,1.503535
0.020000,26.054953,13.568662,10.902000,7.900000,0.000000,0.000000,1.516624
0.020000,26.062397,13.726499,11.060000,7.900000,0.000000,0.000000,1.530942
0.020000,26.067469,13.884409,11.218000,7.900000,0.000000,0.000000,1.546676
0.020000,26.069930,14.042386,11.376000,7.900000,0.000000,0.000000,1.564060
0.020000,26.069496,14.200389,11.534000,7.900000,0.000000,0.000000,1.583380
0.020000,26.065834,14.358334,11.692000,7.900000,0.000000,0.000000,1.604989
0.020000,26.058550,14.516166,11.850000,7.900000,0.000000,0.000000,1.629336
0.020000,26.047175,14.673745,12.008000,7.900000,0.000000,0.000000,1.656983
0.020000,26.031141,14.830929,12.166000,7.900000,0.000000,0.000000,1.688661
0.020000,26.009765,14.987460,12.324000,7.900000,0.000000,0.000000,1.725305
0.020000,25.982201,15.143032,12.482000,7.900000,0.000000,0.000000,1.768152
0.020000,25.947426,15.297130,12.640000,7.900000,0.000000,0.000000,1.818809
0.020000,25.904166,15.449070,12.798000,7.900000,0.000000,0.000000,1.879403
0.020000,25.850886,15.597774,12.956000,7.900000,0.000000,0.000000,1.952642
0.020000,25.785765,15.741675,13.114000,7.900000,0.000000,0.000000,2.041838
0.020000,25.706801,15.878439,13.272000,7.900000,0.000000,0.000000,2.150504
0.020000,25.612112,16.004779,13.430000,7.900000,0.000000,0.000000,2.281174
0.020000,25.500576,16.116469,13.588000,7.900000,0.000000,0.000000,2.432993
0.020000,25.372715,16.208973,13.746000,7.900000,0.000000,0.000000,2.599004
0.020000,25.231196,16.278809,13.904000,7.900000,0.000000,0.000000,2.766365
0.020000,25.080229,16.324875,14.062000,7.900000,0.000000,0.000000,2.921550
0.020000,24.924143,16.348597,14.220000,7.900000,0.000000,0.000000,3.056230
0.020000,24.766285,16.352924,14.378000,7.900000,0.000000,0.000000,3.168515
0.020000,24.608781,16.341173,14.536000,7.900000,0.000000,0.000000,3.260507
0.020000,24.452780,16.316357,14.694000,7.900000,0.000000,0.000000,3.335689
0.020000,24.298822,16.280961,14.852000,7.900000,0.000000,0.000000,3.397476
0.020000,24.147091,16.236954,15.010000,7.900000,0.000000,0.000000,3.448731
0.020000,23.997589,16.185874,15.168000,7.900000,0.000000,0.000000,3.491696
0.020000,23.850219,16.128920,15.326000,7.900000,0.000000,0.000000,3.528088
0.020000,23.704847,16.067037,15.484000,7.900000,0.000000,0.000000,3.559213
0.020000,23.561326,16.000978,15.642000,7.900000,0.000000,0.000000,3.586069
0.020000,23.419504,15.931344,15.800000,7.900000,0.000000,0.000000,3.609424
0.020000,23.279236,15.858626,15.958000,7.900000,0.000000,0.000000,3.629873
0.020000,23.140389,15.783228,16.116000,7.900000,0.000000,0.000000,3.647885
0.020000,23.002838,15.705487,16.274000,7.900000,0.000000,0.000000,3.663831
0.020000,22.866473,15.625687,16.432000,7.900000,0.000000,0.000000,3.678009
0.020000,22.731186,15.544065,16.590000,7.900000,0.000000,0.000000,3.690659
0.020000,22.596889,15.460832,16.748000,7.900000,0.000000,0.000000,3.701979
0.020000,22.463492,15.376162,16.906000,7.900000,0.000000,0.000000,3.712131
0.020000,22.330913,15.290212,17.064000,7.900000,0.000000,0.000000,3.721249
0.020000,22.199087,15.203121,17.222000,7.900000,0.000000,0.000000,3.729444
0.020000,22.067939,15.115006,17.380000,7.900000,0.000000,0.000000,3.736811
0.020000,21.937409,15.025976,17.538000,7.900000,0.000000,0.000000,3.743429
0.020000,21.807442,14.936131,17.696000,7.900000,0.000000,0.000000,3.749366
0.020000,21.677981,14.845555,17.854000,7.900000,0.000000,0.000000,3.754678
0.020000,21.548975,14.754330,18.012000,7.900000,0.000000,0.000000,3.759413
0.020000,21.420379,14.662532,18.170000,7.900000,0.000000,0.000000,3.763614
0.020000,21.292147,14.570226,18.328000,7.900000,0.000000,0.000000,3.767315
0.020000,21.164235,14.477477,18.486000,7.900000,0.000000,0.000000,3.770545
0.020000,21.036602,14.384343,18.644000,7.900000,0.000000,0.000000,3.773331
0.020000,20.909209,14.290881,18.802000,7.900000,0.000000,0.000000,3.775693
0.020000,20.782018,14.197145,18.960000,7.900000,0.000000,0.000000,3.777649
0.020000,20.654991,14.103185,19.118000,7.900000,0.000000,0.000000,3.779212
0.020000,20.528094,14.009051,19.276000,7.900000,0.000000,0.000000,3.780394
0.020000,20.401291,13.914790,19.434000,7.900000,0.000000,0.000000,3.781203
0.020000,20.274546,13.820451,19.592000,7.900000,0.000000,0.000000,3.781645
0.020000,20.147827,13.726078,19.750000,7.900000,0.000000,0.000000,3.781722
0.020000,20.021097,13.631719,19.908000,7.900000,0.000000,0.000000,3.781435
0.020000,19.894323,13.537420,20.066000,7.900000,0.000000,0.000000,3.780783
0.020000,19.767470,13.443226,20.224000,7.900000,0.000000,0.000000,3.779760
0.020000,19.640503,13.349186,20.382000,7.900000,0.000000,0.000000,3.778360
0.020000,19.513386,13.255349,20.540000,7.900000,0.000000,0.000000,3.776572
0.020000,19.386083,13.161764,20.698000,7.900000,0.000000,0.000000,3.774384
0.020000,19.258557,13.068485,20.856000,7.900000,0.000000,0.000000,3.771781
0.020000,19.130769,12.975565,21.014000,7.900000,0.000000,0.000000,3.768741
0.020000,19.002677,12.883064,21.172000,7.900000,0.000000,0.000000,3.765244
0.020000,18.874240,12.791041,21.330000,7.900000,0.000000,0.000000,3.761259
0.020000,18.745413,12.699564,21.488000,7.900000,0.000000,0.000000,3.756755
0.020000,18.616152,12.608704,21.646000,7.900000,0.000000,0.000000,3.751693
