dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.057347,2.297114,0.000648,0.064754,3.237705,161.885246,0.480797
0.020000,24.058214,2.297567,0.001625,0.048884,-0.793496,-201.560024,0.481651
0.020000,24.062225,2.299669,0.006154,0.226418,8.876697,483.509641,0.483362
0.020000,24.071711,2.304664,0.016874,0.536042,15.481212,330.225757,0.485939
0.020000,24.084363,2.311374,0.031195,0.716043,9.000017,-324.059782,0.489398
0.020000,24.100179,2.319842,0.049136,0.897027,9.049200,2.459179,0.493756
0.020000,24.119163,2.330125,0.070726,1.079501,9.123694,3.724679,0.499039
0.020000,24.141314,2.342288,0.095997,1.263554,9.202662,3.948402,0.505274
0.020000,24.166633,2.356413,0.124989,1.449612,9.302895,5.011659,0.512498
0.020000,24.195118,2.372594,0.157749,1.637999,9.419374,5.823954,0.520750
0.020000,24.226762,2.390940,0.194327,1.828884,9.544244,6.243469,0.530075
0.020000,24.261561,2.411578,0.234785,2.022909,9.701248,7.850206,0.540526
0.020000,24.299500,2.434647,0.279188,2.220141,9.861590,8.017115,0.552160
0.020000,24.340559,2.460308,0.327606,2.420907,10.038303,8.835668,0.565039
0.020000,24.384712,2.488741,0.380122,2.625780,10.243647,10.267191,0.579234
0.020000,24.431917,2.520142,0.436817,2.834758,10.448914,10.263332,0.594818
0.020000,24.482122,2.554735,0.497785,3.048428,10.683503,11.729434,0.611872
0.020000,24.535253,2.592758,0.563120,3.266745,10.915855,11.617614,0.630477
0.020000,24.591216,2.634474,0.632921,3.490037,11.164602,12.437368,0.650721
0.020000,24.649886,2.680165,0.707284,3.718140,11.405149,12.027325,0.672688
0.020000,24.711105,2.730132,0.786306,3.951124,11.649210,12.203064,0.696461
0.020000,24.774671,2.784687,0.870073,4.188317,11.859634,10.521193,0.722116
0.020000,24.840333,2.844147,0.958656,4.429196,12.043964,9.216513,0.749717
0.020000,24.907784,2.908833,1.052112,4.672763,12.178339,6.718723,0.779311
0.020000,24.976650,2.979046,1.150460,4.917397,12.231680,2.667088,0.810917
0.020000,25.046491,3.055058,1.253686,5.161307,12.195524,-1.807813,0.844521
0.020000,25.116794,3.137094,1.361725,5.401936,12.031427,-8.204836,0.880067
0.020000,25.186977,3.225306,1.474450,5.636264,11.716405,-15.751122,0.917445
0.020000,25.256399,3.319757,1.591669,5.860960,11.234788,-24.080832,0.956486
0.020000,25.324377,3.420396,1.713116,6.072337,10.568864,-33.296203,0.996958
0.020000,25.390210,3.527048,1.838450,6.266709,9.718604,-42.513016,1.038564
0.020000,25.453205,3.639405,1.967262,6.440585,8.693813,-51.239562,1.080945
0.020000,25.512719,3.757028,2.099083,6.591084,7.524954,-58.442911,1.123693
0.020000,25.568188,3.879365,2.233408,6.716249,6.258236,-63.335906,1.166365
0.020000,25.619157,4.005779,2.369711,6.815120,4.943522,-65.735724,1.208502
0.020000,25.665304,4.135579,2.507470,6.887967,3.642389,-65.056659,1.249649
0.020000,25.706449,4.268060,2.646193,6.936144,2.408826,-61.678113,1.289375
0.020000,25.742553,4.402536,2.785431,6.961911,1.288332,-56.024730,1.327288
0.020000,25.773705,4.538372,2.924793,6.968113,0.310138,-48.909709,1.363047
0.020000,25.800107,4.675002,3.063951,6.957882,-0.511539,-41.083806,1.396364
0.020000,25.822050,4.811940,3.202636,6.934267,-1.180787,-33.462407,1.427005
0.020000,25.839895,4.948782,3.340637,6.900037,-1.711478,-26.534585,1.454785
0.020000,25.854048,5.085198,3.477785,6.857417,-2.131033,-20.977739,1.479558
0.020000,25.864952,5.220922,3.613947,6.808064,-2.467618,-16.829265,1.501206
0.020000,25.873067,5.355737,3.749005,6.752917,-2.757347,-14.486433,1.519628
0.020000,25.878867,5.489456,3.882851,6.692277,-3.032016,-13.733455,1.534728
0.020000,25.882835,5.621912,4.015366,6.625770,-3.325345,-14.666455,1.546403
0.020000,25.885461,5.752933,4.146413,6.552361,-3.670437,-17.254571,1.554534
0.020000,25.887238,5.882329,4.275821,6.470404,-4.097869,-21.371610,1.558971
0.020000,25.888668,6.009874,4.403374,6.377632,-4.638601,-27.036581,1.559525
0.020000,25.890260,6.135287,4.528797,6.271164,-5.323410,-34.240450,1.555958
0.020000,25.892527,6.258216,4.651747,6.147512,-6.182594,-42.959232,1.547968
0.020000,25.895981,6.378219,4.771800,6.002628,-7.244170,-53.078796,1.535187
0.020000,25.901125,6.494746,4.888440,5.831994,-8.531709,-64.376963,1.517163
0.020000,25.908434,6.607127,5.001058,5.630920,-10.053722,-76.100612,1.493366
0.020000,25.918330,6.714572,5.108959,5.395030,-11.794500,-87.038926,1.463187
0.020000,25.931144,6.816193,5.211385,5.121282,-13.687398,-94.644868,1.425966
0.020000,25.947073,6.911057,5.307577,4.809597,-15.584232,-94.841700,1.381041
0.020000,25.966152,6.998303,5.396884,4.465371,-17.211309,-81.353851,1.327843
0.020000,25.987593,7.080245,5.481585,4.235056,-11.515735,284.778702,1.313361
0.020000,26.027594,7.232797,5.639294,7.885444,182.519372,9701.755327,1.315367
0.020000,26.067795,7.387405,5.799043,7.987468,5.101208,-8870.908181,1.317457
0.020000,26.107849,7.542802,5.959519,8.023780,1.815619,-164.279458,1.319618
0.020000,26.147580,7.698352,6.120063,8.027219,0.171959,-82.183024,1.321844
0.020000,26.186975,7.854059,6.280676,8.030651,0.171592,-0.018349,1.324139
0.020000,26.226034,8.009963,6.441399,8.036135,0.274207,5.130775,1.326506
0.020000,26.264738,8.166039,6.602202,8.040156,0.201017,-3.659495,1.328949
0.020000,26.303071,8.322280,6.763076,8.043714,0.177889,-1.156420,1.331472
0.020000,26.341031,8.478737,6.924073,8.049814,0.305006,6.355829,1.334079
0.020000,26.378598,8.635380,7.085158,8.054245,0.221578,-4.171399,1.336775
0.020000,26.415760,8.792232,7.246351,8.059676,0.271546,2.498410,1.339565
0.020000,26.452502,8.949299,7.407659,8.065400,0.286189,0.732151,1.342455
0.020000,26.488810,9.106596,7.569092,8.071634,0.311714,1.276269,1.345449
0.020000,26.524662,9.264105,7.730630,8.076896,0.263090,-2.431198,1.348555
0.020000,26.560052,9.421894,7.892339,8.085448,0.427596,8.225304,1.351779
0.020000,26.594952,9.579923,8.054176,8.091846,0.319906,-5.384506,1.355129
0.020000,26.629342,9.738212,8.216157,8.099081,0.361749,2.092139,1.358613
0.020000,26.663203,9.896779,8.378300,8.107126,0.402263,2.025690,1.362239
0.020000,26.696514,10.055649,8.540624,8.116235,0.455428,2.658257,1.366017
0.020000,26.729250,10.214833,8.703139,8.125717,0.474096,0.933395,1.369959
0.020000,26.761383,10.374337,8.865848,8.135450,0.486673,0.628848,1.374074
0.020000,26.792887,10.534195,9.028780,8.146623,0.558654,3.599046,1.378377
0.020000,26.823732,10.694419,9.191947,8.158314,0.584511,1.292877,1.382882
0.020000,26.853883,10.855022,9.355356,8.170449,0.606761,1.112469,1.387603
0.020000,26.883302,11.016019,9.519018,8.183100,0.632539,1.288935,1.392557
0.020000,26.911956,11.177466,9.682988,8.198548,0.772408,6.993450,1.397766
0.020000,26.939799,11.339364,9.847263,8.213703,0.757752,-0.732827,1.403249
0.020000,26.966787,11.501762,10.011889,8.231301,0.879929,6.108873,1.409031
0.020000,26.992866,11.664668,10.176869,8.249016,0.885744,0.290734,1.415138
0.020000,27.017985,11.828152,10.342271,8.270114,1.054896,8.457630,1.421602
0.020000,27.042081,11.992245,10.508124,8.292643,1.126437,3.577021,1.428457
0.020000,27.065084,12.156986,10.674463,8.316953,1.215505,4.453399,1.435741
0.020000,27.086917,12.322427,10.841338,8.343764,1.340570,6.253250,1.443499
0.020000,27.107500,12.488650,11.008831,8.374634,1.543492,10.146118,1.451784
0.020000,27.126733,12.655707,11.176991,8.408014,1.668970,6.273894,1.460654
0.020000,27.144508,12.823663,11.345885,8.444706,1.834642,8.283618,1.470176
0.020000,27.160703,12.992631,11.515627,8.487080,2.118690,14.202398,1.480432
0.020000,27.175176,13.162710,11.686321,8.534708,2.381409,13.135941,1.491515
0.020000,27.187763,13.334008,11.858081,8.588006,2.664879,14.173507,1.503535
0.020000,27.198274,13.506665,12.031058,8.648817,3.040566,18.784344,1.516624
0.020000,27.206487,13.680878,12.205464,8.720328,3.575522,26.747760,1.530942
0.020000,27.212136,13.856794,12.381471,8.800349,4.001077,21.277798,1.546676
0.020000,27.214904,14.034673,12.559371,8.894996,4.732333,36.562793,1.564060
0.020000,27.214405,14.214797,12.739497,9.006271,5.563737,41.570186,1.583380
0.020000,27.210165,14.397477,12.922225,9.136429,6.507915,47.208886,1.604989
0.020000,27.201589,14.583156,13.108102,9.293857,7.871418,68.175159,1.629336
0.020000,27.187925,14.772307,13.297746,9.482190,9.416642,77.261199,1.656983
0.020000,27.168197,14.965571,13.492015,9.713436,11.562295,107.282678,1.688661
