dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.812650,18.616646,0.000648,0.064754,3.237705,161.885246,0.000135
0.020000,4.812751,18.616646,0.000748,0.005031,-2.986173,-311.193886,0.000047
0.020000,4.816733,18.616646,0.004730,0.199108,9.703856,634.501438,6.283058
0.020000,4.824802,18.616644,0.012799,0.403422,10.215700,25.592202,6.282798
0.020000,4.835555,18.616638,0.023552,0.537669,6.712352,-175.167400,6.282455
0.020000,4.848989,18.616625,0.036987,0.671721,6.702605,-0.487356,6.282032
0.020000,4.865100,18.616603,0.053097,0.805530,6.690467,-0.606914,6.281535
0.020000,4.883881,18.616567,0.071878,0.939047,6.675860,-0.730352,6.280967
0.020000,4.905325,18.616512,0.093323,1.072225,6.658873,-0.849318,6.280336
0.020000,4.929426,18.616435,0.117423,1.205014,6.639453,-0.971022,6.279647
0.020000,4.956173,18.616331,0.144170,1.337367,6.617629,-1.091188,6.278908
0.020000,4.985557,18.616193,0.173555,1.469234,6.593390,-1.211972,6.278128
0.020000,5.017568,18.616018,0.205566,1.600569,6.566734,-1.332759,6.277317
0.020000,5.052194,18.615801,0.240193,1.731324,6.537742,-1.449640,6.276483
0.020000,5.089422,18.615535,0.277422,1.861449,6.506282,-1.572957,6.275639
0.020000,5.129238,18.615218,0.317240,1.990899,6.472500,-1.689108,6.274796
0.020000,5.171629,18.614844,0.359632,2.119626,6.436302,-1.809898,6.273966
0.020000,5.216579,18.614411,0.404584,2.247580,6.397725,-1.928883,6.273163
0.020000,5.264071,18.613917,0.452078,2.374716,6.356794,-2.046536,6.272402
0.020000,5.314087,18.613360,0.502098,2.500985,6.313463,-2.166550,6.271698
0.020000,5.366610,18.612739,0.554625,2.626340,6.267752,-2.285540,6.271066
0.020000,5.421621,18.612057,0.609639,2.750734,6.219667,-2.404268,6.270524
0.020000,5.479098,18.611316,0.667122,2.874117,6.169168,-2.524952,6.270088
0.020000,5.539022,18.610521,0.727051,2.996442,6.116279,-2.644435,6.269778
0.020000,5.601369,18.609679,0.789404,3.117662,6.060952,-2.766336,6.269613
0.020000,5.666118,18.608799,0.854158,3.237725,6.003186,-2.888333,6.269612
0.020000,5.733244,18.607893,0.921290,3.356584,5.942944,-3.012091,6.269798
0.020000,5.802721,18.606976,0.990774,3.474188,5.880205,-3.136949,6.270191
0.020000,5.874525,18.606064,1.062583,3.590487,5.814925,-3.263989,6.270816
0.020000,5.948628,18.605178,1.136692,3.705428,5.747066,-3.392977,6.271695
0.020000,6.025003,18.604343,1.213071,3.818960,5.676606,-3.522965,6.272852
0.020000,6.103620,18.603586,1.291692,3.931029,5.603446,-3.658010,6.274315
0.020000,6.184449,18.602940,1.372523,4.041581,5.527619,-3.791348,6.276108
0.020000,6.267459,18.602439,1.455535,4.150562,5.449010,-3.930436,6.278260
0.020000,6.352617,18.602126,1.540693,4.257914,5.367599,-4.070556,6.280800
0.020000,6.439888,18.602044,1.627965,4.363581,5.283370,-4.211438,0.000570
0.020000,6.529238,18.602244,1.717315,4.467507,5.196300,-4.353541,0.003972
0.020000,6.620629,18.602781,1.808707,4.569635,5.106396,-4.495161,0.007853
0.020000,6.714023,18.603716,1.902106,4.669907,5.013605,-4.639566,0.012244
0.020000,6.809378,18.605116,1.997471,4.768270,4.918144,-4.773039,0.017179
0.020000,6.906652,18.607051,2.094764,4.864669,4.819959,-4.909248,0.022693
0.020000,7.005800,18.609601,2.193945,4.959056,4.719358,-5.030090,0.028820
0.020000,7.106776,18.612850,2.294973,5.051387,4.616522,-5.141769,0.035596
0.020000,7.209529,18.616888,2.397806,5.141622,4.511768,-5.237728,0.043059
0.020000,7.314008,18.621813,2.502400,5.229735,4.405644,-5.306176,0.051244
0.020000,7.420157,18.627728,2.608714,5.315709,4.298704,-5.347015,0.060190
0.020000,7.527920,18.634743,2.716705,5.399543,4.191717,-5.349349,0.069933
0.020000,7.637235,18.642975,2.826330,5.481257,4.085673,-5.302196,0.080511
0.020000,7.748041,18.652547,2.937548,5.560892,3.981752,-5.196069,0.091961
0.020000,7.860269,18.663590,3.050319,5.638520,3.881417,-5.016736,0.104316
0.020000,7.973852,18.676238,3.164604,5.714247,3.786356,-4.753048,0.117611
0.020000,8.088718,18.690633,3.280368,5.788220,3.698630,-4.386270,0.131875
0.020000,8.204793,18.706924,3.397581,5.860632,3.620613,-3.900878,0.147137
0.020000,8.322001,18.725263,3.516215,5.931731,3.554925,-3.284393,0.163419
0.020000,8.440266,18.745809,3.636252,6.001817,3.504323,-2.530113,0.180739
0.020000,8.559510,18.768724,3.757677,6.071264,3.472327,-1.599805,0.199107
0.020000,8.679654,18.794174,3.880487,6.140505,3.462087,-0.511975,0.218528
0.020000,8.800621,18.822331,4.004688,6.210042,3.476852,0.738216,0.238997
0.020000,8.922335,18.853369,4.130297,6.280448,3.520258,2.170322,0.260497
0.020000,9.044722,18.887463,4.257344,6.352348,3.594996,3.736884,0.283004
0.020000,9.151557,18.920000,4.369024,5.583999,-38.417413,-2100.620428,0.312753
0.020000,9.257357,18.956526,4.480951,5.596383,0.619206,1951.830934,0.352418
0.020000,9.360656,18.996929,4.591871,5.545952,-2.521551,-157.037838,0.393530
0.020000,9.461075,19.041113,4.701581,5.485500,-3.022624,-25.053644,0.435697
0.020000,9.558727,19.089142,4.810404,5.441187,-2.215643,40.349033,0.478639
0.020000,9.653760,19.141096,4.918712,5.415385,-1.290117,46.276286,0.522030
0.020000,9.746353,19.197076,5.026912,5.410003,-0.269100,51.050881,0.565516
0.020000,9.836699,19.257199,5.135434,5.426125,0.806117,53.760824,0.608720
0.020000,9.924989,19.321585,5.244709,5.463707,1.879101,53.649239,0.651268
0.020000,10.011405,19.390355,5.355148,5.521974,2.913363,51.713086,0.692799
0.020000,10.096105,19.463610,5.467132,5.599187,3.860655,47.364602,0.732981
0.020000,10.179223,19.541425,5.580991,5.692962,4.688723,41.403396,0.771526
0.020000,10.260870,19.623840,5.697001,5.800500,5.376894,34.408557,0.808192
0.020000,10.341131,19.710852,5.815378,5.918835,5.916754,26.992966,0.842793
0.020000,10.420082,19.802416,5.936279,6.045056,6.311047,19.714662,0.875189
0.020000,10.497786,19.898445,6.059809,6.176482,6.571312,13.013272,0.905290
0.020000,10.574309,19.998818,6.186024,6.310777,6.714741,7.171436,0.933045
0.020000,10.649720,20.103382,6.314945,6.446029,6.762588,2.392336,0.958439
0.020000,10.724101,20.211963,6.446559,6.580736,6.735349,-1.361921,0.981481
0.020000,10.797545,20.324373,6.580835,6.713801,6.653291,-4.102888,1.002198
0.020000,10.870162,20.440415,6.717725,6.844491,6.534468,-5.941176,1.020633
0.020000,10.942078,20.559887,6.857173,6.972375,6.394211,-7.012852,1.036835
0.020000,11.013434,20.682584,6.999110,7.096872,6.224859,-8.467590,1.050855
0.020000,11.084096,20.807783,7.142874,7.188171,4.564937,-82.996082,1.062699
0.020000,11.153668,20.934205,7.287174,7.215042,1.343538,-161.069980,1.072369
0.020000,11.222052,21.061044,7.431273,7.204944,-0.504891,-92.421424,1.079954
0.020000,11.289434,21.188023,7.575023,7.187480,-0.873203,-18.415635,1.085581
0.020000,11.355994,21.314888,7.718289,7.163306,-1.208668,-16.773246,1.089369
0.020000,11.421905,21.441410,7.860949,7.133023,-1.514196,-15.276399,1.091424
0.020000,11.487329,21.567377,8.002893,7.097194,-1.791419,-13.861159,1.091843
0.020000,11.552423,21.692595,8.144020,7.056317,-2.043862,-12.622131,1.090713
0.020000,11.617328,21.816885,8.284236,7.010822,-2.274727,-11.543246,1.088116
0.020000,11.682180,21.940079,8.423458,6.961075,-2.487344,-10.630878,1.084126
0.020000,11.747101,22.062022,8.561605,6.907382,-2.684688,-9.867190,1.078811
0.020000,11.812200,22.182567,8.698605,6.849979,-2.870125,-9.271829,1.072237
0.020000,11.877576,22.301573,8.834386,6.789051,-3.046428,-8.815142,1.064465
0.020000,11.943313,22.418907,8.968880,6.724717,-3.216706,-8.513927,1.055554
0.020000,12.009485,22.534440,9.102021,6.657052,-3.383232,-8.326309,1.045563
0.020000,12.076148,22.648047,9.233743,6.586072,-3.548981,-8.287445,1.034549
0.020000,12.143346,22.759607,9.363978,6.511762,-3.715499,-8.325909,1.022571
0.020000,12.211108,22.869002,9.492659,6.434057,-3.885254,-8.487748,1.009689
0.020000,12.279447,22.976116,9.619717,6.352899,-4.057890,-8.631797,0.995961
0.020000,12.348359,23.080839,9.745080,6.268124,-4.238762,-9.043563,0.981452
0.020000,12.417826,23.183062,9.868672,6.179629,-4.424779,-9.300882,0.966227
0.020000,12.487813,23.282680,9.990418,6.087275,-4.617666,-9.644341,0.950353
0.020000,12.558268,23.379595,10.110236,5.990901,-4.818690,-10.051198,0.933899
0.020000,12.629123,23.473713,10.228043,5.890392,-5.025452,-10.338085,0.916940
0.020000,12.700296,23.564947,10.343756,5.785608,-5.239199,-10.687368,0.899548
0.020000,12.771688,23.653220,10.457285,5.676454,-5.457723,-10.926212,0.881801
0.020000,12.843188,23.738460,10.568542,5.562864,-5.679510,-11.089334,0.863775
0.020000,12.914671,23.820609,10.677438,5.444798,-5.903276,-11.188277,0.845550
0.020000,12.986003,23.899618,10.783883,5.322262,-6.126831,-11.177770,0.827203
0.020000,13.057038,23.975450,10.887789,5.195299,-6.348134,-11.065171,0.808812
0.020000,13.127625,24.048080,10.989069,5.063994,-6.565245,-10.855557,0.790452
0.020000,13.197605,24.117497,11.087639,4.928491,-6.775158,-10.495619,0.772197
0.020000,13.266819,24.183702,11.183418,4.788932,-6.977962,-10.140187,0.754117
0.020000,13.335102,24.246708,11.276328,4.645532,-7.169994,-9.601605,0.736280
0.020000,13.402294,24.306541,11.366299,4.498538,-7.349692,-8.984926,0.718749
0.020000,13.468233,24.363239,11.453263,4.348188,-7.517483,-8.389522,0.701581
0.020000,13.532765,24.416850,11.537158,4.194782,-7.670290,-7.640350,0.684832
0.020000,13.595738,24.467430,11.617929,4.038544,-7.811926,-7.081827,0.668549
0.020000,13.657007,24.515048,11.695526,3.879851,-7.934658,-6.136581,0.652776
0.020000,13.716435,24.559774,11.769905,3.718924,-8.046348,-5.584526,0.637551
0.020000,13.773893,24.601689,11.841026,3.556089,-8.141729,-4.769047,0.622910
0.020000,13.829261,24.640874,11.908858,3.391570,-8.225978,-4.212444,0.608880
0.020000,13.882425,24.677417,11.973370,3.225600,-8.298504,-3.626296,0.595486
0.020000,13.933284,24.711405,12.034540,3.058513,-8.354311,-2.790359,0.582749
0.020000,13.981743,24.742927,12.092349,2.890444,-8.403452,-2.457033,0.570686
0.020000,14.027716,24.772071,12.146782,2.721629,-8.440767,-1.865772,0.559309
0.020000,14.071126,24.798923,12.197825,2.552191,-8.471894,-1.556312,0.548630
0.020000,14.111903,24.823569,12.245472,2.382341,-8.492510,-1.030796,0.538656
0.020000,14.149985,24.846088,12.289714,2.212090,-8.512538,-1.001421,0.529393
0.020000,14.185317,24.866559,12.330547,2.041667,-8.521157,-0.430942,0.520845
0.020000,14.217850,24.885054,12.367971,1.871169,-8.524912,-0.187748,0.513013
0.020000,14.247542,24.901641,12.401982,1.700563,-8.530283,-0.268584,0.505899
0.020000,14.274356,24.916384,12.432581,1.529971,-8.529617,0.033342,0.499502
0.020000,14.298260,24.929339,12.459770,1.359426,-8.527213,0.120157,0.493823
0.020000,14.319226,24.940558,12.483549,1.188942,-8.524228,0.149271,0.488859
0.020000,14.337230,24.950086,12.503919,1.018510,-8.521603,0.131254,0.484610
0.020000,14.352256,24.957963,12.520885,0.848275,-8.511737,0.493295,0.481073
0.020000,14.364285,24.964220,12.534443,0.677942,-8.516677,-0.246974,0.478248
0.020000,14.373307,24.968885,12.544600,0.507847,-8.504735,0.597066,0.476133
0.020000,14.379312,24.971976,12.551354,0.337677,-8.508474,-0.186932,0.474727
0.020000,14.382306,24.973514,12.554720,0.168307,-8.468544,1.996507,0.474026
0.020000,14.383052,24.973897,12.555559,0.041935,-6.318570,107.498669,0.473851
0.020000,14.383052,24.973897,12.555559,0.000000,-2.096757,211.090670,0.473851
