dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.812805,17.471646,0.000648,0.064754,3.237705,161.885246,0.000135
0.020000,4.812805,17.471646,0.003238,0.194262,6.475410,161.885246,0.000047
0.020000,4.816587,17.471646,0.008418,0.323770,6.475410,-0.000000,6.283058
0.020000,4.824358,17.471644,0.016189,0.453279,6.475410,0.000000,6.282798
0.020000,4.834718,17.471638,0.026549,0.582787,6.475410,-0.000000,6.282455
0.020000,4.847669,17.471626,0.039500,0.712295,6.475410,0.000000,6.282032
0.020000,4.863210,17.471604,0.055041,0.841803,6.475410,-0.000000,6.281535
0.020000,4.881341,17.471569,0.073172,0.971311,6.475410,0.000000,6.280967
0.020000,4.902062,17.471517,0.093893,1.100820,6.475410,-0.000000,6.280336
0.020000,4.925374,17.471442,0.117205,1.230328,6.475410,0.000000,6.279647
0.020000,4.951275,17.471341,0.143107,1.359836,6.475410,-0.000000,6.278908
0.020000,4.979767,17.471208,0.171598,1.489344,6.475410,0.000000,6.278128
0.020000,5.010848,17.471038,0.202680,1.618852,6.475410,0.000000,6.277317
0.020000,5.044520,17.470826,0.236352,1.748361,6.475410,-0.000000,6.276483
0.020000,5.080781,17.470568,0.272615,1.877869,6.475410,0.000000,6.275639
0.020000,5.119632,17.470258,0.311467,2.007377,6.475410,0.000000,6.274796
0.020000,5.161073,17.469893,0.352910,2.136885,6.475410,0.000000,6.273966
0.020000,5.205104,17.469469,0.396943,2.266393,6.475410,-0.000000,6.273163
0.020000,5.251724,17.468984,0.443566,2.395902,6.475410,0.000000,6.272402
0.020000,5.300935,17.468435,0.492779,2.525410,6.475410,0.000000,6.271698
0.020000,5.352734,17.467823,0.544582,2.654918,6.475410,-0.000000,6.271066
0.020000,5.407123,17.467149,0.598975,2.784426,6.475410,0.000000,6.270524
0.020000,5.464102,17.466414,0.655959,2.913934,6.475410,0.000000,6.270088
0.020000,5.523671,17.465624,0.715533,3.043443,6.475410,-0.000000,6.269778
0.020000,5.585829,17.464785,0.777697,3.172951,6.475410,0.000000,6.269613
0.020000,5.650577,17.463905,0.842451,3.302459,6.475410,0.000000,6.269612
0.020000,5.717915,17.462996,0.909795,3.431967,6.475410,-0.000000,6.269798
0.020000,5.787844,17.462072,0.979730,3.561475,6.475410,0.000000,6.270191
0.020000,5.860362,17.461151,1.052254,3.690984,6.475410,0.000000,6.270816
0.020000,5.935472,17.460254,1.127369,3.820492,6.475410,-0.000000,6.271695
0.020000,6.013172,17.459404,1.205074,3.950000,6.475410,0.000000,6.272852
0.020000,6.093463,17.458631,1.285369,4.079508,6.475410,0.000000,6.274315
0.020000,6.176346,17.457968,1.368254,4.209016,6.475410,0.000000,6.276108
0.020000,6.261820,17.457453,1.453730,4.338525,6.475410,0.000000,6.278260
0.020000,6.349885,17.457129,1.541795,4.468033,6.475410,-0.000000,6.280800
0.020000,6.440541,17.457044,1.632451,4.597541,6.475410,0.000000,0.000570
0.020000,6.533786,17.457253,1.725697,4.727049,6.475410,0.000000,0.003972
0.020000,6.629620,17.457817,1.821533,4.856557,6.475410,0.000000,0.007853
0.020000,6.728042,17.458802,1.919959,4.986066,6.475410,0.000000,0.012244
0.020000,6.829047,17.460285,2.020975,5.115574,6.475410,0.000000,0.017179
0.020000,6.932633,17.462346,2.124582,5.245082,6.475410,-0.000000,0.022693
0.020000,7.038794,17.465077,2.230779,5.374590,6.475410,0.000000,0.028820
0.020000,7.147525,17.468575,2.339566,5.504098,6.475410,0.000000,0.035596
0.020000,7.258816,17.472949,2.450943,5.633607,6.475410,0.000000,0.043059
0.020000,7.372656,17.478316,2.564910,5.763115,6.475410,0.000000,0.051244
0.020000,7.489033,17.484801,2.681467,5.892623,6.475410,0.000000,0.060190
0.020000,7.607928,17.492541,2.800615,6.022131,6.475410,-0.000000,0.069933
0.020000,7.729321,17.501684,2.922352,6.151639,6.475410,0.000000,0.080511
0.020000,7.853187,17.512385,3.046680,6.281148,6.475410,0.000000,0.091961
0.020000,7.979494,17.524814,3.173598,6.410656,6.475410,0.000000,0.104316
0.020000,8.108206,17.539147,3.303107,6.540164,6.475410,0.000000,0.117611
0.020000,8.239278,17.555575,3.435205,6.669672,6.475410,0.000000,0.131875
0.020000,8.372658,17.574296,3.569893,6.799180,6.475410,-0.000000,0.147137
0.020000,8.508284,17.595518,3.707172,6.928689,6.475410,0.000000,0.163419
0.020000,8.646087,17.619460,3.847041,7.058197,6.475410,0.000000,0.180739
0.020000,8.785984,17.646345,3.989500,7.187705,6.475410,0.000000,0.199107
0.020000,8.927882,17.676405,4.134549,7.317213,6.475410,0.000000,0.218528
0.020000,9.071674,17.709877,4.282189,7.446721,6.475410,0.000000,0.238997
0.020000,9.217242,17.746999,4.432418,7.576230,6.475410,-0.000000,0.260497
0.020000,9.364453,17.788010,4.585238,7.705738,6.475410,0.000000,0.283004
0.020000,9.503849,17.830544,4.740648,7.835246,6.475410,0.000000,0.312753
0.020000,9.652575,17.881897,4.898000,7.900000,3.237705,-161.885246,0.352418
0.020000,9.799707,17.939452,5.056000,7.900000,0.000000,-161.885246,0.393530
0.020000,9.944314,18.003084,5.214000,7.900000,0.000000,0.000000,0.435697
0.020000,10.086081,18.072814,5.372000,7.900000,0.000000,0.000000,0.478639
0.020000,10.224704,18.148600,5.530000,7.900000,0.000000,0.000000,0.522030
0.020000,10.359903,18.230338,5.688000,7.900000,0.000000,0.000000,0.565516
0.020000,10.491431,18.317863,5.846000,7.900000,0.000000,0.000000,0.608720
0.020000,10.619083,18.410949,6.004000,7.900000,0.000000,0.000000,0.651268
0.020000,10.742709,18.509322,6.162000,7.900000,0.000000,0.000000,0.692799
0.020000,10.862211,18.612665,6.320000,7.900000,0.000000,0.000000,0.732981
0.020000,10.977551,18.720635,6.478000,7.900000,0.000000,0.000000,0.771526
0.020000,11.088750,18.832867,6.636000,7.900000,0.000000,0.000000,0.808192
0.020000,11.195879,18.948991,6.794000,7.900000,0.000000,0.000000,0.842793
0.020000,11.299057,19.068640,6.952000,7.900000,0.000000,0.000000,0.875189
0.020000,11.398448,19.191456,7.110000,7.900000,0.000000,0.000000,0.905290
0.020000,11.494244,19.317096,7.268000,7.900000,0.000000,0.000000,0.933045
0.020000,11.586668,19.445238,7.426000,7.900000,0.000000,0.000000,0.958439
0.020000,11.675964,19.575581,7.584000,7.900000,0.000000,0.000000,0.981481
0.020000,11.762387,19.707847,7.742000,7.900000,0.000000,0.000000,1.002198
0.020000,11.846205,19.841779,7.900000,7.900000,0.000000,0.000000,1.020633
0.020000,11.927692,19.977143,8.058000,7.900000,0.000000,0.000000,1.036835
0.020000,12.007120,20.113714,8.215991,7.899102,-0.044909,-2.245447,1.050855
0.020000,12.084450,20.250722,8.373317,7.833450,-3.282614,-161.885246,1.062699
0.020000,12.159362,20.386844,8.528690,7.703941,-6.475410,-159.639798,1.072369
0.020000,12.231869,20.521326,8.681474,7.574433,-6.475410,-0.000000,1.079954
0.020000,12.302272,20.653996,8.831668,7.444925,-6.475410,0.000000,1.085581
0.020000,12.370848,20.784703,8.979271,7.315417,-6.475410,0.000000,1.089369
0.020000,12.437846,20.913311,9.124284,7.185909,-6.475410,0.000000,1.091424
0.020000,12.503491,21.039703,9.266708,7.056400,-6.475410,0.000000,1.091843
0.020000,12.567988,21.163774,9.406540,6.926892,-6.475410,0.000000,1.090713
0.020000,12.631517,21.285427,9.543783,6.797384,-6.475410,-0.000000,1.088116
0.020000,12.694240,21.404579,9.678436,6.667876,-6.475410,0.000000,1.084126
0.020000,12.756300,21.521151,9.810498,6.538368,-6.475410,0.000000,1.078811
0.020000,12.817822,21.635073,9.939971,6.408859,-6.475410,0.000000,1.072237
0.020000,12.878912,21.746279,10.066853,6.279351,-6.475410,0.000000,1.064465
0.020000,12.939662,21.854713,10.191145,6.149843,-6.475410,0.000000,1.055554
0.020000,13.000147,21.960320,10.312846,6.020335,-6.475410,-0.000000,1.045563
0.020000,13.060427,22.063051,10.431958,5.890827,-6.475410,0.000000,1.034549
0.020000,13.120548,22.162864,10.548479,5.761318,-6.475410,0.000000,1.022571
0.020000,13.180541,22.259719,10.662411,5.631810,-6.475410,0.000000,1.009689
0.020000,13.240424,22.353584,10.773752,5.502302,-6.475410,0.000000,0.995961
0.020000,13.300204,22.444430,10.882503,5.372794,-6.475410,0.000000,0.981452
0.020000,13.359871,22.532235,10.988664,5.243286,-6.475410,-0.000000,0.966227
0.020000,13.419408,22.616981,11.092234,5.113777,-6.475410,0.000000,0.950353
0.020000,13.478785,22.698659,11.193215,4.984269,-6.475410,0.000000,0.933899
0.020000,13.537960,22.777264,11.291605,4.854761,-6.475410,0.000000,0.916940
0.020000,13.596883,22.852799,11.387405,4.725253,-6.475410,0.000000,0.899548
0.020000,13.655496,22.925272,11.480615,4.595745,-6.475410,0.000000,0.881801
0.020000,13.713732,22.994701,11.571235,4.466236,-6.475410,-0.000000,0.863775
0.020000,13.771516,23.061108,11.659265,4.336728,-6.475410,0.000000,0.845550
0.020000,13.828770,23.124525,11.744704,4.207220,-6.475410,0.000000,0.827203
0.020000,13.885408,23.184989,11.827553,4.077712,-6.475410,0.000000,0.808812
0.020000,13.941343,23.242545,11.907812,3.948204,-6.475410,0.000000,0.790452
0.020000,13.996484,23.297242,11.985481,3.818695,-6.475410,-0.000000,0.772197
0.020000,14.050737,23.349138,12.060560,3.689187,-6.475410,0.000000,0.754117
0.020000,14.104011,23.398295,12.133049,3.559679,-6.475410,0.000000,0.736280
0.020000,14.156211,23.444779,12.202947,3.430171,-6.475410,-0.000000,0.718749
0.020000,14.207246,23.488662,12.270256,3.300663,-6.475410,0.000000,0.701581
0.020000,14.257026,23.530018,12.334974,3.171154,-6.475410,0.000000,0.684832
0.020000,14.305463,23.568924,12.397102,3.041646,-6.475410,-0.000000,0.668549
0.020000,14.352472,23.605459,12.456640,2.912138,-6.475410,0.000000,0.652776
0.020000,14.397973,23.639703,12.513588,2.782630,-6.475410,0.000000,0.637551
0.020000,14.441887,23.671738,12.567945,2.653122,-6.475410,-0.000000,0.622910
0.020000,14.484142,23.701643,12.619712,2.523613,-6.475410,0.000000,0.608880
0.020000,14.524669,23.729499,12.668890,2.394105,-6.475410,0.000000,0.595486
0.020000,14.563402,23.755384,12.715477,2.264597,-6.475410,-0.000000,0.582749
0.020000,14.600282,23.779374,12.759473,2.135089,-6.475410,0.000000,0.570686
0.020000,14.635254,23.801544,12.800880,2.005581,-6.475410,0.000000,0.559309
0.020000,14.668265,23.821964,12.839697,1.876072,-6.475410,-0.000000,0.548630
0.020000,14.699269,23.840703,12.875923,1.746564,-6.475410,0.000000,0.538656
0.020000,14.728221,23.857823,12.909559,1.617056,-6.475410,-0.000000,0.529393
0.020000,14.755084,23.873387,12.940605,1.487548,-6.475410,0.000000,0.520845
0.020000,14.779822,23.887450,12.969061,1.358040,-6.475410,0.000000,0.513013
0.020000,14.802403,23.900065,12.994927,1.228532,-6.475410,-0.000000,0.505899
0.020000,14.822798,23.911279,13.018202,1.099023,-6.475410,0.000000,0.499502
0.020000,14.840985,23.921135,13.038888,0.969515,-6.475410,-0.000000,0.493823
0.020000,14.856939,23.929673,13.056983,0.840007,-6.475410,0.000000,0.488859
0.020000,14.870643,23.936925,13.072488,0.710499,-6.475410,0.000000,0.484610
0.020000,14.882083,23.942922,13.085403,0.580991,-6.475410,-0.000000,0.481073
0.020000,14.891242,23.947686,13.095728,0.451482,-6.475410,0.000000,0.478248
0.020000,14.898113,23.951239,13.103462,0.321974,-6.475410,-0.000000,0.476133
0.020000,14.902686,23.953593,13.108607,0.192466,-6.475410,0.000000,0.474727
0.020000,14.904967,23.954764,13.111170,0.063856,-6.430501,2.245447,0.474026
0.020000,14.905535,23.955056,13.111808,0.000000,-3.192796,161.885246,0.473851
0.020000,14.905535,23.955056,13.111808,0.000000,0.000000,159.639798,0.473851
