dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.747666,18.081931,0.000648,0.064754,3.237705,161.885246,6.281701
0.020000,4.747199,18.081932,0.001114,0.023323,-2.071540,-265.462221,6.282108
0.020000,4.746266,18.081932,0.002047,0.046643,1.166003,161.877115,6.282923
0.020000,4.750971,18.081935,0.006751,0.235227,9.429196,413.159646,0.000960
0.020000,4.759465,18.081950,0.015245,0.424699,9.473564,2.218391,0.002590
0.020000,4.770080,18.081988,0.025861,0.530784,5.304293,-208.463551,0.004629
0.020000,4.782818,18.082063,0.038599,0.636898,5.305669,0.068835,0.007078
0.020000,4.797675,18.082189,0.053457,0.742884,5.299290,-0.318943,0.009937
0.020000,4.814651,18.082386,0.070434,0.848862,5.298903,-0.019372,0.013207
0.020000,4.833745,18.082673,0.089529,0.954772,5.295529,-0.168694,0.016889
0.020000,4.854953,18.083075,0.110742,1.060628,5.292801,-0.136410,0.020984
0.020000,4.878276,18.083617,0.134071,1.166432,5.290203,-0.129903,0.025493
0.020000,4.903710,18.084328,0.159515,1.272224,5.289563,-0.031966,0.030417
0.020000,4.931254,18.085239,0.187074,1.377955,5.286554,-0.150476,0.035756
0.020000,4.960905,18.086385,0.216747,1.483652,5.284874,-0.084011,0.041510
0.020000,4.992661,18.087803,0.248534,1.589360,5.285379,0.025244,0.047681
0.020000,5.026519,18.089530,0.282436,1.695098,5.286939,0.078039,0.054266
0.020000,5.062475,18.091609,0.318453,1.800841,5.287119,0.008962,0.061267
0.020000,5.100529,18.094085,0.356587,1.906708,5.293334,0.310757,0.068681
0.020000,5.140676,18.097005,0.396840,2.012644,5.296805,0.173550,0.076506
0.020000,5.182913,18.100418,0.439215,2.118730,5.304294,0.374474,0.084741
0.020000,5.227238,18.104376,0.483716,2.225072,5.317142,0.642408,0.093380
0.020000,5.273647,18.108934,0.530349,2.331613,5.327034,0.494563,0.102420
0.020000,5.322137,18.114149,0.579118,2.438496,5.344134,0.854998,0.111856
0.020000,5.372705,18.120081,0.630033,2.545740,5.362231,0.904881,0.121680
0.020000,5.425349,18.126791,0.683103,2.653507,5.388319,1.304391,0.131884
0.020000,5.480066,18.134344,0.738339,2.761760,5.412687,1.218379,0.142460
0.020000,5.536852,18.142807,0.795752,2.870651,5.444551,1.593194,0.153395
0.020000,5.595706,18.152247,0.855358,2.980307,5.482769,1.910907,0.164677
0.020000,5.656624,18.162735,0.917173,3.090746,5.521978,1.960489,0.176292
0.020000,5.719606,18.174343,0.981215,3.202124,5.568876,2.344864,0.188224
0.020000,5.784649,18.187146,1.047506,3.314549,5.621260,2.619195,0.200455
0.020000,5.851751,18.201218,1.116068,3.428113,5.678190,2.846511,0.212963
0.020000,5.920913,18.216638,1.186928,3.542963,5.742498,3.215404,0.225728
