dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.745966,16.936932,0.000648,0.064754,3.237705,161.885246,6.281701
0.020000,4.745966,16.936932,0.003238,0.194262,6.475410,161.885246,6.282108
0.020000,4.745966,16.936932,0.008418,0.323770,6.475410,-0.000000,6.282923
0.020000,4.752070,16.936935,0.016189,0.453279,6.475410,0.000000,0.000960
0.020000,4.762431,16.936954,0.026549,0.582787,6.475410,-0.000000,0.002590
0.020000,4.775381,16.937000,0.039500,0.712295,6.475410,0.000000,0.004629
0.020000,4.790922,16.937091,0.055041,0.841803,6.475410,-0.000000,0.007078
0.020000,4.809052,16.937246,0.073172,0.971311,6.475410,0.000000,0.009937
0.020000,4.829772,16.937485,0.093893,1.100820,6.475410,-0.000000,0.013207
0.020000,4.853081,16.937836,0.117205,1.230328,6.475410,0.000000,0.016889
0.020000,4.878978,16.938327,0.143107,1.359836,6.475410,-0.000000,0.020984
0.020000,4.907462,16.938989,0.171598,1.489344,6.475410,0.000000,0.025493
0.020000,4.938532,16.939857,0.202680,1.618852,6.475410,0.000000,0.030417
0.020000,4.972186,16.940971,0.236352,1.748361,6.475410,-0.000000,0.035756
0.020000,5.008421,16.942372,0.272615,1.877869,6.475410,0.000000,0.041510
0.020000,5.047234,16.944104,0.311467,2.007377,6.475410,0.000000,0.047681
0.020000,5.088623,16.946215,0.352910,2.136885,6.475410,0.000000,0.054266
0.020000,5.132582,16.948758,0.396943,2.266393,6.475410,-0.000000,0.061267
0.020000,5.179107,16.951785,0.443566,2.395902,6.475410,0.000000,0.068681
0.020000,5.228190,16.955354,0.492779,2.525410,6.475410,0.000000,0.076506
0.020000,5.279825,16.959526,0.544582,2.654918,6.475410,-0.000000,0.084741
0.020000,5.334003,16.964364,0.598975,2.784426,6.475410,0.000000,0.093380
0.020000,5.390713,16.969934,0.655959,2.913934,6.475410,0.000000,0.102420
0.020000,5.449945,16.976304,0.715533,3.043443,6.475410,-0.000000,0.111856
0.020000,5.511685,16.983547,0.777697,3.172951,6.475410,0.000000,0.121680
0.020000,5.575920,16.991735,0.842451,3.302459,6.475410,0.000000,0.131884
0.020000,5.642631,17.000944,0.909795,3.431967,6.475410,-0.000000,0.142460
0.020000,5.711801,17.011251,0.979730,3.561475,6.475410,0.000000,0.153395
0.020000,5.783410,17.022737,1.052254,3.690984,6.475410,0.000000,0.164677
0.020000,5.857435,17.035481,1.127369,3.820492,6.475410,-0.000000,0.176292
0.020000,5.933852,17.049566,1.205074,3.950000,6.475410,0.000000,0.188224
0.020000,6.012635,17.065073,1.285369,4.079508,6.475410,0.000000,0.200455
0.020000,6.093755,17.082085,1.368254,4.209016,6.475410,0.000000,0.212963
0.020000,6.177182,17.100685,1.453730,4.338525,6.475410,0.000000,0.225728
0.020000,6.262883,17.120954,1.541795,4.468033,6.475410,-0.000000,0.238725
0.020000,6.350823,17.142973,1.632451,4.597541,6.475410,0.000000,0.251928
0.020000,6.440967,17.166821,1.725697,4.727049,6.475410,0.000000,0.265309
0.020000,6.533276,17.192577,1.821533,4.856557,6.475410,0.000000,0.278838
0.020000,6.627712,17.220314,1.919959,4.986066,6.475410,0.000000,0.292483
0.020000,6.724235,17.250106,2.020975,5.115574,6.475410,0.000000,0.306211
0.020000,6.822803,17.282020,2.124582,5.245082,6.475410,-0.000000,0.319987
0.020000,6.923375,17.316121,2.230779,5.374590,6.475410,0.000000,0.333774
0.020000,7.025908,17.352470,2.339566,5.504098,6.475410,0.000000,0.347535
0.020000,7.130362,17.391122,2.450943,5.633607,6.475410,0.000000,0.361231
0.020000,7.236696,17.432128,2.564910,5.763115,6.475410,0.000000,0.374822
0.020000,7.344869,17.475533,2.681467,5.892623,6.475410,0.000000,0.388269
0.020000,7.454844,17.521375,2.800615,6.022131,6.475410,-0.000000,0.401531
0.020000,7.566584,17.569687,2.922352,6.151639,6.475410,0.000000,0.414566
0.020000,7.680055,17.620496,3.046680,6.281148,6.475410,0.000000,0.427335
0.020000,7.795226,17.673821,3.173598,6.410656,6.475410,0.000000,0.439797
0.020000,7.912070,17.729674,3.303107,6.540164,6.475410,0.000000,0.451912
0.020000,8.030564,17.788061,3.435205,6.669672,6.475410,0.000000,0.463639
0.020000,8.150687,17.848981,3.569893,6.799180,6.475410,-0.000000,0.474939
0.020000,8.272426,17.912423,3.707172,6.928689,6.475410,0.000000,0.485773
0.020000,8.395770,17.978372,3.847041,7.058197,6.475410,0.000000,0.496104
0.020000,8.520717,18.046803,3.989500,7.187705,6.475410,0.000000,0.505893
0.020000,8.647267,18.117684,4.134549,7.317213,6.475410,0.000000,0.515104
0.020000,8.775430,18.190974,4.282189,7.446721,6.475410,0.000000,0.523698
0.020000,8.905221,18.266626,4.432418,7.576230,6.475410,-0.000000,0.531641
0.020000,9.036660,18.344584,4.585238,7.705738,6.475410,0.000000,0.538896
0.020000,9.169778,18.424783,4.740648,7.835246,6.475410,0.000000,0.545425
0.020000,9.304058,18.506811,4.898000,7.900000,3.237705,-161.885246,0.551172
0.020000,9.438451,18.589892,5.056000,7.900000,0.000000,-161.885246,0.556073
0.020000,9.572471,18.673573,5.214000,7.900000,0.000000,0.000000,0.560108
0.020000,9.706189,18.757737,5.372000,7.900000,0.000000,0.000000,0.563281
0.020000,9.839675,18.842267,5.530000,7.900000,0.000000,0.000000,0.565597
0.020000,9.973002,18.927050,5.688000,7.900000,0.000000,0.000000,0.567058
0.020000,10.106240,19.011970,5.846000,7.900000,0.000000,0.000000,0.567667
0.020000,10.239464,19.096914,6.004000,7.900000,0.000000,0.000000,0.567423
0.020000,10.372744,19.181770,6.162000,7.900000,0.000000,0.000000,0.566328
0.020000,10.506153,19.266422,6.320000,7.900000,0.000000,0.000000,0.564378
0.020000,10.639763,19.350757,6.478000,7.900000,0.000000,0.000000,0.561573
0.020000,10.773645,19.434659,6.636000,7.900000,0.000000,0.000000,0.557907
0.020000,10.907869,19.518012,6.794000,7.900000,0.000000,0.000000,0.553378
0.020000,11.042506,19.600698,6.952000,7.900000,0.000000,0.000000,0.547980
0.020000,11.177623,19.682596,7.110000,7.900000,0.000000,0.000000,0.541708
0.020000,11.313286,19.763586,7.268000,7.900000,0.000000,0.000000,0.534554
0.020000,11.449561,19.843543,7.426000,7.900000,0.000000,0.000000,0.526513
0.020000,11.586509,19.922341,7.584000,7.900000,0.000000,0.000000,0.517578
0.020000,11.724190,19.999849,7.742000,7.900000,0.000000,0.000000,0.507744
0.020000,11.862662,20.075938,7.900000,7.900000,0.000000,0.000000,0.497004
0.020000,12.001976,20.150471,8.058000,7.900000,0.000000,0.000000,0.485355
0.020000,12.142182,20.223313,8.216000,7.900000,0.000000,0.000000,0.472794
0.020000,12.283325,20.294323,8.374000,7.900000,0.000000,0.000000,0.459319
0.020000,12.425442,20.363360,8.532000,7.900000,0.000000,0.000000,0.444933
0.020000,12.568569,20.430280,8.690000,7.900000,0.000000,0.000000,0.429639
0.020000,12.712731,20.494939,8.848000,7.900000,0.000000,0.000000,0.413447
0.020000,12.857948,20.557190,9.006000,7.900000,0.000000,0.000000,0.396368
