dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.735702,16.192968,0.000648,0.064754,3.237705,161.885246,0.000081
0.020000,0.735659,16.192968,0.000690,0.002140,-3.130709,-318.420713,0.000043
0.020000,0.737750,16.192968,0.002781,0.104545,5.120241,412.547525,6.283154
0.020000,0.745394,16.192967,0.010425,0.382182,13.881884,438.082138,6.283043
0.020000,0.755587,16.192965,0.020618,0.509667,6.374236,-375.382402,6.282897
0.020000,0.768332,16.192960,0.033363,0.637229,6.378108,0.193605,6.282717
0.020000,0.783630,16.192951,0.048661,0.764889,6.382964,0.242778,6.282505
0.020000,0.801483,16.192937,0.066514,0.892664,6.388770,0.290316,6.282262
0.020000,0.821894,16.192916,0.086925,1.020575,6.395567,0.339878,6.281991
0.020000,0.844867,16.192885,0.109898,1.148641,6.403297,0.386501,6.281696
0.020000,0.870405,16.192843,0.135436,1.276882,6.412036,0.436928,6.281378
0.020000,0.898511,16.192787,0.163542,1.405316,6.421698,0.483118,6.281041
0.020000,0.929190,16.192716,0.194221,1.533963,6.432364,0.533267,6.280689
0.020000,0.962447,16.192627,0.227478,1.662843,6.443973,0.580446,6.280327
0.020000,0.998286,16.192518,0.263318,1.791973,6.456535,0.628125,6.279957
0.020000,1.036713,16.192386,0.301745,1.921375,6.470088,0.677629,6.279586
0.020000,1.077735,16.192231,0.342767,2.051067,6.484571,0.724187,6.279218
0.020000,1.121355,16.192050,0.386388,2.181067,6.500046,0.773708,6.278859
0.020000,1.167583,16.191842,0.432616,2.311397,6.516468,0.821095,6.278514
0.020000,1.216424,16.191606,0.481457,2.442074,6.533841,0.868685,6.278189
0.020000,1.267886,16.191341,0.532920,2.573117,6.552190,0.917446,6.277892
0.020000,1.321976,16.191047,0.587011,2.704548,6.571503,0.965653,6.277627
0.020000,1.378702,16.190725,0.643738,2.836383,6.591767,1.013210,6.277404
0.020000,1.438074,16.190376,0.703111,2.968643,6.613003,1.061791,6.277228
0.020000,1.500100,16.190003,0.765138,3.101347,6.635209,1.110266,6.277109
0.020000,1.564789,16.189608,0.829828,3.234515,6.658378,1.158456,6.277053
0.020000,1.632151,16.189195,0.897192,3.368165,6.682520,1.207126,6.277070
0.020000,1.702196,16.188769,0.967238,3.502318,6.707639,1.255965,6.277167
0.020000,1.774935,16.188338,1.039978,3.636993,6.733743,1.305157,6.277355
0.020000,1.850378,16.187908,1.115422,3.772209,6.760825,1.354139,6.277643
0.020000,1.928536,16.187490,1.193582,3.907987,6.788900,1.403730,6.278040
0.020000,2.009422,16.187094,1.274469,4.044347,6.817988,1.454406,6.278557
0.020000,2.093048,16.186733,1.358095,4.181308,6.848062,1.503693,6.279204
0.020000,2.179425,16.186422,1.444473,4.318891,6.879162,1.554982,6.279993
0.020000,2.268567,16.186179,1.533615,4.457117,6.911276,1.605704,6.280933
0.020000,2.360487,16.186021,1.625535,4.596006,6.944439,1.658174,6.282037
0.020000,2.455199,16.185972,1.720247,4.735578,6.978610,1.708523,0.000132
0.020000,2.552716,16.186055,1.817764,4.875855,7.013851,1.762053,0.001600
