dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.069690,16.059289,0.000648,0.064754,3.237705,161.885246,6.283084
0.020000,1.069744,16.059289,0.000701,0.002693,-3.103034,-317.036947,6.283131
0.020000,1.072048,16.059289,0.003006,0.115205,5.625573,436.430347,0.000040
0.020000,1.079981,16.059290,0.010938,0.396642,14.071836,422.313158,0.000182
0.020000,1.090559,16.059293,0.021516,0.528898,6.612835,-372.950079,0.000372
0.020000,1.103783,16.059300,0.034740,0.661192,6.614688,0.092682,0.000610
0.020000,1.119653,16.059312,0.050611,0.793531,6.616970,0.114088,0.000898
0.020000,1.138172,16.059331,0.069129,0.925927,6.619761,0.139544,0.001236
0.020000,1.159340,16.059362,0.090297,1.058386,6.622957,0.159790,0.001626
0.020000,1.183158,16.059406,0.114115,1.190919,6.626675,0.185912,0.002069
0.020000,1.209629,16.059467,0.140586,1.323535,6.630794,0.205946,0.002566
0.020000,1.238753,16.059550,0.169711,1.456244,6.635466,0.233637,0.003119
0.020000,1.270534,16.059659,0.201492,1.589054,6.640487,0.251044,0.003729
0.020000,1.304973,16.059799,0.235932,1.721975,6.646036,0.277446,0.004400
0.020000,1.342073,16.059975,0.273032,1.855017,6.652118,0.304075,0.005131
0.020000,1.381837,16.060195,0.312796,1.988188,6.658544,0.321315,0.005927
0.020000,1.424266,16.060465,0.355226,2.121499,6.665545,0.350052,0.006790
0.020000,1.469364,16.060792,0.400325,2.254958,6.672938,0.369638,0.007721
0.020000,1.517134,16.061185,0.448096,2.388575,6.680874,0.396802,0.008724
0.020000,1.567579,16.061652,0.498544,2.522360,6.689231,0.417859,0.009802
0.020000,1.620702,16.062203,0.551670,2.656322,6.698113,0.444094,0.010958
0.020000,1.676508,16.062849,0.607479,2.790471,6.707433,0.465977,0.012194
0.020000,1.734999,16.063601,0.665976,2.924816,6.717269,0.491820,0.013515
0.020000,1.796180,16.064471,0.727163,3.059367,6.727546,0.513847,0.014925
0.020000,1.860055,16.065472,0.791046,3.194135,6.738378,0.541606,0.016426
0.020000,1.926628,16.066619,0.857628,3.329128,6.749654,0.563817,0.018023
0.020000,1.995903,16.067926,0.926915,3.464355,6.761384,0.586460,0.019719
0.020000,2.067884,16.069410,0.998912,3.599829,6.773664,0.614039,0.021520
0.020000,2.142576,16.071089,1.073623,3.735557,6.786410,0.637276,0.023430
0.020000,2.219984,16.072981,1.151054,3.871550,6.799662,0.662596,0.025453
0.020000,2.300112,16.075106,1.231211,4.007818,6.813371,0.685474,0.027594
0.020000,2.382966,16.077487,1.314098,4.144371,6.827652,0.714042,0.029858
0.020000,2.468549,16.080145,1.399722,4.281218,6.842355,0.735173,0.032250
0.020000,2.556866,16.083105,1.488090,4.418369,6.857548,0.759649,0.034776
0.020000,2.647924,16.086394,1.579206,4.555835,6.873321,0.788640,0.037441
0.020000,2.741726,16.090040,1.673079,4.693625,6.889467,0.807289,0.040250
0.020000,2.838276,16.094070,1.769714,4.831748,6.906173,0.835306,0.043210
0.020000,2.937581,16.098518,1.869118,4.970215,6.923354,0.859054,0.046327
0.020000,3.039644,16.103417,1.971299,5.109034,6.940962,0.880395,0.049606
0.020000,3.144470,16.108802,2.076263,5.248216,6.959096,0.906684,0.053054
0.020000,3.252064,16.114710,2.184018,5.387769,6.977628,0.926606,0.056677
0.020000,3.362428,16.121182,2.294573,5.527702,6.996650,0.951114,0.060483
0.020000,3.475567,16.128259,2.407933,5.668023,7.016042,0.969570,0.064477
0.020000,3.591485,16.135987,2.524108,5.808741,7.035911,0.993483,0.068667
0.020000,3.710184,16.144411,2.643105,5.949863,7.056117,1.010287,0.073061
0.020000,3.831666,16.153583,2.764933,6.091396,7.076653,1.026808,0.077664
0.020000,3.955933,16.163553,2.889600,6.233348,7.097574,1.046049,0.082484
0.020000,4.082988,16.174379,3.017114,6.375722,7.118734,1.058018,0.087530
0.020000,4.212829,16.186117,3.147485,6.518526,7.140181,1.072348,0.092807
0.020000,4.345456,16.198829,3.280720,6.661762,7.161795,1.080656,0.098325
0.020000,4.480868,16.212579,3.416829,6.805433,7.183564,1.088464,0.104089
0.020000,4.619063,16.227435,3.555820,6.949541,7.205410,1.092327,0.110109
0.020000,4.760036,16.243467,3.697701,7.094087,7.227265,1.092716,0.116392
0.020000,4.903782,16.260750,3.842483,7.239068,7.249053,1.089407,0.122944
0.020000,5.050294,16.279360,3.990172,7.384481,7.270654,1.080034,0.129775
0.020000,5.199564,16.299380,4.140779,7.530322,7.292035,1.069059,0.136891
0.020000,5.351581,16.320892,4.294310,7.676582,7.313025,1.049512,0.144299
0.020000,5.506333,16.343987,4.450775,7.823252,7.333489,1.023184,0.152008
0.020000,5.663803,16.368753,4.610182,7.970319,7.353340,0.992586,0.160023
0.020000,5.823976,16.395288,4.772537,8.117768,7.372446,0.955281,0.168351
0.020000,5.986829,16.423690,4.937849,8.265579,7.390571,0.906255,0.177000
0.020000,6.151662,16.453932,5.105433,8.379226,5.682371,-85.409993,0.185937
0.020000,6.317094,16.485833,5.273913,8.423973,2.237318,-172.252653,0.195089
0.020000,6.482421,16.519302,5.442594,8.434045,0.503589,-86.686467,0.204418
0.020000,6.647618,16.554367,5.611471,8.443885,0.492028,-0.578061,0.213919
0.020000,6.812659,16.591055,5.780541,8.453480,0.479754,-0.613688,0.223587
0.020000,6.977516,16.629393,5.949797,8.462803,0.466157,-0.679865,0.233419
0.020000,7.142161,16.669405,6.119234,8.471847,0.452210,-0.697346,0.243408
0.020000,7.306564,16.711116,6.288846,8.480590,0.437103,-0.755351,0.253550
0.020000,7.470695,16.754547,6.458626,8.489006,0.420846,-0.812843,0.263839
0.020000,7.633650,16.799790,6.627745,8.455954,-1.652627,-103.673661,0.279384
0.020000,7.805397,16.850793,6.806905,8.957990,25.101830,1337.722882,0.297866
0.020000,7.975466,16.904676,6.985305,8.920035,-1.897792,-1349.981117,0.315686
0.020000,8.143810,16.961268,7.162907,8.880081,-1.997687,-4.994753,0.332807
0.020000,8.310396,17.020394,7.339675,8.838381,-2.085004,-4.365853,0.349200
0.020000,8.475204,17.081879,7.515578,8.795187,-2.159685,-3.734014,0.364838
0.020000,8.638227,17.145546,7.690593,8.750735,-2.222611,-3.146319,0.379699
0.020000,8.799470,17.211222,7.864698,8.705244,-2.274568,-2.597835,0.393766
0.020000,8.958947,17.278734,8.037876,8.658914,-2.316471,-2.095144,0.407023
0.020000,9.116683,17.347911,8.210115,8.611928,-2.349322,-1.642579,0.419459
0.020000,9.272711,17.418588,8.381404,8.564444,-2.374172,-1.242476,0.431066
0.020000,9.427071,17.490602,8.551736,8.516603,-2.392081,-0.895465,0.441837
0.020000,9.579810,17.563794,8.721106,8.468521,-2.404096,-0.600756,0.451768
0.020000,9.730980,17.638011,8.889512,8.420296,-2.411225,-0.356435,0.460857
0.020000,9.880638,17.713102,9.056952,8.372008,-2.414419,-0.159724,0.469102
0.020000,10.028844,17.788921,9.223427,8.323717,-2.414564,-0.007216,0.476504
0.020000,10.175662,17.865328,9.388936,8.275467,-2.412465,0.104927,0.483062
0.020000,10.321156,17.942184,9.553482,8.227290,-2.408849,0.180806,0.488779
0.020000,10.465392,18.019357,9.717066,8.179203,-2.404356,0.224662,0.493656
0.020000,10.608439,18.096715,9.879690,8.131212,-2.399540,0.240781,0.497695
0.020000,10.750364,18.174132,10.041356,8.083315,-2.394872,0.233423,0.500897
0.020000,10.891234,18.251483,10.202066,8.035500,-2.390736,0.206788,0.503264
0.020000,11.031117,18.328648,10.361821,7.987752,-2.387436,0.164994,0.504797
0.020000,11.170079,18.405507,10.520622,7.940048,-2.385194,0.112073,0.505496
0.020000,11.308185,18.481943,10.678470,7.892365,-2.384155,0.051984,0.505363
0.020000,11.445498,18.557843,10.835363,7.844677,-2.384382,-0.011365,0.504397
0.020000,11.582080,18.633092,10.991302,7.796960,-2.385864,-0.074094,0.502597
0.020000,11.717990,18.707578,11.146286,7.749189,-2.388510,-0.132317,0.499963
0.020000,11.853287,18.781193,11.300313,7.701346,-2.392153,-0.182114,0.496493
0.020000,11.988025,18.853826,11.453381,7.653416,-2.396543,-0.219504,0.492186
0.020000,12.122257,18.925369,11.605489,7.605388,-2.401351,-0.240430,0.487040
0.020000,12.256034,18.995717,11.756634,7.557265,-2.406166,-0.240746,0.481053
0.020000,12.389402,19.064763,11.906816,7.509055,-2.410491,-0.216227,0.474225
0.020000,12.522407,19.132402,12.056031,7.460780,-2.413743,-0.162592,0.466553
0.020000,12.655090,19.198532,12.204281,7.412475,-2.415254,-0.075555,0.458038
0.020000,12.787490,19.263050,12.351564,7.364190,-2.414272,0.049100,0.448679
0.020000,12.919645,19.325857,12.497884,7.315991,-2.409963,0.215411,0.438479
0.020000,13.051587,19.386854,12.643244,7.267962,-2.401421,0.427100,0.427439
0.020000,13.183347,19.445944,12.787648,7.220209,-2.387674,0.687398,0.415566
0.020000,13.314955,19.503034,12.931105,7.172855,-2.367697,0.998834,0.402866
0.020000,13.446437,19.558033,13.073626,7.126046,-2.340437,1.363004,0.389348
0.020000,13.577816,19.610852,13.215225,7.079950,-2.304831,1.780308,0.375025
0.020000,13.718616,19.666051,13.366459,7.561705,24.087771,1319.630071,0.373014
0.020000,13.864352,19.722972,13.522916,7.822874,13.058443,-551.466387,0.371667
0.020000,14.009989,19.779614,13.679181,7.813210,-0.483203,-677.082320,0.370151
0.020000,14.155537,19.835953,13.835251,7.803541,-0.483424,-0.011014,0.368466
0.020000,14.301003,19.891965,13.991129,7.793868,-0.483660,-0.011816,0.366612
0.020000,14.446397,19.947625,14.146813,7.784190,-0.483886,-0.011300,0.364589
0.020000,14.591726,20.002911,14.302303,7.774508,-0.484104,-0.010903,0.362397
0.020000,14.737000,20.057797,14.457599,7.764822,-0.484310,-0.010283,0.360036
0.020000,14.882227,20.112259,14.612702,7.755133,-0.484478,-0.008403,0.357506
0.020000,15.027413,20.166274,14.767611,7.745440,-0.484625,-0.007371,0.354806
0.020000,15.172568,20.219817,14.922325,7.735746,-0.484715,-0.004517,0.351937
0.020000,15.317698,20.272865,15.076846,7.726051,-0.484756,-0.002015,0.348899
0.020000,15.462810,20.325393,15.231174,7.716356,-0.484728,0.001398,0.345691
0.020000,15.607912,20.377378,15.385307,7.706664,-0.484618,0.005507,0.342314
0.020000,15.753011,20.428795,15.539246,7.696975,-0.484420,0.009864,0.338768
0.020000,15.898113,20.479621,15.692992,7.687293,-0.484114,0.015335,0.335053
0.020000,16.043223,20.529833,15.846545,7.677619,-0.483690,0.021168,0.331168
0.020000,16.188350,20.579405,15.999904,7.667957,-0.483133,0.027881,0.327115
0.020000,16.333497,20.628315,16.153070,7.658308,-0.482427,0.035287,0.322894
0.020000,16.478670,20.676539,16.306043,7.648677,-0.481554,0.043665,0.318504
0.020000,16.623875,20.724053,16.458825,7.639067,-0.480510,0.052182,0.313946
0.020000,16.769117,20.770834,16.611414,7.629482,-0.479253,0.062855,0.309221
0.020000,16.914400,20.816858,16.763813,7.619926,-0.477802,0.072544,0.304329
0.020000,17.059728,20.862103,16.916021,7.610404,-0.476103,0.084952,0.299271
0.020000,17.205105,20.906544,17.068039,7.600920,-0.474160,0.097126,0.294047
0.020000,17.350536,20.950159,17.219869,7.591481,-0.471968,0.109641,0.288658
0.020000,17.496022,20.992924,17.371511,7.582092,-0.469455,0.125607,0.283105
0.020000,17.641568,21.034818,17.522966,7.572758,-0.466683,0.138645,0.277389
0.020000,17.783306,21.074687,17.670205,7.361953,-10.540289,-503.680301,0.270697
0.020000,17.928130,21.114335,17.820358,7.507631,7.283909,891.209863,0.263844
0.020000,18.073867,21.153208,17.971190,7.541595,1.698213,-279.284800,0.257584
0.020000,18.220492,21.191382,18.122703,7.575646,1.702577,0.218193,0.251918
0.020000,18.367981,21.228937,18.274898,7.609759,1.705606,0.151468,0.246849
0.020000,18.516310,21.265954,18.427776,7.643910,1.707573,0.098379,0.242376
0.020000,18.665456,21.302513,18.581338,7.678085,1.708725,0.057590,0.238500
0.020000,18.815397,21.338699,18.735583,7.712270,1.709279,0.027710,0.235221
0.020000,18.966109,21.374597,18.890512,7.746459,1.709426,0.007310,0.232539
0.020000,19.117573,21.410292,19.046125,7.780645,1.709324,-0.005059,0.230454
0.020000,19.269760,21.445871,19.202416,7.814526,1.694063,-0.763084,0.228966
0.020000,19.422015,21.481276,19.358733,7.815859,0.066636,-81.371333,0.228078
0.020000,19.573053,21.516303,19.513779,7.752314,-3.177253,-162.194438,0.227782
0.020000,19.722201,21.550890,19.666885,7.655318,-4.849805,-83.627626,0.228053
0.020000,19.869410,21.585112,19.818019,7.556697,-4.931030,-4.061247,0.228864
0.020000,20.014630,21.619035,19.967149,7.456481,-5.010796,-3.988295,0.230187
0.020000,20.157815,21.652719,20.114243,7.354699,-5.089147,-3.917573,0.231994
0.020000,20.298921,21.686218,20.259271,7.251376,-5.166137,-3.849467,0.234259
