dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.774445,24.356091,0.000648,0.064754,3.237705,161.885246,3.667581
0.020000,15.774445,24.356091,0.003238,0.194262,6.475410,161.885246,3.667241
0.020000,15.774445,24.356091,0.008418,0.323770,6.475410,-0.000000,3.666562
0.020000,15.772936,24.355219,0.016189,0.453279,6.475410,0.000000,3.665544
0.020000,15.763961,24.350041,0.026549,0.582787,6.475410,-0.000000,3.664184
0.020000,15.752733,24.343586,0.039500,0.712295,6.475410,0.000000,3.662481
0.020000,15.739245,24.335866,0.055041,0.841803,6.475410,-0.000000,3.660434
0.020000,15.723490,24.326895,0.073172,0.971311,6.475410,0.000000,3.658041
0.020000,15.705456,24.316687,0.093893,1.100820,6.475410,-0.000000,3.655297
0.020000,15.685137,24.305263,0.117205,1.230328,6.475410,0.000000,3.652202
0.020000,15.662518,24.292644,0.143107,1.359836,6.475410,-0.000000,3.648751
0.020000,15.637586,24.278853,0.171598,1.489344,6.475410,0.000000,3.644940
0.020000,15.610327,24.263917,0.202680,1.618852,6.475410,0.000000,3.640767
0.020000,15.580727,24.247865,0.236352,1.748361,6.475410,-0.000000,3.636227
0.020000,15.548770,24.230730,0.272615,1.877869,6.475410,0.000000,3.631315
0.020000,15.514435,24.212545,0.311467,2.007377,6.475410,0.000000,3.626028
0.020000,15.477707,24.193348,0.352910,2.136885,6.475410,0.000000,3.620360
0.020000,15.438564,24.173182,0.396943,2.266393,6.475410,-0.000000,3.614306
0.020000,15.396985,24.152088,0.443566,2.395902,6.475410,0.000000,3.607861
0.020000,15.352951,24.130114,0.492779,2.525410,6.475410,0.000000,3.601021
0.020000,15.306436,24.107311,0.544582,2.654918,6.475410,-0.000000,3.593781
0.020000,15.257419,24.083731,0.598975,2.784426,6.475410,0.000000,3.586134
0.020000,15.205876,24.059433,0.655959,2.913934,6.475410,0.000000,3.578078
0.020000,15.151783,24.034477,0.715533,3.043443,6.475410,-0.000000,3.569606
0.020000,15.095112,24.008926,0.777697,3.172951,6.475410,0.000000,3.560715
0.020000,15.035841,23.982850,0.842451,3.302459,6.475410,0.000000,3.551401
0.020000,14.973943,23.956319,0.909795,3.431967,6.475410,-0.000000,3.541661
0.020000,14.909394,23.929408,0.979730,3.561475,6.475410,0.000000,3.531492
0.020000,14.842168,23.902198,1.052254,3.690984,6.475410,0.000000,3.520893
0.020000,14.772240,23.874770,1.127369,3.820492,6.475410,-0.000000,3.509861
0.020000,14.699587,23.847212,1.205074,3.950000,6.475410,0.000000,3.498398
0.020000,14.624184,23.819614,1.285369,4.079508,6.475410,0.000000,3.486505
0.020000,14.546010,23.792070,1.368254,4.209016,6.475410,0.000000,3.474185
0.020000,14.465043,23.764678,1.453730,4.338525,6.475410,0.000000,3.461442
0.020000,14.381265,23.737539,1.541795,4.468033,6.475410,-0.000000,3.448283
0.020000,14.294656,23.710757,1.632451,4.597541,6.475410,0.000000,3.434715
0.020000,14.205202,23.684438,1.725697,4.727049,6.475410,0.000000,3.420748
0.020000,14.112890,23.658693,1.821533,4.856557,6.475410,0.000000,3.406395
0.020000,14.017708,23.633634,1.919959,4.986066,6.475410,0.000000,3.391671
0.020000,13.919649,23.609374,2.020975,5.115574,6.475410,0.000000,3.376592
0.020000,13.818708,23.586028,2.124582,5.245082,6.475410,-0.000000,3.361179
0.020000,13.714884,23.563712,2.230779,5.374590,6.475410,0.000000,3.345455
0.020000,13.608178,23.542542,2.339566,5.504098,6.475410,0.000000,3.329443
0.020000,13.498596,23.522635,2.450943,5.633607,6.475410,0.000000,3.313173
0.020000,13.386147,23.504105,2.564910,5.763115,6.475410,0.000000,3.296675
0.020000,13.270843,23.487065,2.681467,5.892623,6.475410,0.000000,3.279982
0.020000,13.152702,23.471627,2.800615,6.022131,6.475410,-0.000000,3.263130
0.020000,13.031742,23.457896,2.922352,6.151639,6.475410,0.000000,3.246157
0.020000,12.907988,23.445978,3.046680,6.281148,6.475410,0.000000,3.229102
0.020000,12.781467,23.435970,3.173598,6.410656,6.475410,0.000000,3.212008
0.020000,12.652208,23.427966,3.303107,6.540164,6.475410,0.000000,3.194918
0.020000,12.520244,23.422054,3.435205,6.669672,6.475410,0.000000,3.177877
0.020000,12.385609,23.418314,3.569893,6.799180,6.475410,-0.000000,3.160929
0.020000,12.248340,23.416819,3.707172,6.928689,6.475410,0.000000,3.144122
0.020000,12.108475,23.417633,3.847041,7.058197,6.475410,0.000000,3.127499
0.020000,11.966053,23.420815,3.989500,7.187705,6.475410,0.000000,3.111109
0.020000,11.821114,23.426411,4.134549,7.317213,6.475410,0.000000,3.094995
0.020000,11.673696,23.434460,4.282189,7.446721,6.475410,0.000000,3.079203
0.020000,11.523837,23.444991,4.432418,7.576230,6.475410,-0.000000,3.063776
0.020000,11.371576,23.458023,4.585238,7.705738,6.475410,0.000000,3.048755
0.020000,11.216946,23.473566,4.740648,7.835246,6.475410,0.000000,3.034182
0.020000,11.060625,23.491542,4.898000,7.900000,3.237705,-161.885246,3.020152
0.020000,10.903923,23.511738,5.056000,7.900000,0.000000,-161.885246,3.006799
0.020000,10.747495,23.533968,5.214000,7.900000,0.000000,0.000000,2.994183
0.020000,10.591352,23.558112,5.372000,7.900000,0.000000,0.000000,2.982300
0.020000,10.435497,23.584053,5.530000,7.900000,0.000000,0.000000,2.971146
0.020000,10.279931,23.611674,5.688000,7.900000,0.000000,0.000000,2.960715
0.020000,10.124650,23.640861,5.846000,7.900000,0.000000,0.000000,2.951003
0.020000,9.969650,23.671499,6.004000,7.900000,0.000000,0.000000,2.942001
0.020000,9.814920,23.703477,6.162000,7.900000,0.000000,0.000000,2.933702
0.020000,9.660450,23.736684,6.320000,7.900000,0.000000,0.000000,2.926100
0.020000,9.506224,23.771011,6.478000,7.900000,0.000000,0.000000,2.919186
0.020000,9.352227,23.806351,6.636000,7.900000,0.000000,0.000000,2.912954
