dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.994510,22.674473,0.000648,0.064754,3.237705,161.885246,2.657103
0.020000,22.995404,22.674003,0.001658,0.050503,-0.712531,-197.511771,2.657986
0.020000,22.995447,22.673979,0.001707,0.002485,-2.400939,-84.420438,2.659754
0.020000,22.991265,22.676159,0.006424,0.235840,11.667782,703.436042,2.662422
0.020000,22.985710,22.679033,0.012678,0.312701,3.843057,-391.236241,2.666007
0.020000,22.978800,22.682572,0.020441,0.388150,3.772435,-3.531066,2.670538
0.020000,22.970561,22.686739,0.029675,0.461676,3.676301,-4.806740,2.676048
0.020000,22.961023,22.691492,0.040331,0.532825,3.557456,-5.942249,2.682576
0.020000,22.950224,22.696779,0.052355,0.601169,3.417198,-7.012884,2.690171
0.020000,22.938208,22.702540,0.065680,0.666276,3.255360,-8.091917,2.698893
0.020000,22.925031,22.708708,0.080229,0.727465,3.059446,-9.795683,2.708807
0.020000,22.910755,22.715207,0.095915,0.784302,2.841842,-10.880203,2.719992
0.020000,22.895456,22.721955,0.112636,0.836031,2.586425,-12.770832,2.732534
0.020000,22.879222,22.728859,0.130277,0.882065,2.301717,-14.235428,2.746535
0.020000,22.862155,22.735822,0.148710,0.921651,1.979319,-16.119877,2.762106
0.020000,22.844372,22.742739,0.167791,0.954041,1.619477,-17.992120,2.779374
0.020000,22.826007,22.749501,0.187361,0.978484,1.222133,-19.867210,2.798476
0.020000,22.807214,22.755995,0.207245,0.994220,0.786802,-21.766551,2.819566
0.020000,22.788160,22.762111,0.227256,1.000539,0.315978,-23.541194,2.842807
0.020000,22.769032,22.767741,0.247195,0.996948,-0.179549,-24.776311,2.868374
0.020000,22.750030,22.772784,0.266856,0.983035,-0.695637,-25.804435,2.896445
0.020000,22.731357,22.777158,0.286034,0.958915,-1.206030,-25.519658,2.927200
0.020000,22.713215,22.780797,0.304538,0.925175,-1.686987,-24.047832,2.960806
0.020000,22.695784,22.783662,0.322202,0.883212,-2.098135,-20.557389,2.997408
0.020000,22.679205,22.785741,0.338911,0.835454,-2.387918,-14.489169,3.037105
0.020000,22.663547,22.787053,0.354624,0.785660,-2.489708,-5.089488,3.079934
0.020000,22.648777,22.787632,0.369406,0.739079,-2.329055,8.032674,3.125840
0.020000,22.634728,22.787516,0.383455,0.702467,-1.830583,24.923589,3.174646
0.020000,22.621071,22.786716,0.397135,0.683994,-0.923665,45.345892,3.226037
0.020000,22.607306,22.785179,0.410985,0.692523,0.426468,67.506648,3.279542
0.020000,22.592772,22.782748,0.425722,0.736819,2.214767,89.414965,3.334534
0.020000,22.576688,22.779127,0.442208,0.824298,4.373966,107.959955,3.390261
0.020000,22.558224,22.773872,0.461405,0.959880,6.779121,120.257703,3.445881
0.020000,22.536576,22.766395,0.484308,1.145130,9.262503,124.169129,3.500527
0.020000,22.511047,22.756009,0.511869,1.378044,11.645698,119.159741,3.553367
0.020000,22.481098,22.741986,0.544939,1.653495,13.772531,106.341678,3.603657
0.020000,22.446372,22.723617,0.584223,1.964230,15.536744,88.210628,3.650781
0.020000,22.406688,22.700270,0.630266,2.302122,16.894606,67.893083,3.694266
0.020000,22.362004,22.671425,0.683452,2.659303,17.859061,48.222764,3.733774
0.020000,22.312369,22.636693,0.744032,3.029000,18.484832,31.288567,3.769087
0.020000,22.257877,22.595812,0.812153,3.406071,18.853548,18.435787,3.800076
0.020000,22.198621,22.548637,0.887895,3.787108,19.051846,9.914880,3.826672
0.020000,22.134649,22.495114,0.971304,4.170437,19.166475,5.731467,3.848835
0.020000,22.065941,22.435266,1.062423,4.555936,19.274932,5.422825,3.866527
0.020000,21.992376,22.369168,1.161321,4.944899,19.448154,8.661128,3.879687
0.020000,21.913712,22.296935,1.268118,5.339848,19.747435,14.964049,3.888211
0.020000,21.829562,22.218714,1.383008,5.744504,20.232822,24.269321,3.891929
0.020000,21.739371,22.134676,1.506283,6.163737,20.961625,36.440182,3.890587
0.020000,21.642380,22.045033,1.638355,6.603643,21.995301,51.683803,3.883823
0.020000,21.537588,21.950051,1.779788,7.071622,23.398969,70.183408,3.871146
0.020000,21.423708,21.850090,1.931316,7.576393,25.238577,91.980378,3.851912
0.020000,21.299119,21.745678,2.093872,8.127806,27.570619,116.602120,3.825308
0.020000,21.161815,21.637621,2.268596,8.736209,30.420145,142.476282,3.790334
0.020000,21.009408,21.527184,2.456810,9.410683,33.723687,165.177119,3.745836
0.020000,20.839204,21.416349,2.659920,10.155495,37.240641,175.847664,3.690581
0.020000,20.648485,21.308154,2.879191,10.963552,40.402819,158.108938,3.623460
0.020000,20.435101,21.207011,3.115332,11.807058,42.175321,88.625058,3.543849
0.020000,20.198459,21.118780,3.367887,12.627775,41.035854,-56.973312,3.452142
0.020000,19.940699,21.050224,3.634608,13.336060,35.414229,-281.081251,3.350302
0.020000,19.691208,21.009987,3.887323,12.635737,-35.016147,-3521.518788,3.259146
0.020000,19.500697,20.990540,4.078824,9.575049,-153.034407,-5900.913008,3.227619
0.020000,19.308502,20.976964,4.271498,9.633694,2.932259,7798.333276,3.196764
0.020000,19.116630,20.969243,4.463525,9.601367,-1.616370,-227.431463,3.167039
0.020000,18.926236,20.967113,4.653931,9.520297,-4.053460,-121.854500,3.138731
0.020000,18.737629,20.970197,4.842564,9.431617,-4.433997,-19.026821,3.111973
0.020000,18.551061,20.978092,5.029298,9.336719,-4.744931,-15.546717,3.086874
0.020000,18.366731,20.990372,5.214037,9.236931,-4.989379,-12.222413,3.063517
0.020000,18.184784,21.006605,5.396706,9.133471,-5.172996,-9.180817,3.041969
0.020000,18.005320,21.026355,5.577254,9.027414,-5.302849,-6.492654,3.022274
0.020000,17.828394,21.049192,5.755648,8.919669,-5.387286,-4.221858,3.004461
0.020000,17.654030,21.074694,5.931867,8.810970,-5.434952,-2.383280,2.988547
0.020000,17.482220,21.102455,6.105905,8.701884,-5.454297,-0.967256,2.974539
0.020000,17.312937,21.132081,6.277761,8.592822,-5.453062,0.061720,2.962436
0.020000,17.146132,21.163194,6.447442,8.484056,-5.438321,0.737078,2.952234
0.020000,16.981749,21.195432,6.614957,8.375734,-5.416110,1.110532,2.943924
0.020000,16.819721,21.228451,6.780315,8.267904,-5.391465,1.232272,2.937497
0.020000,16.659979,21.261919,6.943526,8.160536,-5.368416,1.152411,2.932946
0.020000,16.502451,21.295518,7.104597,8.053536,-5.350026,0.919533,2.930264
0.020000,16.347071,21.328943,7.263532,7.946767,-5.338424,0.580113,2.929447
0.020000,16.193772,21.361903,7.420333,7.840070,-5.334844,0.178994,2.930494
0.020000,16.042498,21.394114,7.574999,7.733277,-5.339676,-0.241595,2.933406
0.020000,15.893197,21.425306,7.727523,7.626228,-5.352433,-0.637895,2.938188
0.020000,15.745826,21.455216,7.877899,7.518793,-5.371770,-0.966820,2.944847
0.020000,15.600350,21.483593,8.026117,7.410884,-5.395442,-1.183611,2.953390
0.020000,15.456743,21.510194,8.172166,7.302478,-5.420271,-1.241433,2.963826
0.020000,15.314988,21.534786,8.316039,7.193636,-5.442097,-1.091306,2.976164
0.020000,15.177391,21.556826,8.455390,6.967538,-11.304942,-293.142279,2.987144
0.020000,15.014689,21.582651,8.620129,8.236965,63.471373,3738.815792,2.981258
0.020000,14.852458,21.609358,8.784544,8.220732,-0.811671,-3214.152214,2.975656
0.020000,14.690696,21.636895,8.948633,8.204434,-0.814860,-0.159464,2.970338
0.020000,14.529402,21.665213,9.112394,8.188084,-0.817511,-0.132526,2.965306
0.020000,14.368570,21.694261,9.275828,8.171691,-0.819679,-0.108440,2.960560
0.020000,14.208197,21.723988,9.438933,8.155262,-0.821421,-0.087097,2.956101
0.020000,14.048276,21.754347,9.601709,8.138806,-0.822789,-0.068374,2.951930
0.020000,13.888803,21.785286,9.764156,8.122330,-0.823832,-0.052138,2.948046
0.020000,13.729771,21.816757,9.926273,8.105838,-0.824597,-0.038247,2.944451
0.020000,13.571171,21.848712,10.088060,8.089335,-0.825128,-0.026554,2.941143
0.020000,13.412997,21.881102,10.249516,8.072826,-0.825466,-0.016903,2.938125
0.020000,13.255240,21.913879,10.410642,8.056313,-0.825648,-0.009136,2.935394
0.020000,13.097891,21.946997,10.571438,8.039799,-0.825710,-0.003093,2.932952
0.020000,12.940942,21.980407,10.731904,8.023285,-0.825683,0.001390,2.930799
0.020000,12.784383,22.014062,10.892039,8.006773,-0.825593,0.004477,2.928934
0.020000,12.628205,22.047918,11.051845,7.990264,-0.825466,0.006332,2.927357
0.020000,12.472398,22.081926,11.211320,7.973758,-0.825324,0.007122,2.926069
0.020000,12.316953,22.116042,11.370465,7.957254,-0.825184,0.007012,2.925069
0.020000,12.161859,22.150221,11.529280,7.940753,-0.825060,0.006167,2.924357
0.020000,12.007107,22.184416,11.687765,7.924253,-0.824965,0.004752,2.923933
0.020000,11.852687,22.218583,11.845920,7.907755,-0.824907,0.002931,2.923798
0.020000,11.698588,22.252677,12.003745,7.891257,-0.824889,0.000868,2.923950
0.020000,11.544802,22.286654,12.161241,7.874759,-0.824915,-0.001271,2.924391
0.020000,11.391318,22.320471,12.318406,7.858260,-0.824981,-0.003324,2.925120
0.020000,11.238127,22.354083,12.475241,7.841758,-0.825083,-0.005110,2.926138
0.020000,11.085219,22.387446,12.631746,7.825254,-0.825214,-0.006521,2.927443
0.020000,10.932586,22.420518,12.787921,7.808746,-0.825360,-0.007320,2.929037
0.020000,10.780219,22.453255,12.943766,7.792236,-0.825508,-0.007381,2.930919
0.020000,10.628108,22.485614,13.099280,7.775723,-0.825638,-0.006532,2.933090
0.020000,10.476246,22.517554,13.254464,7.759209,-0.825731,-0.004607,2.935549
0.020000,10.324625,22.549031,13.409318,7.742694,-0.825759,-0.001441,2.938297
0.020000,10.173237,22.580003,13.563842,7.726180,-0.825697,0.003131,2.941333
0.020000,10.022076,22.610428,13.718035,7.709669,-0.825511,0.009274,2.944658
0.020000,9.871133,22.640264,13.871898,7.693166,-0.825168,0.017150,2.948270
0.020000,9.720403,22.669471,14.025432,7.676673,-0.824630,0.026922,2.952171
0.020000,9.569880,22.698007,14.178636,7.660196,-0.823855,0.038745,2.956360
0.020000,9.419558,22.725830,14.331511,7.643740,-0.822800,0.052775,2.960836
0.020000,9.269433,22.752900,14.484057,7.627312,-0.821416,0.069159,2.965599
0.020000,9.118281,22.779760,14.637577,7.676022,2.435473,162.844471,2.963961
0.020000,8.958080,22.808875,14.800403,8.141276,23.262713,1041.362001,2.959747
0.020000,8.798507,22.838533,14.962708,8.115270,-1.300283,-1228.149806,2.955987
