dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.061092,24.700924,0.000648,0.064754,3.237705,161.885246,2.657103
0.020000,24.060198,24.701394,0.001658,0.050503,-0.712531,-197.511771,2.657986
0.020000,24.056654,24.703250,0.005658,0.200043,7.476951,409.474095,2.659754
0.020000,24.047055,24.708254,0.016483,0.541237,17.059746,479.139709,2.662422
0.020000,24.034207,24.714900,0.030948,0.723253,9.100775,-397.948539,2.666007
0.020000,24.018062,24.723168,0.049087,0.906946,9.184672,4.194836,2.670538
0.020000,23.998565,24.733031,0.070937,1.092498,9.277566,4.644729,2.676048
0.020000,23.975646,24.744451,0.096543,1.280293,9.389761,5.609749,2.682576
0.020000,23.949225,24.757385,0.125961,1.470880,9.529353,6.979620,2.690171
0.020000,23.919199,24.771781,0.159259,1.664928,9.702416,8.653141,2.698893
0.020000,23.885459,24.787572,0.196512,1.862623,9.884728,9.115564,2.708807
0.020000,23.847872,24.804684,0.237810,2.064921,10.114897,11.508483,2.719992
0.020000,23.806294,24.823020,0.283252,2.272118,10.359882,12.249235,2.732534
0.020000,23.760555,24.842470,0.332955,2.485120,10.650102,14.511018,2.746535
0.020000,23.710471,24.862900,0.387046,2.704543,10.971142,16.051974,2.762106
0.020000,23.655834,24.884147,0.445668,2.931135,11.329565,17.921158,2.779374
0.020000,23.596417,24.906019,0.508982,3.165705,11.728514,19.947449,2.798476
0.020000,23.531975,24.928280,0.577162,3.408980,12.163748,21.761725,2.819566
0.020000,23.462244,24.950652,0.650394,3.661573,12.629646,23.294866,2.842807
0.020000,23.386948,24.972798,0.728879,3.924277,13.135225,25.278941,2.868374
0.020000,23.305811,24.994317,0.812821,4.197084,13.640328,25.255158,2.896445
0.020000,23.218564,25.014730,0.902424,4.480187,14.155156,25.741390,2.927200
0.020000,23.124964,25.033476,0.997883,4.772903,14.635800,24.032228,2.960806
0.020000,23.024825,25.049899,1.099359,5.073847,15.047203,20.570153,2.997408
0.020000,22.918047,25.063252,1.206969,5.380499,15.332612,14.270459,3.037105
0.020000,22.804656,25.072701,1.320754,5.689210,15.435543,5.146523,3.079934
0.020000,22.684850,25.077348,1.440650,5.994801,15.279558,-7.799251,3.125840
0.020000,22.559050,25.076265,1.566454,6.290209,14.770372,-25.459298,3.174646
0.020000,22.427923,25.068556,1.697808,6.567691,13.874106,-44.813291,3.226037
0.020000,22.292404,25.053424,1.834169,6.818047,12.517830,-67.813777,3.279542
0.020000,22.153672,25.030255,1.974822,7.032675,10.731398,-89.321596,3.334534
0.020000,22.013089,24.998689,2.118905,7.204145,8.573504,-107.894703,3.390261
0.020000,21.872108,24.958670,2.265456,7.327570,6.171233,-120.113585,3.445881
0.020000,21.732153,24.910457,2.413483,7.401333,3.688161,-124.153567,3.500527
0.020000,21.594507,24.854594,2.562033,7.427478,1.307223,-119.046916,3.553367
0.020000,21.460223,24.791844,2.710255,7.411124,-0.817706,-106.246456,3.603657
0.020000,21.330068,24.723108,2.857445,7.359489,-2.581754,-88.202410,3.650781
0.020000,21.204520,24.649344,3.003059,7.280723,-3.938276,-67.826099,3.694266
0.020000,21.083789,24.571495,3.146713,7.182690,-4.901637,-48.168050,3.733774
0.020000,20.967868,24.490451,3.288155,7.072103,-5.529382,-31.387235,3.769087
0.020000,20.856585,24.407022,3.427239,6.954169,-5.896695,-18.365645,3.800076
0.020000,20.749659,24.321942,3.563884,6.832252,-6.095823,-9.956419,3.826672
0.020000,20.646745,24.235873,3.698044,6.708040,-6.210637,-5.740681,3.848835
0.020000,20.547474,24.149430,3.829677,6.581624,-6.320767,-5.506527,3.866527
0.020000,20.451482,24.063200,3.958712,6.451747,-6.493854,-8.654331,3.879687
0.020000,20.358434,23.977772,4.085029,6.315855,-6.794625,-15.038542,3.888211
0.020000,20.268046,23.893755,4.208434,6.170250,-7.280247,-24.281084,3.891929
0.020000,20.180104,23.811813,4.328635,6.010039,-8.010521,-36.513725,3.890587
0.020000,20.094493,23.732679,4.445217,5.829122,-9.045890,-51.768465,3.883823
0.020000,20.011219,23.657183,4.557619,5.620099,-10.451126,-70.261781,3.871146
0.020000,19.930454,23.586261,4.665104,5.374240,-12.292967,-92.092030,3.851912
0.020000,19.852577,23.520958,4.766737,5.081645,-14.629730,-116.838188,3.825308
0.020000,19.778233,23.462395,4.861376,4.731959,-17.484292,-142.728068,3.790334
0.020000,19.708368,23.411699,4.947697,4.316046,-20.795643,-165.567586,3.745836
0.020000,19.644226,23.369840,5.024289,3.829620,-24.321315,-176.283604,3.690581
0.020000,19.587219,23.337394,5.089883,3.279666,-27.497722,-158.820336,3.623460
0.020000,19.538576,23.314223,5.143763,2.694017,-29.282439,-89.235833,3.543849
0.020000,19.498677,23.299239,5.186382,2.130970,-28.152344,56.504740,3.452142
0.020000,19.466218,23.290529,5.219990,1.680383,-22.529340,281.150205,3.350302
0.020000,19.422630,23.284183,5.264038,2.202385,26.100077,2431.470858,3.259146
0.020000,19.303940,23.272072,5.383343,5.965281,188.144814,8102.236854,3.227619
0.020000,19.182224,23.263480,5.505362,6.100932,6.782547,-9068.113341,3.196764
0.020000,19.058364,23.258502,5.629323,6.198044,4.855604,-96.347172,3.167039
0.020000,18.932788,23.257104,5.754906,6.279175,4.056570,-39.951682,3.138731
0.020000,18.805447,23.259193,5.882265,6.367910,4.436720,19.007476,3.111973
0.020000,18.676305,23.264664,6.011522,6.462864,4.747731,15.550568,3.086874
0.020000,18.545342,23.273396,6.142776,6.562710,4.992255,12.226197,3.063517
0.020000,18.412546,23.285251,6.276101,6.666222,5.175647,9.169568,3.041969
0.020000,18.277912,23.300073,6.411547,6.772329,5.305346,6.484986,3.022274
0.020000,18.141443,23.317694,6.549150,6.880122,5.389623,4.213811,3.004461
0.020000,18.003138,23.337927,6.688927,6.988864,5.437091,2.373408,2.988547
0.020000,17.862996,23.360576,6.830887,7.097987,5.456148,0.952884,2.974539
0.020000,17.721013,23.385428,6.975028,7.207081,5.454709,-0.071956,2.962436
0.020000,17.577177,23.412260,7.121346,7.315875,5.439733,-0.748833,2.952234
0.020000,17.431469,23.440839,7.269830,7.424221,5.417276,-1.122816,2.943924
0.020000,17.283862,23.470922,7.420472,7.532069,5.392385,-1.244561,2.937497
0.020000,17.134320,23.502254,7.573261,7.639451,5.369095,-1.164507,2.932946
0.020000,16.982799,23.534572,7.728190,7.746460,5.350467,-0.931387,2.930264
0.020000,16.829247,23.567605,7.885254,7.853233,5.338632,-0.591756,2.929447
0.020000,16.673605,23.601068,8.044453,7.959929,5.334835,-0.189862,2.930494
0.020000,16.515809,23.634667,8.205787,8.066718,5.339436,0.230075,2.933406
0.020000,16.355788,23.668097,8.369262,8.173757,5.351960,0.626199,2.938188
0.020000,16.193473,23.701037,8.534886,8.281178,5.371059,0.954933,2.944847
0.020000,16.028795,23.733156,8.702667,8.389068,5.394489,1.171507,2.953390
0.020000,15.861688,23.764106,8.872616,8.497450,5.419073,1.229190,2.963826
0.020000,15.692095,23.793522,9.044742,8.606263,5.440656,1.079159,2.976164
0.020000,15.529674,23.819567,9.209238,8.224807,-19.072809,-1225.673243,2.987144
0.020000,15.380284,23.843279,9.360498,7.563012,-33.089734,-700.846240,2.981258
0.020000,15.230712,23.867903,9.512083,7.579247,0.811779,1695.075640,2.975656
0.020000,15.080955,23.893397,9.663994,7.595547,0.814963,0.159208,2.970338
0.020000,14.931011,23.919722,9.816232,7.611899,0.817609,0.132269,2.965306
0.020000,14.780874,23.946838,9.968798,7.628294,0.819772,0.108181,2.960560
0.020000,14.630541,23.974705,10.121692,7.644725,0.821509,0.086836,2.956101
0.020000,14.480005,24.003282,10.274916,7.661182,0.822871,0.068110,2.951930
0.020000,14.329263,24.032527,10.428469,7.677660,0.823909,0.051871,2.948046
0.020000,14.178307,24.062401,10.582352,7.694154,0.824668,0.037978,2.944451
0.020000,14.027132,24.092860,10.736565,7.710657,0.825194,0.026282,2.941143
0.020000,13.875730,24.123863,10.891109,7.727168,0.825527,0.016629,2.938125
0.020000,13.724095,24.155369,11.045982,7.743682,0.825704,0.008860,2.935394
0.020000,13.572219,24.187334,11.201186,7.760197,0.825760,0.002816,2.932952
0.020000,13.420093,24.219718,11.356720,7.776712,0.825727,-0.001668,2.930799
0.020000,13.267710,24.252476,11.512585,7.793224,0.825632,-0.004755,2.928934
0.020000,13.115061,24.285566,11.668780,7.809734,0.825499,-0.006611,2.927357
0.020000,12.962136,24.318946,11.825304,7.826241,0.825351,-0.007401,2.926069
0.020000,12.808928,24.352571,11.982159,7.842746,0.825206,-0.007291,2.925069
0.020000,12.655426,24.386399,12.139344,7.859247,0.825077,-0.006445,2.924357
0.020000,12.501621,24.420384,12.296859,7.875747,0.824976,-0.005029,2.923933
0.020000,12.347504,24.454484,12.454704,7.892245,0.824912,-0.003207,2.923798
0.020000,12.193064,24.488654,12.612879,7.908743,0.824889,-0.001144,2.923950
0.020000,12.038292,24.522849,12.771384,7.925241,0.824909,0.000996,2.924391
0.020000,11.883177,24.557025,12.930219,7.941740,0.824970,0.003049,2.925120
0.020000,11.727710,24.591136,13.089383,7.958241,0.825067,0.004867,2.926138
0.020000,11.571882,24.625137,13.248878,7.974745,0.825192,0.006227,2.927443
0.020000,11.415681,24.658981,13.408703,7.991252,0.825333,0.007041,2.929037
0.020000,11.259099,24.692624,13.568859,8.007761,0.825475,0.007102,2.930919
0.020000,11.102127,24.726018,13.729344,8.024273,0.825600,0.006252,2.933090
0.020000,10.944754,24.759116,13.890160,8.040787,0.825686,0.004327,2.935549
0.020000,10.786972,24.791872,14.051306,8.057301,0.825709,0.001162,2.938297
0.020000,10.628772,24.824237,14.212782,8.073814,0.825641,-0.003410,2.941333
0.020000,10.470147,24.856164,14.374589,8.090323,0.825450,-0.009552,2.944658
0.020000,10.311088,24.887605,14.536725,8.106825,0.825102,-0.017427,2.948270
0.020000,10.151589,24.918511,14.699191,8.123316,0.824558,-0.027196,2.952171
0.020000,9.991642,24.948832,14.861987,8.139792,0.823777,-0.039017,2.956360
0.020000,9.831241,24.978521,15.025112,8.156246,0.822717,-0.053043,2.960836
0.020000,9.670382,25.007526,15.188566,8.172673,0.821328,-0.069424,2.965599
0.020000,9.522921,25.033727,15.338336,7.488527,-34.207301,-1751.431436,2.963961
0.020000,9.372215,25.061117,15.491510,7.658712,8.509281,2135.829085,2.959747
0.020000,9.221109,25.089201,15.645205,7.684721,1.300407,-360.443698,2.955987
0.020000,9.069592,25.117917,15.799419,7.710703,1.299117,-0.064525,2.952680
0.020000,8.917654,25.147197,15.954152,7.736658,1.297739,-0.068876,2.949827
0.020000,8.765285,25.176976,16.109404,7.762585,1.296362,-0.068846,2.947427
0.020000,8.612473,25.207186,16.265174,7.788487,1.295081,-0.064045,2.945479
0.020000,8.459205,25.237760,16.421461,7.814366,1.293955,-0.056302,2.943983
0.020000,8.305470,25.268631,16.578265,7.840226,1.293032,-0.046157,2.942939
0.020000,8.151505,25.299679,16.735329,7.853189,0.648141,-32.244554,2.942347
0.020000,7.998189,25.330654,16.891743,7.820695,-1.624699,-113.642001,2.942204
0.020000,7.846539,25.361281,17.046455,7.735602,-4.254675,-131.498812,2.942498
0.020000,7.696946,25.391415,17.199052,7.629864,-5.286901,-51.611283,2.943206
0.020000,7.549424,25.420992,17.349511,7.522913,-5.347529,-3.031418,2.944308
0.020000,7.403984,25.449956,17.497806,7.414774,-5.406963,-2.971698,2.945784
0.020000,7.260642,25.478256,17.643915,7.305469,-5.465232,-2.913429,2.947613
0.020000,7.119411,25.505847,17.787816,7.195021,-5.522388,-2.857821,2.949774
0.020000,6.980308,25.532687,17.929485,7.083451,-5.578523,-2.806733,2.952249
0.020000,6.843349,25.558742,18.068900,6.970778,-5.633634,-2.755554,2.955018
0.020000,6.708550,25.583979,18.206041,6.857022,-5.687806,-2.708614,2.958062
0.020000,6.575931,25.608373,18.340885,6.742201,-5.741049,-2.662149,2.961363
0.020000,6.445510,25.631901,18.473412,6.626333,-5.793403,-2.617701,2.964902
0.020000,6.317306,25.654547,18.603600,6.509435,-5.844896,-2.574622,2.968661
0.020000,6.191339,25.676296,18.731431,6.391525,-5.895529,-2.531647,2.972622
0.020000,6.067630,25.697139,18.856883,6.272618,-5.945320,-2.489566,2.976769
0.020000,5.946201,25.717070,18.979938,6.152733,-5.994271,-2.447561,2.981084
0.020000,5.827071,25.736087,19.100576,6.031885,-6.042377,-2.405268,2.985551
0.020000,5.710264,25.754190,19.218777,5.910093,-6.089625,-2.362437,2.990152
0.020000,5.595801,25.771384,19.334525,5.787373,-6.135999,-2.318698,2.994871
0.020000,5.483703,25.787676,19.447800,5.663743,-6.181484,-2.274247,2.999694
0.020000,5.373995,25.803076,19.558584,5.539222,-6.226050,-2.228269,3.004603
